wall_time,sim_time,symbol,event,signal,side,price,pos_lots,detail
00:23:32,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,BUY,192.65,0,up=0 dn=0 spread=1.5600
00:23:32,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.5600
00:23:32,1969-12-31 19:00:00,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.65 SELL@194.17 up=0 dn=0
00:23:33,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,BUY,95.4,0,up=0 dn=0 spread=0.5100
00:23:33,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,SELL,95.87,0,up=0 dn=0 spread=0.5100
00:23:33,1969-12-31 19:00:00,CROX,QUOTED,NEUTRAL,,,0,BUY@95.4 SELL@95.87 up=0 dn=0
00:23:34,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,BUY,47.52,0,up=0 dn=0 spread=0.3500
00:23:34,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3500
00:23:34,1969-12-31 19:00:00,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.52 SELL@47.83 up=0 dn=0
00:23:35,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,BUY,97.91,0,up=0 dn=0 spread=1.9200
00:23:35,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,SELL,99.79,0,up=0 dn=0 spread=1.9200
00:23:35,1969-12-31 19:00:00,CAR,QUOTED,NEUTRAL,,,0,BUY@97.91 SELL@99.79 up=0 dn=0
00:23:36,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,BUY,64.71,0,up=0 dn=0 spread=0.4000
00:23:36,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.4000
00:23:36,1969-12-31 19:00:00,HELE,QUOTED,NEUTRAL,,,0,BUY@64.71 SELL@65.07 up=0 dn=0
00:23:37,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,BUY,46.07,0,up=0 dn=0 spread=0.4500
00:23:37,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,SELL,46.48,0,up=0 dn=0 spread=0.4500
00:23:37,1969-12-31 19:00:00,JACK,QUOTED,NEUTRAL,,,0,BUY@46.07 SELL@46.48 up=0 dn=0
00:23:38,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,BUY,42.37,0,up=0 dn=0 spread=0.4000
00:23:38,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,SELL,42.73,0,up=0 dn=0 spread=0.4000
00:23:38,1969-12-31 19:00:00,SHOO,QUOTED,NEUTRAL,,,0,BUY@42.37 SELL@42.73 up=0 dn=0
00:23:53,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,BUY,192.66,0,up=0 dn=0 spread=1.5500
00:23:53,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.5500
00:23:53,1969-12-31 19:00:00,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.66 SELL@194.17 up=0 dn=0
00:23:54,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,BUY,95.46,0,up=0 dn=0 spread=0.4500
