logged_at,order_id,symbol,side,executed_price,executed_size,order_size,status,exec_timestamp
2024-08-05 09:31:10,ff7585e9-6bd9-44b8-8f25-9e1ec0850277,AAPL,BUY,198.8000,1,200,Status.FILLED,2026-03-25 21:28:32.578717
2024-08-05 09:31:10,ff7585e9-6bd9-44b8-8f25-9e1ec0850277,AAPL,BUY,198.8000,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:28:32.578717
2024-08-05 09:31:10,ea237146-75f8-4980-a3b6-f042589a1486,AAPL,BUY,198.8400,2,200,Status.FILLED,2026-03-25 21:28:33.582516
2024-08-05 09:31:10,51f1b992-391c-43ce-b71f-c85eba6783e6,AAPL,BUY,198.8400,1,200,Status.FILLED,2026-03-25 21:28:34.585964
2024-08-05 09:31:10,51f1b992-391c-43ce-b71f-c85eba6783e6,AAPL,BUY,198.8400,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:28:34.585964
2024-08-05 09:31:50,bedbafc7-e0f6-417d-90e3-4ef96bedaa62,AAPL,SELL,198.8700,2,400,Status.FILLED,2026-03-25 21:28:43.398775
2024-08-05 09:31:50,bedbafc7-e0f6-417d-90e3-4ef96bedaa62,AAPL,SELL,198.8700,1,400,Status.PARTIALLY_FILLED,2026-03-25 21:28:43.398775
2024-08-05 09:31:50,0529dfca-979f-426d-acfc-4cc6ff13d8a4,AAPL,SELL,199.2200,1,600,Status.FILLED,2026-03-25 21:28:49.620320
2024-08-05 09:31:50,0529dfca-979f-426d-acfc-4cc6ff13d8a4,AAPL,SELL,199.2500,4,600,Status.PARTIALLY_FILLED,2026-03-25 21:28:49.620320
2024-08-05 09:31:50,0529dfca-979f-426d-acfc-4cc6ff13d8a4,AAPL,SELL,199.2500,1,600,Status.PARTIALLY_FILLED,2026-03-25 21:28:49.620320
2024-08-05 09:31:50,758a655b-926a-4374-8f59-5fef146f95a5,AAPL,BUY,0.0000,4,400,Status.CANCELED,2026-03-25 21:28:57.640181
2024-08-05 09:31:50,d6754ec5-3d94-4bcb-bd23-0e28a3020c51,AAPL,BUY,0.0000,4,400,Status.CANCELED,2026-03-25 21:28:59.641671
2024-08-05 09:31:50,8ddb3d39-4951-4e04-831e-1f2290eff45b,AAPL,BUY,0.0000,4,400,Status.CANCELED,2026-03-25 21:29:01.647633
2024-08-05 09:31:50,63f2b5ee-d4e3-4d8d-a5e4-ab4de9a816f3,AAPL,BUY,0.0000,6,600,Status.CANCELED,2026-03-25 21:29:03.656695
2024-08-05 09:31:50,b7a4dd15-9fff-4e70-abb1-f9745493361a,AAPL,BUY,0.0000,1,600,Status.FILLED,2026-03-25 21:29:04.651822
2024-08-05 09:31:50,b7a4dd15-9fff-4e70-abb1-f9745493361a,AAPL,BUY,201.1300,1,600,Status.PARTIALLY_FILLED,2026-03-25 21:29:04.651822
2024-08-05 09:31:50,6c929dc7-431e-43f0-b499-815a487d93c3,AAPL,SELL,201.9300,1,100,Status.FILLED,2026-03-25 21:29:13.472204
2024-08-05 09:32:50,5212aa04-f812-4a76-af04-dea7b158e970,AAPL,BUY,204.0600,2,200,Status.FILLED,2026-03-25 21:29:52.575895
2024-08-05 09:32:50,eaf5b58c-6c18-4f93-b17f-790beec8c0f7,AAPL,SELL,203.8300,2,200,Status.FILLED,2026-03-25 21:30:01.595764
2024-08-05 09:33:51,b597490c-10ed-4b81-a19b-894ff36e1829,AAPL,BUY,205.2500,2,200,Status.FILLED,2026-03-25 21:31:01.772279
2024-08-05 09:33:51,1d674bec-9009-44da-b0a9-ca16195354f2,AAPL,SELL,205.7000,1,200,Status.FILLED,2026-03-25 21:31:10.797860
2024-08-05 09:33:51,1d674bec-9009-44da-b0a9-ca16195354f2,AAPL,SELL,205.7000,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:31:10.797860
2024-08-05 09:35:21,42570b27-572e-400a-a5c7-9cb8736985b5,AAPL,BUY,205.5900,2,200,Status.FILLED,2026-03-25 21:32:21.003241
2024-08-05 09:35:21,e4415e95-edd5-4911-9ee5-f72fe2f4bebc,AAPL,SELL,205.5600,1,200,Status.FILLED,2026-03-25 21:32:30.013993
2024-08-05 09:35:21,e4415e95-edd5-4911-9ee5-f72fe2f4bebc,AAPL,SELL,205.5600,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:32:30.013993
2024-08-05 09:37:21,2d7204a7-3213-4c71-bd82-fca017cfbaa3,AAPL,BUY,205.7700,1,200,Status.FILLED,2026-03-25 21:34:16.364733
2024-08-05 09:37:21,2d7204a7-3213-4c71-bd82-fca017cfbaa3,AAPL,BUY,205.7700,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:34:16.364733
2024-08-05 09:37:21,de3c5149-c227-4bfe-821c-f61d9c3b84ce,AAPL,SELL,206.0000,1,200,Status.FILLED,2026-03-25 21:34:25.378710
2024-08-05 09:37:21,de3c5149-c227-4bfe-821c-f61d9c3b84ce,AAPL,SELL,206.0000,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:34:25.378710
2024-08-05 09:37:21,f5ae6ebd-105d-4a84-bfb6-a7d9394cb023,AAPL,BUY,206.5100,1,200,Status.FILLED,2026-03-25 21:34:30.388294
2024-08-05 09:37:21,f5ae6ebd-105d-4a84-bfb6-a7d9394cb023,AAPL,BUY,206.5100,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:34:30.388294
2024-08-05 09:37:21,43be9a64-4b97-41d1-8377-5e38ce4827b6,AAPL,SELL,207.3800,1,200,Status.FILLED,2026-03-25 21:34:42.436702
2024-08-05 09:37:21,43be9a64-4b97-41d1-8377-5e38ce4827b6,AAPL,SELL,207.3800,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:34:42.436702
2024-08-05 09:42:52,b82bc1ae-8f4c-4105-8a41-59fccfc54804,AAPL,SELL,208.0400,2,200,Status.FILLED,2026-03-25 21:39:56.465607
2024-08-05 09:42:52,90dfd15c-debc-49a4-a622-b2264b11a19b,AAPL,BUY,208.4400,1,400,Status.FILLED,2026-03-25 21:40:06.008637
2024-08-05 09:42:52,90dfd15c-debc-49a4-a622-b2264b11a19b,AAPL,BUY,208.4300,3,400,Status.PARTIALLY_FILLED,2026-03-25 21:40:06.008637
2024-08-05 09:43:22,84156682-6e90-4367-b6b8-7912574689c7,AAPL,SELL,208.7700,1,200,Status.FILLED,2026-03-25 21:40:17.547400
2024-08-05 09:43:22,84156682-6e90-4367-b6b8-7912574689c7,AAPL,SELL,208.7700,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:40:17.547400
2024-08-05 09:43:22,c13c3af5-a14d-4d10-a7b9-e2cccb01fe8b,AAPL,BUY,208.9200,2,200,Status.FILLED,2026-03-25 21:40:31.552341
2024-08-05 09:43:22,e024536b-aaa8-4892-bdc1-6eec06afcf6e,AAPL,SELL,209.0600,1,200,Status.FILLED,2026-03-25 21:40:40.596298
2024-08-05 09:43:22,e024536b-aaa8-4892-bdc1-6eec06afcf6e,AAPL,SELL,209.0600,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:40:40.596298
2024-08-05 09:43:53,88f0599e-d72b-45b5-bbcb-95cbb895c0c1,AAPL,BUY,209.4300,1,200,Status.FILLED,2026-03-25 21:40:56.689643
2024-08-05 09:43:53,88f0599e-d72b-45b5-bbcb-95cbb895c0c1,AAPL,BUY,209.4300,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:40:56.689643
2024-08-05 09:43:53,275748ed-d862-4bbd-8916-a17ae1352591,AAPL,SELL,0.0000,2,200,Status.CANCELED,2026-03-25 21:41:05.727807
2024-08-05 09:43:53,aac5b8e4-0fc2-4a34-b1ae-504989d3e3b0,AAPL,SELL,0.0000,2,200,Status.CANCELED,2026-03-25 21:41:07.946027
2024-08-05 09:43:53,541c4617-aeb7-406b-bae7-fdcdd07e1a78,AAPL,SELL,208.3200,4,400,Status.FILLED,2026-03-25 21:41:10.247637
2024-08-05 09:44:23,69e47457-244f-47ce-930f-5789c1410dbb,AAPL,BUY,207.9600,1,200,Status.FILLED,2026-03-25 21:41:21.788834
2024-08-05 09:44:23,69e47457-244f-47ce-930f-5789c1410dbb,AAPL,BUY,207.9600,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:41:21.788834
2024-08-05 09:46:23,cd742066-ff60-41e3-93c7-31572d92e374,AAPL,SELL,208.5900,1,200,Status.FILLED,2026-03-25 21:43:28.163335
2024-08-05 09:46:23,cd742066-ff60-41e3-93c7-31572d92e374,AAPL,SELL,208.5900,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:43:28.163335
2024-08-05 09:46:23,04e28bd8-7261-4f3f-a068-96c4bb91fbba,AAPL,BUY,208.8600,1,200,Status.FILLED,2026-03-25 21:43:37.171579
2024-08-05 09:46:23,04e28bd8-7261-4f3f-a068-96c4bb91fbba,AAPL,BUY,208.8600,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:43:37.171579
2024-08-05 09:46:53,30962bbf-46a5-433c-9fa1-998d1711d561,AAPL,SELL,208.3200,1,200,Status.FILLED,2026-03-25 21:43:56.223407
2024-08-05 09:46:53,30962bbf-46a5-433c-9fa1-998d1711d561,AAPL,SELL,208.3200,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:43:56.223407
2024-08-05 09:46:53,8da3e8a5-e5fe-4c9a-874f-b3b5b184fa5a,AAPL,BUY,208.6300,1,200,Status.FILLED,2026-03-25 21:44:05.266880
2024-08-05 09:46:53,8da3e8a5-e5fe-4c9a-874f-b3b5b184fa5a,AAPL,BUY,208.6300,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:44:05.266880
2024-08-05 09:50:24,c9917968-9425-498f-83e3-b25a857807e7,AAPL,SELL,209.5900,1,200,Status.FILLED,2026-03-25 21:47:35.787926
2024-08-05 09:50:24,c9917968-9425-498f-83e3-b25a857807e7,AAPL,SELL,209.5900,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:47:35.787926
2024-08-05 09:50:24,ea5801e8-1660-40ca-8e1a-f4aa69edaaa6,AAPL,BUY,0.0000,1,200,Status.FILLED,2026-03-25 21:47:44.829681
2024-08-05 09:50:24,ea5801e8-1660-40ca-8e1a-f4aa69edaaa6,AAPL,BUY,210.2300,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:47:44.829681
2024-08-05 09:50:54,f5480ce4-9ffd-4279-a52d-bf1b1b827311,AAPL,BUY,0.0000,1,100,Status.CANCELED,2026-03-25 21:47:47.034392
2024-08-05 09:50:54,eb265aae-1f4f-4943-9fce-34c28d69139c,AAPL,BUY,210.4500,1,100,Status.FILLED,2026-03-25 21:47:49.042446
2024-08-05 09:50:54,63df39c5-d8cd-45d9-852a-cef621803490,AAPL,SELL,210.4200,1,200,Status.FILLED,2026-03-25 21:47:55.851452
2024-08-05 09:50:54,63df39c5-d8cd-45d9-852a-cef621803490,AAPL,SELL,210.4200,1,200,Status.PARTIALLY_FILLED,2026-03-25 21:47:55.851452
2024-08-05 09:50:54,1f5885fc-53c3-4cde-9099-aa58c918f0e3,AAPL,BUY,210.0500,2,200,Status.FILLED,2026-03-25 21:48:04.865571
2024-08-05 09:51:24,e448641c-0af3-486b-be95-dbb16f983f2a,AAPL,SELL,209.3700,2,200,Status.FILLED,2026-03-25 21:48:27.902257
2024-08-05 09:51:24,5c271ec1-fe61-47e8-9916-39360b79322e,AAPL,BUY,0.0000,2,200,Status.CANCELED,2026-03-25 21:48:36.922778
