logged_at,order_id,symbol,side,executed_price,executed_size,order_size,status,exec_timestamp
2020-11-02 09:30:17,38bc325a-5eaf-4c8c-92ee-2e7d42238afa,GS,BUY,191.4000,1,100,Status.FILLED,2026-03-24 23:42:05.425573
2020-11-02 09:30:17,4515319c-bd28-4a74-a05c-3196a13c7278,GS,SELL,0.0000,1,100,Status.CANCELED,2026-03-24 23:42:05.429138
2020-11-02 09:30:43,9296890e-5fe9-4b22-bd83-bc64b6e28809,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:42:08.942352
2020-11-02 09:30:43,3daf1ae6-e065-4c0f-baec-22ada70ff7fb,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:42:14.976778
2020-11-02 09:30:43,b9e2141a-e12d-4cf3-88bd-2d3c70c18737,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:42:21.001395
2020-11-02 09:30:43,6f932bc0-815a-4686-8b5f-6ee866b37c35,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:42:27.013767
2020-11-02 09:31:04,c01cfca5-2957-4f52-a515-02398b6e06e1,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:42:33.026658
2020-11-02 09:31:04,95f5caf5-b7c7-464e-9fff-3927616146f4,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:42:39.050067
2020-11-02 09:31:04,5910cd36-b1b0-4360-8bde-3e944774a90f,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:42:45.069146
2020-11-02 09:31:04,21350c51-71f1-400d-b7e6-50c7300d2eb1,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:42:51.095960
2020-11-02 09:31:04,b0067b21-9a70-47d6-97d9-179776b818f6,GS,SELL,191.1600,1,200,Status.FILLED,2026-03-24 23:42:52.097289
2020-11-02 09:31:04,b0067b21-9a70-47d6-97d9-179776b818f6,GS,SELL,191.1600,1,200,Status.PARTIALLY_FILLED,2026-03-24 23:42:52.097289
2020-11-02 09:31:09,a7e21d0a-7f0a-4f6f-91fd-ca6ca6246b4e,GS,BUY,191.1400,1,200,Status.PARTIALLY_FILLED,2026-03-24 23:42:55.602653
2020-11-02 09:31:14,8361b38f-a7de-4195-9dbf-c2b19c87e060,GS,SELL,0.0000,2,200,Status.CANCELED,2026-03-24 23:43:01.129938
2020-11-02 09:31:14,575ec72f-9463-49c7-9766-18fe565f7506,GS,BUY,191.1200,1,100,Status.FILLED,2026-03-24 23:43:02.627441
2020-11-02 09:31:16,caf623e5-ba68-42ef-997a-fc4a95f51df9,GS,SELL,191.2000,1,200,Status.FILLED,2026-03-24 23:43:06.148552
2020-11-02 09:31:16,caf623e5-ba68-42ef-997a-fc4a95f51df9,GS,SELL,191.2000,1,200,Status.PARTIALLY_FILLED,2026-03-24 23:43:06.148552
2020-11-02 09:31:23,c7027be6-6597-402f-8424-f6ecbb22adde,GS,BUY,0.0000,2,200,Status.CANCELED,2026-03-24 23:43:07.640804
