[[32;1;1mINFO[0m] Connection established.
[02:21:53] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 0.0000 | Mid: 191.4750
[02:21:54] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 0.0000 | Mid: 191.4750
[02:21:55] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -4.4700 | Mid: 191.4700
[02:21:56] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -7.5990 | Mid: 191.4700
[02:21:57] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -7.3893 | Mid: 191.4750
[02:21:58] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -6.6425 | Mid: 191.4750
[02:21:59] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -2.9398 | Mid: 191.4800
[02:22:00] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 4.1222 | Mid: 191.4800
[02:22:01] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 9.0655 | Mid: 191.4800
[02:22:02] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 13.4259 | Mid: 191.4850
[02:22:03] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 16.1781 | Mid: 191.4850
[02:22:04] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 14.9247 | Mid: 191.4850
[02:22:05] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 9.5773 | Mid: 191.4800
[02:22:06] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 5.2341 | Mid: 191.4800
[02:22:07] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -1.1061 | Mid: 191.4800
[02:22:08] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -14.8143 | Mid: 191.4700
[02:22:09] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -28.9100 | Mid: 191.4650
[02:22:10] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 2 | EMA: -37.4870 | Mid: 191.4600
[02:22:11] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 0 | EMA: -46.6109 | Mid: 191.4600
[02:22:12] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -56.4176 | Mid: 191.4450
[02:22:13] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 2 | EMA: -50.8923 | Mid: 191.4600
[02:22:14] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 3 | EMA: -42.5246 | Mid: 191.4600
[02:22:15] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 4 | EMA: -33.4872 | Mid: 191.4600
[02:22:16] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 5 | EMA: -23.4411 | Mid: 191.4600
[02:22:17] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -12.9888 | Mid: 191.4600
[02:22:18] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -6.1821 | Mid: 191.4600
[02:22:19] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -1.4175 | Mid: 191.4600
[02:22:20] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 1.9178 | Mid: 191.4600
[02:22:21] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -2.4376 | Mid: 191.3200
[02:22:22] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -6.0863 | Mid: 191.3200
[02:22:23] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -11.5504 | Mid: 191.3200
[02:22:24] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -19.8753 | Mid: 191.1200
[02:22:25] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -26.3027 | Mid: 191.1200
[02:22:26] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 2 | EMA: -24.7119 | Mid: 191.1200
[02:22:27] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 3 | EMA: -22.9983 | Mid: 191.1200
[02:22:28] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 4 | EMA: -21.7988 | Mid: 191.1200
[02:22:29] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -14.5392 | Mid: 191.1250
[02:22:30] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -8.8574 | Mid: 191.1250
[02:22:31] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -4.2802 | Mid: 191.1250
[02:22:32] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -1.0761 | Mid: 191.1250
[02:22:33] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 1.1667 | Mid: 191.1250
[02:22:34] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 3.1267 | Mid: 191.1300
[02:22:35] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 4.4987 | Mid: 191.1300
[02:22:36] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 5.4591 | Mid: 191.1300
[02:22:37] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 6.1314 | Mid: 191.1300
[02:22:38] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 6.6019 | Mid: 191.1300
[02:22:39] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 4.9214 | Mid: 191.1300
[02:22:40] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 3.7450 | Mid: 191.1300
[02:22:41] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 2.9215 | Mid: 191.1300
[02:22:42] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 5.5250 | Mid: 191.1500
[02:22:43] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 11.0675 | Mid: 191.1650
[02:22:44] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 12.1273 | Mid: 191.1600
[02:22:45] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 13.7091 | Mid: 191.1600
[02:22:46] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 14.8164 | Mid: 191.1600
[02:22:47] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 12.1115 | Mid: 191.1600
[02:22:48] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 6.4980 | Mid: 191.1600
[02:22:49] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 3.6186 | Mid: 191.1600
[02:22:50] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 6.7330 | Mid: 191.1750
