sim_time,order_id,symbol,side,executed_price,executed_size,order_size,status,exec_timestamp
2024-08-05 09:31:20,490eb988-966a-4388-b4ef-a1baad37274f,NVDA,SELL,90.9000,1,100,Status.FILLED,2026-03-26 11:05:04.524608
2024-08-05 09:32:00,48b27e2c-28dd-4b31-bbfd-447115c363f0,NVDA,SELL,92.3600,1,100,Status.FILLED,2026-03-26 11:05:35.675072
2024-08-05 09:32:01,d0b2933f-d134-4deb-bc6f-7eed9bd52973,NVDA,BUY,0.0000,1,100,Status.CANCELED,2026-03-26 11:05:43.701504
2024-08-05 09:32:05,26e0a83d-1eb3-46bf-b138-b27c5498c9f8,NVDA,BUY,91.7500,1,100,Status.FILLED,2026-03-26 11:05:47.722543
2024-08-05 09:32:13,e684fe39-fd0a-4d8a-9f7e-17905202e157,NVDA,BUY,91.9800,1,100,Status.FILLED,2026-03-26 11:05:52.741724
2024-08-05 09:32:13,6c2144b0-09da-4773-8597-a774910f37bc,NVDA,BUY,92.0500,2,200,Status.FILLED,2026-03-26 11:05:58.761929
2024-08-05 09:32:24,2b58697e-a306-40cb-8653-374e863ab3ce,NVDA,BUY,92.2500,1,100,Status.FILLED,2026-03-26 11:06:03.785119
2024-08-05 09:32:26,b224fcf1-f836-4a06-b6c3-4245fd33c95f,NVDA,SELL,92.0200,1,200,Status.FILLED,2026-03-26 11:06:10.817095
2024-08-05 09:32:26,b224fcf1-f836-4a06-b6c3-4245fd33c95f,NVDA,SELL,92.0200,1,200,Status.PARTIALLY_FILLED,2026-03-26 11:06:10.817095
2024-08-05 09:32:30,d5de26ad-d84a-43eb-bda5-7f8d7f77df44,NVDA,SELL,92.5600,3,300,Status.FILLED,2026-03-26 11:06:14.832306
2024-08-05 09:32:33,689ca535-b7ba-487b-b79b-71e02980458f,NVDA,SELL,93.1100,1,100,Status.FILLED,2026-03-26 11:06:17.843052
2024-08-05 09:32:37,344cab04-c5c4-431c-9b84-d90af1400935,NVDA,BUY,92.6900,2,200,Status.FILLED,2026-03-26 11:06:19.857764
2024-08-05 09:32:37,e577931f-af6d-4dc1-b346-218acfdc613e,NVDA,BUY,93.3700,1,100,Status.FILLED,2026-03-26 11:06:21.866656
2024-08-05 09:32:48,bafb9513-8dbd-4a67-929b-2895855b1d4d,NVDA,SELL,92.8800,1,100,Status.FILLED,2026-03-26 11:06:32.898928
2024-08-05 09:32:49,96a30fd0-2f40-4e22-a1db-1c310c89adbc,NVDA,SELL,92.9500,1,100,Status.FILLED,2026-03-26 11:06:33.905069
2024-08-05 09:32:50,972d3a0a-51f6-4acd-bf3a-f168f17261de,NVDA,SELL,92.8700,1,100,Status.FILLED,2026-03-26 11:06:34.907229
2024-08-05 09:32:51,609f8c23-dcf2-41c5-81f8-747a907b18a6,NVDA,SELL,92.7000,1,100,Status.FILLED,2026-03-26 11:06:35.909123
2024-08-05 09:32:52,1d76cafa-4caa-4439-87a9-f087f7f1439c,NVDA,SELL,92.3800,1,100,Status.FILLED,2026-03-26 11:06:36.912954
2024-08-05 09:32:53,1affd2f5-9123-45a0-be85-982d8a41d5d8,NVDA,SELL,92.6000,1,100,Status.FILLED,2026-03-26 11:06:37.916450
2024-08-05 09:32:54,8fb5aa32-d07e-460c-bafd-858db15d9b0c,NVDA,SELL,92.3400,1,100,Status.FILLED,2026-03-26 11:06:38.919782
