logged_at,order_id,symbol,side,executed_price,executed_size,order_size,status,exec_timestamp
2024-08-05 09:31:02,eaeffbe5-fbf5-46a3-b42a-1473e8544b14,AAPL,SELL,199.2700,2,200,Status.FILLED,2026-03-26 02:59:17.793456
2024-08-05 09:31:02,f7a474d9-5c5f-4c31-b20d-322472cce536,AAPL,SELL,199.2800,1,200,Status.FILLED,2026-03-26 02:59:18.790915
2024-08-05 09:31:02,f7a474d9-5c5f-4c31-b20d-322472cce536,AAPL,SELL,199.2800,1,200,Status.PARTIALLY_FILLED,2026-03-26 02:59:18.790915
2024-08-05 09:31:02,68ae628b-f857-4363-a95e-112f5be62d8e,AAPL,SELL,199.2600,1,100,Status.FILLED,2026-03-26 02:59:19.794327
2024-08-05 09:31:24,beebb629-a99b-40a3-aeb4-3b3c46bffcd2,AAPL,SELL,198.9200,1,100,Status.FILLED,2026-03-26 02:59:20.792894
2024-08-05 09:31:07,be242b3d-4b2a-4189-bec0-9b60521574df,AAPL,SELL,199.1000,2,200,Status.FILLED,2026-03-26 03:34:38.056087
2024-08-05 09:31:07,76155bf5-93a0-462c-91d4-d27374b3a11a,AAPL,SELL,198.7300,1,200,Status.FILLED,2026-03-26 03:34:39.057013
2024-08-05 09:31:07,76155bf5-93a0-462c-91d4-d27374b3a11a,AAPL,SELL,198.8500,1,200,Status.PARTIALLY_FILLED,2026-03-26 03:34:39.057013
2024-08-05 09:31:07,9239bb0a-57bb-4820-9a0c-dfcb07c9cdc2,AAPL,SELL,198.7400,1,200,Status.FILLED,2026-03-26 03:34:40.062251
2024-08-05 09:31:07,9239bb0a-57bb-4820-9a0c-dfcb07c9cdc2,AAPL,SELL,198.8300,1,200,Status.PARTIALLY_FILLED,2026-03-26 03:34:40.062251
2024-08-05 09:31:07,fd04f811-d47e-4314-8dc2-846a89bc7f31,AAPL,SELL,198.7700,1,100,Status.FILLED,2026-03-26 03:34:41.067604
2024-08-05 09:31:24,5831c626-72c4-4cfd-a6b1-d40bb56a2e76,AAPL,SELL,198.4700,1,100,Status.FILLED,2026-03-26 03:34:42.070616
2024-08-05 09:31:24,6ee42475-cf37-4c2e-a26f-7e3f4dda3863,AAPL,BUY,198.7100,1,100,Status.FILLED,2026-03-26 03:34:52.096438
2024-08-05 09:31:52,f16fe9b4-7398-4f44-9272-60a4066e5bcf,AAPL,SELL,201.5900,1,100,Status.FILLED,2026-03-26 03:35:16.127384
2024-08-05 09:31:52,3f1ec82a-604d-4331-8ec2-5e574b09f6b8,AAPL,SELL,201.7300,1,100,Status.FILLED,2026-03-26 03:35:17.129845
2024-08-05 09:48:14,3afcfbc2-c70c-47c4-aa25-9d9357d5d440,AAPL,BUY,208.9500,1,900,Status.FILLED,2026-03-26 03:51:20.811875
2024-08-05 09:48:14,3afcfbc2-c70c-47c4-aa25-9d9357d5d440,AAPL,BUY,208.9500,1,900,Status.PARTIALLY_FILLED,2026-03-26 03:51:20.811875
2024-08-05 09:48:14,3afcfbc2-c70c-47c4-aa25-9d9357d5d440,AAPL,BUY,208.9500,2,900,Status.PARTIALLY_FILLED,2026-03-26 03:51:20.811875
2024-08-05 09:48:14,9a0ef570-5f4a-491e-8720-da3fde154bfa,AAPL,BUY,208.9500,1,200,Status.FILLED,2026-03-26 03:51:21.790937
2024-08-05 09:48:14,9a0ef570-5f4a-491e-8720-da3fde154bfa,AAPL,BUY,208.9500,1,200,Status.PARTIALLY_FILLED,2026-03-26 03:51:21.790937
2024-08-05 09:48:14,b10127c6-feda-461d-be55-482da2b16fd3,AAPL,SELL,208.9900,1,200,Status.FILLED,2026-03-26 03:51:22.821688
2024-08-05 09:48:14,b10127c6-feda-461d-be55-482da2b16fd3,AAPL,SELL,209.0000,1,200,Status.PARTIALLY_FILLED,2026-03-26 03:51:22.821688
