sim_time,order_id,symbol,side,executed_price,executed_size,order_size,status,exec_timestamp
2020-11-02 09:34:00,c21cd4fb-7252-4ff5-b8f4-f8997ad0cd51,NVDA,SELL,500.2900,1,200,Status.FILLED,2026-03-26 17:48:20.309076
2020-11-02 09:34:00,c21cd4fb-7252-4ff5-b8f4-f8997ad0cd51,NVDA,SELL,500.2900,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:48:20.309076
2020-11-02 09:34:01,12fd3d6a-9e95-458c-b8ad-aad85930e168,NVDA,SELL,500.2900,1,100,Status.FILLED,2026-03-26 17:48:21.465827
2020-11-02 09:34:08,8fcdd15b-5b08-4f3a-a39f-38d957cd682d,NVDA,BUY,0.0000,2,300,Status.FILLED,2026-03-26 17:48:26.488768
2020-11-02 09:34:08,8fcdd15b-5b08-4f3a-a39f-38d957cd682d,NVDA,BUY,501.0800,1,300,Status.PARTIALLY_FILLED,2026-03-26 17:48:26.488768
2020-11-02 09:34:08,0018c3ae-52b7-489f-a8ea-c3cfc2c340c8,NVDA,BUY,501.1200,2,200,Status.FILLED,2026-03-26 17:48:28.503702
2020-11-02 09:37:24,02ba88e6-f420-4b1f-8779-cda9c26d6c67,NVDA,BUY,504.0700,2,200,Status.FILLED,2026-03-26 17:51:44.625237
2020-11-02 09:37:25,e6e7f6e9-561b-4e79-ae8e-4e45b4bac941,NVDA,BUY,504.0700,2,200,Status.FILLED,2026-03-26 17:51:45.651702
2020-11-02 09:37:26,d22d4a80-cef7-441e-9bdf-d702c04a8d5c,NVDA,BUY,504.4500,1,200,Status.FILLED,2026-03-26 17:51:46.667029
2020-11-02 09:37:26,d22d4a80-cef7-441e-9bdf-d702c04a8d5c,NVDA,BUY,504.4500,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:51:46.667029
2020-11-02 09:37:27,bcd408b9-3c58-4cc9-a208-f88128f2fe2d,NVDA,BUY,504.7200,1,200,Status.FILLED,2026-03-26 17:51:47.677106
2020-11-02 09:37:27,bcd408b9-3c58-4cc9-a208-f88128f2fe2d,NVDA,BUY,504.4900,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:51:47.677106
2020-11-02 09:37:28,989785c7-afb1-4250-b4b8-f85754122446,NVDA,BUY,504.3400,1,200,Status.FILLED,2026-03-26 17:51:48.685088
2020-11-02 09:37:28,989785c7-afb1-4250-b4b8-f85754122446,NVDA,BUY,504.3100,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:51:48.685088
2020-11-02 09:37:28,76327999-89d5-4b68-bde4-ef02fb4bdce7,NVDA,BUY,504.4900,1,200,Status.FILLED,2026-03-26 17:51:49.694770
2020-11-02 09:37:28,76327999-89d5-4b68-bde4-ef02fb4bdce7,NVDA,BUY,504.3400,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:51:49.694770
2020-11-02 09:37:29,b4a7a7bf-dd7d-4dcc-ae0e-81f89769b94f,NVDA,BUY,504.0800,1,200,Status.FILLED,2026-03-26 17:51:50.700425
2020-11-02 09:37:29,b4a7a7bf-dd7d-4dcc-ae0e-81f89769b94f,NVDA,BUY,504.0800,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:51:50.700425
2020-11-02 09:37:31,0a3df636-9939-460b-8ef7-d242f11586ca,NVDA,BUY,504.0800,1,200,Status.FILLED,2026-03-26 17:51:51.709455
2020-11-02 09:37:31,0a3df636-9939-460b-8ef7-d242f11586ca,NVDA,BUY,504.0800,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:51:51.709455
2020-11-02 09:37:32,9ddecfd3-85d8-4cdf-b25b-269ac3659380,NVDA,BUY,504.4900,1,200,Status.FILLED,2026-03-26 17:51:52.717645
2020-11-02 09:37:32,9ddecfd3-85d8-4cdf-b25b-269ac3659380,NVDA,BUY,504.3700,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:51:52.717645
2020-11-02 09:37:40,c5628a2c-fdd5-4227-b38a-a49d1ddfc2ef,NVDA,SELL,0.0000,18,1800,Status.CANCELED,2026-03-26 17:51:58.757819
2020-11-02 09:37:40,f010c3bf-d638-452c-b357-01ba032a5b06,NVDA,SELL,504.0600,1,1800,Status.PARTIALLY_FILLED,2026-03-26 17:52:01.804736
2020-11-02 09:38:27,6ce5fce6-3db5-4b94-9a24-f37039c37352,NVDA,BUY,504.7800,1,200,Status.FILLED,2026-03-26 17:52:48.086325
2020-11-02 09:38:27,6ce5fce6-3db5-4b94-9a24-f37039c37352,NVDA,BUY,504.7800,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:52:48.086325
2020-11-02 09:38:28,7356fad9-ace6-4a1b-b971-895ccffdf169,NVDA,BUY,504.8500,1,200,Status.FILLED,2026-03-26 17:52:49.110931
2020-11-02 09:38:28,7356fad9-ace6-4a1b-b971-895ccffdf169,NVDA,BUY,504.8400,1,200,Status.PARTIALLY_FILLED,2026-03-26 17:52:49.110931
