sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2020-10-29 09:30:27,3200.57,3201.03,2,3197.0,1,3204.14,1,3204.14,3197.0,3197.0,1,3195.03,1,,,,,,,,,,,,,,,,,3204.14,1,3205.08,2,3205.49,1,3206.0,1,,,,,,,,,,,,
2020-10-29 09:30:28,3200.03,3201.03,2,3197.0,1,3203.06,2,3203.06,3197.0,3197.0,1,3195.03,1,,,,,,,,,,,,,,,,,3203.06,2,3203.07,1,3203.65,2,3203.99,2,3204.14,1,3204.68,2,3204.86,2,3205.08,2,3205.49,1,3206.0,1
2020-10-29 09:30:29,3201.06,3201.11,1,3200.01,2,3202.11,3,3202.11,3200.01,3200.01,2,3200.0,1,3197.0,1,3195.03,1,,,,,,,,,,,,,3202.11,3,3202.78,2,3203.06,2,3203.07,1,3203.65,2,3203.99,2,3204.14,1,3204.68,2,3204.86,2,3205.08,2
2020-10-29 09:30:30,3201.06,3201.11,1,3200.01,2,3202.11,1,3202.11,3200.01,3200.01,2,3200.0,1,3197.0,1,3195.03,1,,,,,,,,,,,,,3202.11,1,3202.12,1,3202.78,2,3203.06,2,3203.07,1,3203.65,2,3203.99,2,3204.14,1,3204.68,2,3204.86,2
2020-10-29 09:30:31,3201.06,3201.11,1,3200.01,2,3202.11,1,3202.11,3200.01,3200.01,2,3200.0,1,3197.0,1,3195.03,1,,,,,,,,,,,,,3202.11,1,3202.12,1,3202.78,2,3203.06,2,3203.07,1,3203.65,2,3203.99,2,3204.14,1,3204.68,2,3204.86,2
2020-10-29 09:30:32,3201.745,3202.12,1,3200.43,2,3203.06,3,3203.06,3200.43,3200.43,2,3200.01,2,3200.0,1,3197.0,1,3195.03,1,,,,,,,,,,,3203.06,3,3203.07,1,3203.65,2,3203.99,2,3204.14,1,3204.68,2,3204.86,2,3205.08,2,3205.49,1,3206.0,1
2020-10-29 09:30:34,3201.965,3202.12,1,3200.95,1,3202.98,2,3202.98,3200.95,3200.95,1,3200.43,2,3200.01,2,3200.0,1,3197.0,1,3195.03,1,,,,,,,,,3202.98,2,3203.06,3,3203.07,1,3203.65,2,3203.99,2,3204.14,1,3204.68,2,3204.86,2,3205.08,2,3205.49,1
2020-10-29 09:30:34,3202.115,3202.12,1,3201.25,1,3202.98,2,3202.98,3201.25,3201.25,1,3200.95,1,3200.43,2,3200.01,2,3200.0,1,3197.0,1,3195.03,1,,,,,,,3202.98,2,3203.06,3,3203.07,1,3203.65,2,3203.99,2,3204.14,1,3204.68,2,3204.86,2,3205.08,2,3205.49,1
2020-10-29 09:30:35,3202.115,3202.12,1,3201.25,1,3202.98,2,3202.98,3201.25,3201.25,1,3200.95,1,3200.43,2,3200.01,2,3200.0,1,3197.0,1,3195.03,1,,,,,,,3202.98,2,3203.06,3,3203.07,1,3203.65,2,3203.99,2,3204.14,1,3204.68,2,3204.86,2,3205.08,2,3205.49,1
2020-10-29 09:30:36,3202.115,3202.12,1,3201.25,1,3202.98,2,3202.98,3201.25,3201.25,1,3200.95,1,3200.43,2,3200.01,2,3200.0,1,3197.0,1,3195.03,1,,,,,,,3202.98,2,3203.06,3,3203.07,1,3203.65,2,3203.99,2,3204.14,1,3204.68,2,3204.86,2,3205.08,2,3205.49,1
