sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2020-10-29 09:30:25,35.475,35.48,1,35.47,10,35.48,3,35.48,35.47,35.47,10,35.46,15,35.45,5,35.44,5,35.43,5,35.42,3,35.41,20,,,,,,,35.48,3,35.49,13,35.5,25,35.51,290,35.66,7,,,,,,,,,,
2020-10-29 09:30:26,35.475,35.48,1,35.47,14,35.48,8,35.48,35.47,35.47,14,35.46,15,35.45,5,35.44,5,35.43,5,35.42,3,35.41,20,,,,,,,35.48,8,35.49,13,35.5,25,35.51,290,35.66,7,,,,,,,,,,
2020-10-29 09:30:27,35.465,35.46,1,35.46,14,35.47,12,35.47,35.46,35.46,14,35.45,5,35.44,5,35.43,5,35.42,3,35.41,20,,,,,,,,,35.47,12,35.48,25,35.49,13,35.5,25,35.51,290,35.66,7,,,,,,,,
2020-10-29 09:30:28,35.455,35.45,1,35.45,13,35.46,10,35.46,35.45,35.45,13,35.44,5,35.43,5,35.42,3,35.41,20,,,,,,,,,,,35.46,10,35.47,17,35.48,25,35.49,13,35.5,25,35.51,290,35.66,7,,,,,,
2020-10-29 09:30:29,35.455,35.45,1,35.45,1,35.46,10,35.46,35.45,35.45,1,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,,,,,35.46,10,35.47,17,35.48,25,35.49,13,35.5,25,35.51,290,35.66,7,,,,,,
2020-10-29 09:30:30,35.455,35.46,1,35.45,10,35.46,5,35.46,35.45,35.45,10,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,,,,,35.46,5,35.47,11,35.48,25,35.49,13,35.5,25,35.51,290,35.66,7,,,,,,
2020-10-29 09:30:31,35.465,35.46,1,35.46,3,35.47,12,35.47,35.46,35.46,3,35.45,15,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,,,35.47,12,35.48,25,35.49,13,35.5,25,35.51,290,35.66,7,,,,,,,,
2020-10-29 09:30:32,35.475,35.48,1,35.47,4,35.48,15,35.48,35.47,35.47,4,35.46,15,35.45,15,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,35.48,15,35.49,13,35.5,25,35.51,290,35.66,7,,,,,,,,,,
2020-10-29 09:30:33,35.475,35.47,1,35.47,15,35.48,20,35.48,35.47,35.47,15,35.46,15,35.45,15,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,35.48,20,35.49,13,35.5,25,35.51,290,35.66,7,,,,,,,,,,
2020-10-29 09:30:34,35.485,35.48,9,35.48,22,35.49,18,35.49,35.48,35.48,22,35.47,33,35.46,15,35.45,15,35.44,10,35.43,5,35.42,3,35.41,20,,,,,35.49,18,35.5,25,35.51,290,35.66,7,,,,,,,,,,,,
2020-10-29 09:30:35,35.475,35.47,1,35.47,24,35.48,7,35.48,35.47,35.47,24,35.46,15,35.45,15,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,35.48,7,35.49,28,35.5,25,35.51,290,35.66,7,,,,,,,,,,
2020-10-29 09:30:36,35.475,35.47,1,35.47,23,35.48,11,35.48,35.47,35.47,23,35.46,15,35.45,15,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,35.48,11,35.49,28,35.5,25,35.51,290,35.66,7,,,,,,,,,,
2020-10-29 09:30:37,35.465,35.47,2,35.46,15,35.47,10,35.47,35.46,35.46,15,35.45,15,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,,,35.47,10,35.48,15,35.49,28,35.5,25,35.51,290,35.66,7,,,,,,,,
2020-10-29 09:30:39,35.465,35.47,2,35.46,15,35.47,9,35.47,35.46,35.46,15,35.45,15,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,,,35.47,9,35.48,15,35.49,28,35.5,25,35.51,290,35.66,7,,,,,,,,
2020-10-29 09:30:39,35.475,35.47,1,35.47,12,35.48,17,35.48,35.47,35.47,12,35.46,28,35.45,15,35.44,10,35.43,5,35.42,3,35.41,20,,,,,,,35.48,17,35.49,28,35.5,25,35.51,290,35.66,7,,,,,,,,,,
