sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2020-10-29 09:30:25,96.04,96.03,1,96.01,3,96.07,8,96.07,96.01,96.01,3,96.0,6,95.99,1,95.98,5,95.97,6,95.96,5,95.93,11,95.91,3,95.9,4,95.87,5,96.07,8,96.08,2,96.09,5,96.1,6,96.11,9,96.16,3,96.21,2,96.22,2,96.6,2,,
2020-10-29 09:30:26,96.065,96.07,1,96.04,3,96.09,12,96.09,96.04,96.04,3,96.03,5,96.01,14,96.0,6,95.99,1,95.98,5,95.97,6,95.96,5,95.93,11,95.91,3,96.09,12,96.1,6,96.11,9,96.16,3,96.21,2,96.22,2,96.6,2,,,,,,
2020-10-29 09:30:27,96.055,96.06,1,96.03,12,96.08,1,96.08,96.03,96.03,12,96.01,14,96.0,6,95.99,1,95.98,5,95.97,6,95.96,5,95.93,11,95.91,3,95.9,4,96.08,1,96.09,13,96.1,6,96.11,9,96.16,3,96.21,2,96.22,2,96.6,2,,,,
2020-10-29 09:30:28,96.06,96.09,7,96.03,7,96.09,13,96.09,96.03,96.03,7,96.01,14,96.0,6,95.99,1,95.98,5,95.97,6,95.96,5,95.93,11,95.91,3,95.9,4,96.09,13,96.1,6,96.11,9,96.16,3,96.21,2,96.22,2,96.6,2,,,,,,
2020-10-29 09:30:29,96.06,96.06,1,96.03,9,96.09,13,96.09,96.03,96.03,9,96.01,14,96.0,6,95.99,1,95.98,5,95.97,6,95.96,5,95.93,11,95.91,3,95.9,4,96.09,13,96.1,6,96.11,9,96.16,3,96.21,2,96.22,2,96.6,2,,,,,,
2020-10-29 09:30:30,96.06,96.04,1,96.03,9,96.09,13,96.09,96.03,96.03,9,96.01,14,96.0,6,95.99,1,95.98,5,95.97,6,95.96,5,95.93,11,95.91,3,95.9,4,96.09,13,96.1,6,96.11,9,96.16,3,96.21,2,96.22,2,96.6,2,,,,,,
2020-10-29 09:30:31,96.09,96.09,1,96.06,16,96.12,1,96.12,96.06,96.06,16,96.05,9,96.04,8,96.03,9,96.01,14,96.0,6,95.99,1,95.98,5,95.97,6,95.96,5,96.12,1,96.13,11,96.14,9,96.16,3,96.21,2,96.22,2,96.6,2,,,,,,
2020-10-29 09:30:32,96.095,96.07,1,96.06,13,96.13,11,96.13,96.06,96.06,13,96.05,9,96.04,8,96.03,9,96.01,14,96.0,6,95.99,1,95.98,5,95.97,6,95.96,5,96.13,11,96.14,9,96.16,3,96.21,2,96.22,2,96.6,2,,,,,,,,
2020-10-29 09:30:34,96.095,96.07,1,96.06,13,96.13,11,96.13,96.06,96.06,13,96.05,9,96.04,8,96.03,9,96.01,14,96.0,6,95.99,1,95.98,5,95.97,6,95.96,5,96.13,11,96.14,9,96.16,3,96.21,2,96.22,2,96.6,2,,,,,,,,
2020-10-29 09:30:34,96.1,96.1,1,96.07,3,96.13,10,96.13,96.07,96.07,3,96.06,13,96.05,9,96.04,8,96.03,9,96.01,14,96.0,6,95.99,1,95.98,5,95.97,6,96.13,10,96.14,9,96.16,3,96.21,2,96.22,2,96.6,2,,,,,,,,
2020-10-29 09:30:35,96.16,96.16,1,96.12,4,96.2,2,96.2,96.12,96.12,4,96.1,11,96.09,13,96.08,11,96.07,2,96.06,13,96.05,9,96.04,8,96.03,9,96.01,14,96.2,2,96.21,2,96.22,2,96.6,2,,,,,,,,,,,,
2020-10-29 09:30:36,96.16,96.16,1,96.12,4,96.2,3,96.2,96.12,96.12,4,96.1,11,96.09,13,96.08,11,96.07,2,96.06,13,96.05,9,96.04,8,96.03,9,96.01,14,96.2,3,96.21,2,96.22,2,96.6,2,,,,,,,,,,,,
2020-10-29 09:30:38,96.16,96.19,1,96.12,8,96.2,3,96.2,96.12,96.12,8,96.1,11,96.09,13,96.08,11,96.07,2,96.06,13,96.05,9,96.04,8,96.03,9,96.01,14,96.2,3,96.21,2,96.22,2,96.6,2,,,,,,,,,,,,
2020-10-29 09:30:39,96.16,96.19,1,96.12,9,96.2,5,96.2,96.12,96.12,9,96.1,11,96.09,13,96.08,11,96.07,2,96.06,13,96.05,9,96.04,8,96.03,9,96.01,14,96.2,5,96.21,2,96.22,2,96.6,2,,,,,,,,,,,,
2020-10-29 09:30:39,96.22,96.2,1,96.18,12,96.26,5,96.26,96.18,96.18,12,96.17,9,96.16,10,96.15,3,96.14,4,96.13,14,96.12,9,96.1,11,96.09,13,96.08,11,96.26,5,96.6,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:41,96.22,96.23,1,96.18,12,96.26,5,96.26,96.18,96.18,12,96.17,9,96.16,10,96.15,3,96.14,4,96.13,14,96.12,9,96.1,11,96.09,13,96.08,11,96.26,5,96.6,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:41,96.23,96.23,1,96.2,12,96.26,2,96.26,96.2,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.15,3,96.14,4,96.13,14,96.12,9,96.1,11,96.26,3,96.27,5,96.28,1,96.6,2,,,,,,,,,,,,
2020-10-29 09:30:43,96.26,96.23,1,96.23,7,96.29,6,96.29,96.23,96.23,7,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.15,3,96.14,4,96.29,6,96.3,6,96.6,2,,,,,,,,,,,,,,
2020-10-29 09:30:43,96.26,96.23,1,96.23,7,96.29,6,96.29,96.23,96.23,7,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.15,3,96.14,4,96.29,6,96.3,6,96.6,2,,,,,,,,,,,,,,
2020-10-29 09:30:44,96.265,96.27,1,96.23,9,96.3,6,96.3,96.23,96.23,9,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.15,3,96.14,4,96.3,6,96.6,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:46,96.27,96.25,1,96.23,13,96.31,9,96.31,96.23,96.23,13,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.15,3,96.14,4,96.31,9,96.6,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:47,96.275,96.25,1,96.24,4,96.31,10,96.31,96.24,96.24,4,96.23,19,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.15,3,96.31,10,96.6,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:47,96.275,96.25,1,96.24,7,96.31,10,96.31,96.24,96.24,7,96.23,19,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.15,3,96.31,10,96.6,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:49,96.28,96.31,1,96.25,11,96.31,1,96.31,96.25,96.25,11,96.24,11,96.23,19,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.31,1,96.32,14,96.33,5,96.34,1,96.6,2,,,,,,,,,,
2020-10-29 09:30:50,96.28,96.31,1,96.25,11,96.31,1,96.31,96.25,96.25,11,96.24,11,96.23,19,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.31,1,96.32,14,96.33,5,96.34,1,96.6,2,,,,,,,,,,
2020-10-29 09:30:51,96.28,96.31,1,96.25,14,96.31,6,96.31,96.25,96.25,14,96.24,11,96.23,19,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.31,6,96.32,14,96.33,5,96.34,1,96.6,2,,,,,,,,,,
2020-10-29 09:30:51,96.28,96.31,1,96.25,14,96.31,6,96.31,96.25,96.25,14,96.24,11,96.23,19,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.31,6,96.32,14,96.33,5,96.34,1,96.6,2,,,,,,,,,,
2020-10-29 09:30:53,96.28,96.31,1,96.25,9,96.31,6,96.31,96.25,96.25,9,96.24,11,96.23,19,96.22,12,96.21,13,96.2,12,96.19,9,96.18,16,96.17,9,96.16,10,96.31,6,96.32,14,96.33,5,96.34,1,96.6,2,,,,,,,,,,
2020-10-29 09:30:54,96.295,96.31,2,96.28,7,96.31,5,96.31,96.28,96.28,7,96.27,9,96.26,11,96.25,9,96.24,11,96.23,19,96.22,12,96.21,13,96.2,12,96.19,9,96.31,5,96.32,14,96.33,5,96.34,1,96.6,2,,,,,,,,,,
2020-10-29 09:30:55,96.295,96.31,1,96.28,9,96.31,5,96.31,96.28,96.28,9,96.27,9,96.26,11,96.25,9,96.24,11,96.23,19,96.22,12,96.21,13,96.2,12,96.19,9,96.31,5,96.32,14,96.33,5,96.34,1,96.6,2,,,,,,,,,,
