sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2020-10-29 09:30:27,203.855,203.84,1,203.82,5,203.89,3,203.89,203.82,203.82,5,203.8,14,203.73,1,203.72,3,203.66,1,203.65,3,203.54,2,203.5,4,,,,,203.89,3,203.91,4,203.92,6,203.93,13,203.94,6,203.95,13,203.96,2,203.97,2,203.99,4,204.01,2
2020-10-29 09:30:28,203.94,203.94,2,203.91,2,203.97,10,203.97,203.91,203.91,2,203.89,2,203.88,10,203.87,1,203.84,7,203.83,9,203.82,5,203.8,14,203.73,1,203.72,3,203.97,10,203.98,7,203.99,12,204.0,6,204.01,5,204.02,1,204.06,4,204.09,1,204.17,2,204.18,1
2020-10-29 09:30:29,203.885,203.92,1,203.84,7,203.93,8,203.93,203.84,203.84,7,203.83,12,203.82,5,203.8,14,203.73,1,203.72,3,203.66,1,203.65,3,203.54,2,203.5,4,203.93,8,203.94,1,203.95,1,203.99,10,204.0,6,204.01,5,204.02,1,204.06,4,204.09,1,204.17,2
2020-10-29 09:30:30,203.875,203.9,1,203.83,12,203.92,2,203.92,203.83,203.83,12,203.82,5,203.8,14,203.73,1,203.72,3,203.66,1,203.65,3,203.54,2,203.5,4,,,203.92,2,203.93,8,203.94,1,203.95,1,203.99,10,204.0,6,204.01,5,204.02,1,204.06,4,204.09,1
2020-10-29 09:30:31,203.965,203.92,1,203.93,3,204.0,8,204.0,203.93,203.93,3,203.92,2,203.91,3,203.9,3,203.83,12,203.82,5,203.8,14,203.73,1,203.72,3,203.66,1,204.0,8,204.01,6,204.02,1,204.06,4,204.09,1,204.17,2,204.18,1,204.2,2,,,,
2020-10-29 09:30:32,204.035,203.99,1,204.0,3,204.07,1,204.07,204.0,204.0,3,203.99,1,203.98,1,203.97,3,203.96,2,203.95,3,203.94,3,203.93,3,203.92,2,203.91,3,204.07,1,204.09,1,204.17,2,204.18,1,204.2,2,,,,,,,,,,
2020-10-29 09:30:34,204.125,204.15,1,204.08,3,204.17,3,204.17,204.08,204.08,3,204.07,3,204.06,2,204.04,2,204.03,3,204.02,3,204.01,3,204.0,3,203.99,1,203.98,1,204.17,3,204.18,1,204.2,2,,,,,,,,,,,,,,
2020-10-29 09:30:34,204.125,204.1,1,204.08,3,204.17,3,204.17,204.08,204.08,3,204.07,3,204.06,2,204.04,2,204.03,3,204.02,3,204.01,3,204.0,3,203.99,1,203.98,1,204.17,3,204.18,1,204.2,2,,,,,,,,,,,,,,
2020-10-29 09:30:35,204.075,204.08,1,204.04,1,204.11,10,204.11,204.04,204.04,1,204.03,4,204.02,3,204.01,3,204.0,3,203.99,1,203.98,1,203.97,3,203.96,2,203.95,3,204.11,10,204.12,6,204.13,6,204.14,2,204.17,4,204.18,1,204.2,2,,,,,,
2020-10-29 09:30:36,204.16,204.18,1,204.12,1,204.2,3,204.2,204.12,204.12,1,204.08,3,204.04,1,204.03,4,204.02,3,204.01,3,204.0,3,203.99,1,203.98,1,203.97,3,204.2,3,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:37,204.14,204.09,1,204.08,3,204.2,4,204.2,204.08,204.08,3,204.04,1,204.03,4,204.02,3,204.01,3,204.0,3,203.99,1,203.98,1,203.97,3,203.96,2,204.2,4,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:38,204.135,204.15,1,204.08,3,204.19,1,204.19,204.08,204.08,3,204.04,1,204.03,4,204.02,3,204.01,3,204.0,3,203.99,1,203.98,1,203.97,3,203.96,2,204.19,1,204.2,4,,,,,,,,,,,,,,,,
2020-10-29 09:30:39,204.135,204.08,2,204.08,3,204.19,2,204.19,204.08,204.08,3,204.04,1,204.03,4,204.02,3,204.01,3,204.0,3,203.99,1,203.98,1,203.97,3,203.96,2,204.19,2,204.2,4,,,,,,,,,,,,,,,,
2020-10-29 09:30:40,204.14,204.12,1,204.09,1,204.19,8,204.19,204.09,204.09,1,204.08,3,204.04,1,204.03,4,204.02,3,204.01,3,204.0,3,203.99,1,203.98,1,203.97,3,204.19,8,204.2,4,,,,,,,,,,,,,,,,
