sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2020-10-29 09:30:27,679.705,0.0,0,678.2,1,681.21,1,681.21,678.2,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,677.82,1,677.8,1,677.69,1,677.68,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:28,679.74,0.0,0,678.27,1,681.21,1,681.21,678.27,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,677.82,1,677.8,1,677.69,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:29,679.755,0.0,0,678.3,1,681.21,1,681.21,678.3,678.3,1,678.28,1,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,677.82,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:30,679.775,0.0,0,678.34,1,681.21,1,681.21,678.34,678.34,1,678.3,1,678.28,1,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:31,679.775,0.0,0,678.34,1,681.21,1,681.21,678.34,678.34,1,678.3,1,678.28,1,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:32,679.775,0.0,0,678.34,1,681.21,1,681.21,678.34,678.34,1,678.3,1,678.28,1,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:34,679.775,0.0,0,678.34,1,681.21,1,681.21,678.34,678.34,1,678.3,1,678.28,1,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:34,679.775,0.0,0,678.34,1,681.21,1,681.21,678.34,678.34,1,678.3,1,678.28,1,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:35,679.775,0.0,0,678.34,1,681.21,1,681.21,678.34,678.34,1,678.3,1,678.28,1,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:36,679.775,0.0,0,678.34,1,681.21,1,681.21,678.34,678.34,1,678.3,1,678.28,1,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,681.21,1,683.67,2,684.13,2,685.47,1,,,,,,,,,,,,
2020-10-29 09:30:37,679.955,0.0,0,678.28,3,681.63,1,681.63,678.28,678.28,3,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,677.82,1,677.8,1,681.63,1,681.95,1,683.17,1,683.67,2,684.13,2,685.47,1,,,,,,,,
2020-10-29 09:30:38,680.14,0.0,0,678.74,1,681.54,1,681.54,678.74,678.74,1,678.28,2,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,677.82,1,681.54,1,681.63,1,681.95,1,683.17,1,683.67,2,684.13,2,685.47,1,,,,,,
2020-10-29 09:30:39,680.14,0.0,0,678.74,1,681.54,1,681.54,678.74,678.74,1,678.28,2,678.27,1,678.2,1,678.14,1,678.08,1,678.03,1,677.98,1,677.85,1,677.82,1,681.54,1,681.63,1,681.95,1,683.17,1,683.67,2,684.13,2,685.47,1,,,,,,
