sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2026-02-05 09:30:17,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05 09:30:18,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05 09:30:20,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05 09:30:21,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05 09:30:22,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05 09:30:22,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05 09:30:24,128.85,128.17,1,128.02,100,129.68,100,129.68,128.02,128.02,100,126.75,200,126.32,100,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:25,128.105,128.17,1,128.05,100,128.16,100,128.16,128.05,128.05,100,126.75,200,126.32,100,,,,,,,,,,,,,,,128.16,100,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,
2026-02-05 09:30:26,128.215,128.17,1,126.75,200,129.68,100,129.68,126.75,126.75,200,126.32,100,,,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:27,128.215,128.17,1,126.75,200,129.68,100,129.68,126.75,126.75,200,126.32,100,,,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:28,128.215,128.17,1,126.75,200,129.68,100,129.68,126.75,126.75,200,126.32,100,,,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:29,128.87,128.17,1,128.06,100,129.68,100,129.68,128.06,128.06,100,128.05,100,126.75,200,126.32,100,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:30,128.13,128.17,1,128.05,100,128.21,100,128.21,128.05,128.05,100,126.75,200,126.32,100,,,,,,,,,,,,,,,128.21,100,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,
2026-02-05 09:30:31,128.865,128.17,1,128.05,100,129.68,100,129.68,128.05,128.05,100,126.75,200,126.32,100,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:32,128.865,128.17,1,128.05,100,129.68,100,129.68,128.05,128.05,100,126.75,200,126.32,100,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:33,128.215,128.04,2,126.75,200,129.68,100,129.68,126.75,126.75,200,126.32,100,,,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:34,128.84,128.04,2,128.0,100,129.68,100,129.68,128.0,128.0,100,126.75,200,126.32,100,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:35,128.845,128.04,2,128.01,300,129.68,100,129.68,128.01,128.01,300,126.75,200,126.32,100,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:36,128.215,128.04,2,126.75,200,129.68,100,129.68,126.75,126.75,200,126.32,100,,,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:37,128.885,128.04,2,128.09,100,129.68,100,129.68,128.09,128.09,100,126.75,200,126.32,100,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:38,128.885,128.04,2,128.09,200,129.68,100,129.68,128.09,128.09,200,128.0,100,126.75,200,126.32,100,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:39,128.84,128.04,2,128.0,100,129.68,100,129.68,128.0,128.0,100,126.75,200,126.32,100,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:40,128.84,128.04,2,128.0,100,129.68,100,129.68,128.0,128.0,100,126.75,200,126.32,100,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
2026-02-05 09:30:41,128.84,128.04,2,128.0,100,129.68,100,129.68,128.0,128.0,100,126.75,200,126.32,100,,,,,,,,,,,,,,,129.68,100,130.04,200,135.27,100,,,,,,,,,,,,,,
