sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2025-04-10 09:30:11,189.245,189.2,23,189.17,2,189.32,10,189.32,189.17,189.17,2,189.1,2,189.05,2,189.04,7,189.03,6,188.96,3,188.95,3,,,,,,,189.32,10,189.33,3,189.37,12,189.38,7,189.39,1,189.4,2,189.43,1,189.45,2,189.49,8,189.5,8
2025-04-10 09:30:12,189.34,189.34,1,189.28,9,189.4,2,189.4,189.28,189.28,9,189.27,5,189.24,7,189.23,6,189.18,3,189.17,4,189.1,2,189.05,2,189.04,7,189.03,6,189.4,2,189.41,6,189.43,5,189.45,4,189.49,8,189.5,8,,,,,,,,
2025-04-10 09:30:14,189.155,189.16,1,189.1,2,189.21,5,189.21,189.1,189.1,2,189.09,266,189.05,2,189.04,7,189.03,6,188.96,3,188.95,3,,,,,,,189.21,5,189.22,3,189.23,17,189.29,6,189.35,1,189.4,4,189.41,6,189.43,5,189.45,4,189.49,8
2025-04-10 09:30:15,189.135,189.19,1,189.11,2,189.18,5,189.18,189.11,189.08,2,189.07,1,189.04,3,189.03,2,189.02,5,189.01,1,188.96,3,188.95,3,,,,,189.19,7,189.2,4,189.21,5,189.22,3,189.23,17,189.29,6,189.35,1,189.4,4,189.41,6,189.43,5
2025-04-10 09:30:16,189.06,189.09,2,189.02,4,189.1,1,189.1,189.02,189.02,4,189.01,3,188.96,3,188.95,3,,,,,,,,,,,,,189.1,1,189.15,4,189.19,13,189.2,4,189.21,7,189.22,3,189.23,17,189.29,6,189.35,1,189.4,4
2025-04-10 09:30:17,189.315,189.31,1,189.28,4,189.35,1,189.35,189.28,189.28,4,189.27,7,189.26,2,189.22,5,189.19,5,189.15,3,189.14,4,189.09,1,189.08,1,189.07,3,189.35,1,189.4,4,189.41,6,189.43,5,189.45,4,189.49,8,189.5,8,,,,,,
2025-04-10 09:30:18,189.335,189.34,1,189.28,5,189.39,10,189.39,189.28,189.28,5,189.27,7,189.26,2,189.22,5,189.19,5,189.15,3,189.14,4,189.09,1,189.08,1,189.07,3,189.39,10,189.4,8,189.41,1,189.44,10,189.47,2,189.48,7,189.5,9,,,,,,
2025-04-10 09:30:19,189.31,189.31,1,189.28,1,189.34,2,189.34,189.28,189.28,1,189.24,1,189.22,5,189.19,5,189.15,3,189.14,4,189.09,1,189.08,1,189.07,3,189.02,4,189.34,2,189.39,2,189.41,2,189.44,10,189.47,2,189.48,7,189.5,9,,,,,,
2025-04-10 09:30:20,189.35,189.35,1,189.32,2,189.38,2,189.38,189.32,189.32,2,189.27,2,189.26,1,189.24,1,189.22,5,189.19,5,189.15,3,189.14,4,189.09,1,189.08,1,189.38,2,189.44,8,189.47,2,189.48,7,189.5,9,,,,,,,,,,
2025-04-10 09:30:21,189.65,189.65,1,189.6,2,189.7,2,189.7,189.6,189.6,2,189.57,2,189.54,2,189.51,3,189.5,3,189.45,5,189.44,5,189.43,2,189.35,2,189.34,1,189.7,2,189.71,3,,,,,,,,,,,,,,,,
2025-04-10 09:30:22,189.81,189.81,1,189.76,10,189.86,5,189.86,189.76,189.76,10,189.74,1,189.73,2,189.71,3,189.67,3,189.66,3,189.6,6,189.57,2,189.54,2,189.51,3,189.86,5,189.87,6,189.88,5,189.89,6,,,,,,,,,,,,
2025-04-10 09:30:23,189.81,189.81,3,189.76,1,189.86,17,189.86,189.76,189.76,1,189.74,1,189.73,1,189.71,3,189.67,3,189.66,3,189.6,6,189.57,2,189.54,2,189.51,3,189.86,17,189.87,6,189.88,5,189.89,6,,,,,,,,,,,,
