sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2025-04-10 09:30:11,255.27,255.27,6,253.86,6,256.68,3,256.68,253.86,253.86,6,253.35,5,,,,,,,,,,,,,,,,,256.68,3,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:12,254.84,254.63,1,253.0,5,256.68,3,256.68,253.0,253.0,5,,,,,,,,,,,,,,,,,,,256.68,3,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:14,255.005,254.63,1,253.33,1,256.68,3,256.68,253.33,253.33,1,253.0,5,,,,,,,,,,,,,,,,,256.68,3,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:15,255.005,254.63,1,253.33,1,256.68,3,256.68,253.33,253.33,1,253.0,5,,,,,,,,,,,,,,,,,256.68,3,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:16,255.005,254.63,1,253.33,1,256.68,3,256.68,253.33,253.33,1,253.0,5,,,,,,,,,,,,,,,,,256.68,3,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:17,255.005,254.63,1,253.33,1,256.68,3,256.68,253.33,253.33,1,253.0,5,,,,,,,,,,,,,,,,,256.68,3,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:18,255.005,254.63,1,253.33,1,256.68,3,256.68,253.33,253.33,1,253.0,5,,,,,,,,,,,,,,,,,256.68,3,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:19,254.875,254.63,1,253.36,5,256.39,5,256.39,253.36,253.36,5,253.33,1,253.0,5,,,,,,,,,,,,,,,256.39,5,256.42,1,256.68,3,,,,,,,,,,,,,,
2025-04-10 09:30:20,254.875,254.63,1,253.36,5,256.39,5,256.39,253.36,253.36,5,253.33,1,253.0,5,,,,,,,,,,,,,,,256.39,5,256.42,1,256.68,3,,,,,,,,,,,,,,
2025-04-10 09:30:21,254.875,254.63,1,253.36,5,256.39,5,256.39,253.36,253.36,5,253.33,1,253.0,5,,,,,,,,,,,,,,,256.39,5,256.42,1,256.68,3,,,,,,,,,,,,,,
