sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2025-04-10 09:30:11,135.455,135.46,1,135.0,4,135.91,1,135.91,135.0,135.0,4,134.21,4,,,,,,,,,,,,,,,,,135.91,1,135.92,2,135.94,3,,,,,,,,,,,,,,
2025-04-10 09:30:12,135.455,135.46,1,135.0,4,135.91,1,135.91,135.0,135.0,4,134.21,4,,,,,,,,,,,,,,,,,135.91,1,135.92,2,135.94,3,,,,,,,,,,,,,,
2025-04-10 09:30:14,135.455,135.46,1,135.0,4,135.91,1,135.91,135.0,135.0,4,134.21,4,,,,,,,,,,,,,,,,,135.91,1,135.92,2,135.94,3,,,,,,,,,,,,,,
2025-04-10 09:30:15,135.455,135.46,1,135.0,4,135.91,1,135.91,135.0,135.0,4,134.21,4,,,,,,,,,,,,,,,,,135.91,1,135.92,2,135.94,3,,,,,,,,,,,,,,
2025-04-10 09:30:16,135.455,135.46,1,135.0,4,135.91,1,135.91,135.0,135.0,4,134.21,4,,,,,,,,,,,,,,,,,135.91,1,135.92,2,135.94,3,,,,,,,,,,,,,,
2025-04-10 09:30:17,135.455,135.46,1,135.0,4,135.91,1,135.91,135.0,135.0,4,134.21,4,,,,,,,,,,,,,,,,,135.91,1,135.92,2,135.94,3,,,,,,,,,,,,,,
2025-04-10 09:30:18,135.68,135.46,1,135.45,4,135.91,3,135.91,135.45,135.45,4,135.0,4,134.21,4,,,,,,,,,,,,,,,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,,,
2025-04-10 09:30:19,135.68,135.46,1,135.45,4,135.91,3,135.91,135.45,135.45,4,135.0,4,134.21,4,,,,,,,,,,,,,,,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,,,
2025-04-10 09:30:20,135.68,135.46,1,135.45,4,135.91,3,135.91,135.45,135.45,4,135.0,4,134.21,4,,,,,,,,,,,,,,,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,,,
2025-04-10 09:30:21,135.675,135.46,1,135.45,6,135.9,2,135.9,135.45,135.45,6,135.0,4,134.21,4,,,,,,,,,,,,,,,135.9,2,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:22,135.675,135.5,1,135.45,6,135.9,2,135.9,135.45,135.45,6,135.0,4,134.21,4,,,,,,,,,,,,,,,135.9,2,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:23,135.675,135.68,1,135.45,6,135.9,2,135.9,135.45,135.45,6,135.0,4,134.21,4,,,,,,,,,,,,,,,135.9,2,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:24,135.675,135.68,1,135.45,6,135.9,2,135.9,135.45,135.45,6,135.0,4,134.21,4,,,,,,,,,,,,,,,135.9,2,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:25,135.785,135.79,1,135.67,4,135.9,2,135.9,135.67,135.67,4,135.45,6,135.0,4,134.21,4,,,,,,,,,,,,,135.9,2,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:26,135.785,135.79,1,135.67,4,135.9,2,135.9,135.67,135.67,4,135.45,6,135.0,4,134.21,4,,,,,,,,,,,,,135.9,2,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:27,135.785,135.79,1,135.67,5,135.9,3,135.9,135.67,135.67,5,135.45,6,135.0,4,134.21,4,,,,,,,,,,,,,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:28,135.78,135.67,1,135.66,1,135.9,3,135.9,135.66,135.66,1,135.45,6,135.0,4,134.21,4,,,,,,,,,,,,,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:29,135.45,135.66,1,135.0,1,135.9,3,135.9,135.0,135.0,1,134.21,4,,,,,,,,,,,,,,,,,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:30,135.45,135.45,1,135.0,1,135.9,3,135.9,135.0,135.0,1,134.21,4,,,,,,,,,,,,,,,,,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:31,135.45,135.45,1,135.0,2,135.9,3,135.9,135.0,135.0,2,134.21,4,,,,,,,,,,,,,,,,,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:32,135.45,135.45,1,135.0,2,135.9,3,135.9,135.0,135.0,2,134.21,4,,,,,,,,,,,,,,,,,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,,,
2025-04-10 09:30:33,135.445,135.45,1,135.0,2,135.89,1,135.89,135.0,135.0,2,134.21,4,,,,,,,,,,,,,,,,,135.89,1,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,
2025-04-10 09:30:34,135.445,135.45,1,135.0,2,135.89,1,135.89,135.0,135.0,2,134.21,4,,,,,,,,,,,,,,,,,135.89,1,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,
2025-04-10 09:30:35,135.445,135.45,1,135.0,2,135.89,1,135.89,135.0,135.0,2,134.21,4,,,,,,,,,,,,,,,,,135.89,1,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,
2025-04-10 09:30:36,135.445,135.45,1,135.0,3,135.89,2,135.89,135.0,135.0,3,134.21,4,,,,,,,,,,,,,,,,,135.89,2,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,
2025-04-10 09:30:37,135.445,135.44,1,135.0,3,135.89,2,135.89,135.0,135.0,3,134.21,4,,,,,,,,,,,,,,,,,135.89,2,135.9,3,135.91,3,135.92,2,135.94,3,,,,,,,,,,
