sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2025-04-10 09:30:11,382.44,382.45,1,382.29,2,382.59,3,382.59,382.29,382.29,2,382.28,3,382.23,2,382.2,3,382.15,1,382.1,1,382.0,19,,,,,,,382.59,3,382.6,2,382.68,7,382.7,8,,,,,,,,,,,,
2025-04-10 09:30:12,382.435,382.44,1,382.28,3,382.59,5,382.59,382.28,382.28,3,382.23,2,382.2,3,382.15,1,382.1,1,382.0,19,,,,,,,,,382.59,5,382.6,2,382.68,7,382.7,8,,,,,,,,,,,,
2025-04-10 09:30:14,382.19,382.19,1,382.04,1,382.34,3,382.34,382.04,382.04,1,382.02,1,382.0,19,,,,,,,,,,,,,,,382.34,3,382.35,3,382.36,1,382.43,3,382.58,2,382.59,6,382.6,2,382.68,7,382.7,8,,
2025-04-10 09:30:15,382.19,382.13,1,382.04,1,382.34,4,382.34,382.04,382.04,1,382.02,1,382.0,19,,,,,,,,,,,,,,,382.34,4,382.35,3,382.36,1,382.43,3,382.58,2,382.59,6,382.6,2,382.68,7,382.7,8,,
2025-04-10 09:30:16,381.89,381.98,1,381.76,1,382.02,2,382.02,381.76,381.76,1,,,,,,,,,,,,,,,,,,,382.02,2,382.04,3,382.05,4,382.06,3,382.07,2,382.08,3,382.09,4,382.17,2,382.18,1,382.19,3
2025-04-10 09:30:17,381.965,381.97,5,381.85,4,382.08,5,382.08,381.85,381.85,4,381.8,2,381.76,1,,,,,,,,,,,,,,,382.08,5,382.09,2,382.17,2,382.18,1,382.19,3,382.33,3,382.34,7,382.35,3,382.36,1,382.43,3
2025-04-10 09:30:18,382.165,382.17,1,382.01,1,382.32,1,382.32,382.01,382.01,1,381.96,1,381.9,1,381.85,4,381.8,2,381.76,1,,,,,,,,,382.32,1,382.33,3,382.34,7,382.35,3,382.36,1,382.43,3,382.58,2,382.59,6,382.6,2,382.68,7
2025-04-10 09:30:19,381.955,382.02,1,381.81,1,382.1,3,382.1,381.81,381.81,1,381.8,2,381.76,1,,,,,,,,,,,,,,,382.1,3,382.11,3,382.23,1,382.31,1,382.32,2,382.33,3,382.34,7,382.35,3,382.36,1,382.43,3
2025-04-10 09:30:20,381.705,381.75,10,381.58,2,381.83,2,381.83,381.58,381.58,2,,,,,,,,,,,,,,,,,,,381.83,2,381.9,3,381.99,2,382.0,2,382.1,2,382.11,3,382.23,1,382.31,1,382.32,2,382.33,3
2025-04-10 09:30:21,382.01,382.0,2,381.9,1,382.12,3,382.12,381.9,381.9,1,381.84,1,381.83,3,381.7,3,381.66,2,381.58,2,,,,,,,,,382.12,3,382.13,2,382.23,1,382.31,1,382.32,2,382.33,3,382.34,7,382.35,3,382.36,1,382.43,3
2025-04-10 09:30:22,382.01,382.01,1,381.9,1,382.12,3,382.12,381.9,381.9,1,381.84,1,381.83,3,381.7,3,381.66,2,381.58,2,,,,,,,,,382.12,3,382.13,2,382.23,1,382.31,1,382.32,2,382.33,3,382.34,7,382.35,3,382.36,1,382.43,3
2025-04-10 09:30:23,381.985,382.01,1,381.9,2,382.07,1,382.07,381.9,381.9,2,381.84,1,381.83,3,381.7,3,381.66,2,381.58,2,,,,,,,,,382.07,1,382.08,4,382.09,3,382.1,4,382.11,4,382.12,4,382.13,2,382.23,1,382.31,1,382.32,2
2025-04-10 09:30:24,382.01,382.01,1,381.91,1,382.11,2,382.11,381.91,381.91,1,381.9,2,381.71,2,381.7,3,381.66,2,381.58,2,,,,,,,,,382.11,2,382.12,7,382.13,2,382.23,1,382.31,1,382.32,2,382.33,3,382.34,7,382.35,3,382.36,1
