sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2025-04-10 09:30:11,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:12,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:14,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:15,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:16,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:17,,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:18,89.115,89.12,1,89.03,1,89.2,1,89.2,89.03,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,88.63,2,88.6,1,,,,,89.2,1,89.25,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:19,89.115,89.12,1,89.03,1,89.2,1,89.2,89.03,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,88.63,2,88.6,1,,,,,89.2,1,89.25,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:20,89.115,89.12,1,89.03,1,89.2,1,89.2,89.03,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,88.63,2,88.6,1,,,,,89.2,1,89.25,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:21,89.115,89.12,1,89.03,1,89.2,1,89.2,89.03,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,88.63,2,88.6,1,,,,,89.2,1,89.25,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:22,89.14,89.18,1,89.03,1,89.25,15,89.25,89.03,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,88.63,2,88.6,1,,,,,89.25,15,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:23,89.265,89.25,10,89.18,1,89.35,1,89.35,89.18,89.18,1,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,88.63,2,88.6,1,89.35,1,89.49,1,,,,,,,,,,,,,,,,
2025-04-10 09:30:24,89.255,89.28,1,89.16,1,89.35,1,89.35,89.16,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,88.63,2,88.6,1,,,89.35,1,89.49,1,,,,,,,,,,,,,,,,
2025-04-10 09:30:25,89.365,89.31,1,89.29,7,89.44,1,89.44,89.29,89.29,7,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,88.63,2,89.44,1,89.5,7,,,,,,,,,,,,,,,,
2025-04-10 09:30:26,89.375,89.31,1,89.29,5,89.46,1,89.46,89.29,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,88.63,2,89.46,1,89.5,7,,,,,,,,,,,,,,,,
2025-04-10 09:30:27,89.46,89.5,1,89.4,1,89.52,1,89.52,89.4,89.4,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,89.52,1,89.6,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:28,89.5,89.47,1,89.41,1,89.59,2,89.59,89.41,89.41,1,89.38,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,89.59,2,89.6,14,,,,,,,,,,,,,,,,
2025-04-10 09:30:29,89.505,89.47,1,89.41,1,89.6,15,89.6,89.41,89.41,1,89.38,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,89.6,15,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:30,89.43,89.51,1,89.38,1,89.48,1,89.48,89.38,89.38,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,89.48,1,89.6,14,,,,,,,,,,,,,,,,
2025-04-10 09:30:31,89.435,89.51,1,89.38,1,89.49,1,89.49,89.38,89.38,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,89.49,1,89.6,14,,,,,,,,,,,,,,,,
2025-04-10 09:30:32,89.47,89.44,1,89.34,1,89.6,15,89.6,89.34,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,89.6,15,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:33,89.405,89.44,1,89.34,1,89.47,1,89.47,89.34,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,89.47,1,89.6,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:34,89.405,89.44,1,89.34,1,89.47,1,89.47,89.34,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,89.47,1,89.6,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:35,89.405,89.44,1,89.34,1,89.47,1,89.47,89.34,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,89.47,1,89.6,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:36,89.405,89.44,1,89.34,1,89.47,1,89.47,89.34,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,88.64,2,89.47,1,89.6,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:37,89.42,89.44,1,89.36,1,89.48,1,89.48,89.36,89.36,1,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,88.65,3,89.48,1,89.6,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:38,89.445,89.44,1,89.38,2,89.51,1,89.51,89.38,89.38,2,89.36,1,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,88.75,1,89.51,1,89.6,15,,,,,,,,,,,,,,,,
2025-04-10 09:30:39,89.495,89.49,1,89.39,1,89.6,14,89.6,89.39,89.39,1,89.38,1,89.36,1,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,89.6,14,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:40,89.495,89.49,1,89.39,1,89.6,14,89.6,89.39,89.39,1,89.38,1,89.36,1,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,89.6,14,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:41,89.495,89.49,1,89.39,1,89.6,14,89.6,89.39,89.39,1,89.38,1,89.36,1,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,89.6,14,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:42,89.495,89.49,1,89.39,1,89.6,14,89.6,89.39,89.39,1,89.38,1,89.36,1,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,89.6,14,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:43,89.495,89.49,1,89.39,1,89.6,14,89.6,89.39,89.39,1,89.38,1,89.36,1,89.34,1,89.29,5,89.26,6,89.16,1,89.03,1,88.9,2,88.89,2,89.6,14,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:44,89.7,89.71,2,89.65,1,89.75,12,89.75,89.65,89.65,1,89.64,1,89.61,1,89.6,3,89.59,1,89.39,1,89.38,1,89.36,1,89.34,1,89.29,5,89.75,12,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:45,89.7,89.71,2,89.65,1,89.75,12,89.75,89.65,89.65,1,89.64,1,89.61,1,89.6,3,89.59,1,89.39,1,89.38,1,89.36,1,89.34,1,89.29,5,89.75,12,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:46,89.735,89.75,12,89.67,1,89.8,2,89.8,89.67,89.67,1,89.65,1,89.57,1,89.39,1,89.38,1,89.36,1,89.34,1,89.29,5,89.26,6,89.16,1,89.8,2,,,,,,,,,,,,,,,,,,
2025-04-10 09:30:47,89.735,89.75,12,89.67,1,89.8,2,89.8,89.67,89.67,1,89.65,1,89.57,1,89.39,1,89.38,1,89.36,1,89.34,1,89.29,5,89.26,6,89.16,1,89.8,2,,,,,,,,,,,,,,,,,,
