sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2026-01-16 09:30:36,239.255,239.26,5,239.2,600,239.31,200,239.31,239.2,239.2,600,239.19,1200,239.18,1500,239.17,1100,239.15,600,239.14,1300,239.13,600,239.12,600,239.11,600,239.1,600,239.31,200,239.32,1000,239.35,400,239.38,400,239.43,400,239.45,200,239.47,400,239.48,200,,,,
2026-01-16 09:30:37,239.22,239.22,1,239.19,1800,239.25,300,239.25,239.19,239.19,1800,239.18,1500,239.17,1100,239.15,600,239.14,1300,239.13,600,239.12,600,239.11,600,239.1,600,239.09,1400,239.25,300,239.26,200,239.27,700,239.28,100,239.32,900,239.35,400,239.38,400,239.43,400,239.45,200,239.47,400
2026-01-16 09:30:38,239.225,239.19,1,239.16,1200,239.29,200,239.29,239.16,239.16,1200,239.15,1200,239.14,500,239.13,200,239.12,600,239.11,600,239.1,600,239.09,1400,239.08,3700,239.02,800,239.29,200,239.32,900,239.35,400,239.38,400,239.43,400,239.45,200,239.47,400,239.48,200,,,,
2026-01-16 09:30:38,239.23,239.26,2,239.18,3000,239.28,100,239.28,239.18,239.18,3000,239.17,1100,239.16,1200,239.15,1200,239.14,500,239.13,200,239.12,600,239.11,600,239.1,600,239.09,1400,239.28,100,239.29,200,239.31,200,239.32,900,239.35,400,239.38,400,239.43,400,239.45,200,239.47,400,239.48,200
2026-01-16 09:30:39,239.23,239.26,2,239.18,3000,239.28,100,239.28,239.18,239.18,3000,239.17,1100,239.16,1200,239.15,1200,239.14,500,239.13,200,239.12,600,239.11,600,239.1,600,239.09,1400,239.28,100,239.29,200,239.31,200,239.32,900,239.35,400,239.38,400,239.43,400,239.45,200,239.47,400,239.48,200
2026-01-16 09:30:39,239.245,239.2,6,239.21,500,239.28,400,239.28,239.21,239.21,500,239.2,500,239.19,500,239.18,3000,239.17,1100,239.16,1200,239.15,1200,239.14,500,239.13,200,239.12,600,239.28,400,239.29,200,239.31,200,239.32,900,239.35,400,239.38,400,239.43,400,239.45,200,239.47,400,239.48,200
2026-01-16 09:30:41,239.37,239.37,1,239.31,700,239.43,400,239.43,239.31,239.31,700,239.29,600,239.28,800,239.27,400,239.24,500,239.23,600,239.22,3700,239.21,500,239.2,500,239.19,500,239.43,400,239.45,200,239.47,400,239.48,200,,,,,,,,,,,,
2026-01-16 09:30:43,239.35,239.35,1,239.29,800,239.41,200,239.41,239.29,239.29,800,239.28,800,239.27,400,239.24,500,239.23,600,239.22,3700,239.21,500,239.2,500,239.19,500,239.18,3000,239.41,200,239.43,500,239.45,200,239.47,400,239.48,200,,,,,,,,,,
2026-01-16 09:30:44,239.335,239.35,1,239.29,800,239.38,100,239.38,239.29,239.29,800,239.28,800,239.27,400,239.24,500,239.23,600,239.22,3700,239.21,500,239.2,500,239.19,500,239.18,3000,239.38,100,239.4,100,239.41,200,239.43,500,239.45,200,239.47,400,239.48,200,,,,,,
2026-01-16 09:30:45,239.265,239.23,1,239.22,3600,239.31,200,239.31,239.22,239.22,3600,239.21,500,239.2,500,239.19,500,239.18,3000,239.17,1100,239.16,1200,239.15,1200,239.14,500,239.13,200,239.31,200,239.34,400,239.35,100,239.38,100,239.4,100,239.41,200,239.43,500,239.45,200,239.47,400,239.48,200
