sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2026-01-16 09:30:36,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:37,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:41,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:43,232.48,232.48,100,232.15,400,232.81,200,232.81,232.15,232.15,400,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,,,,,,,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,,,,,
2026-01-16 09:30:44,232.48,232.48,100,232.15,400,232.81,200,232.81,232.15,232.15,400,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,,,,,,,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,,,,,
2026-01-16 09:30:45,232.475,232.33,1,232.15,400,232.8,200,232.8,232.15,232.15,400,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,,,,,,,232.8,200,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,,,
2026-01-16 09:30:46,232.495,232.15,3,232.19,300,232.8,200,232.8,232.19,232.19,300,232.18,700,232.17,100,232.1,100,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,232.8,200,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,,,
2026-01-16 09:30:47,232.375,232.15,3,232.19,300,232.56,400,232.56,232.19,232.19,300,232.18,700,232.17,100,232.1,100,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,232.56,400,232.8,200,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,
2026-01-16 09:30:48,232.375,232.15,3,232.19,300,232.56,400,232.56,232.19,232.19,300,232.18,700,232.17,100,232.1,100,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,232.56,400,232.8,200,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,
2026-01-16 09:30:49,232.37,232.35,3,232.18,400,232.56,400,232.56,232.18,232.18,400,232.17,100,232.1,100,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,,,232.56,400,232.8,200,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,
2026-01-16 09:30:50,232.37,232.35,3,232.18,400,232.56,400,232.56,232.18,232.18,400,232.17,100,232.1,100,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,,,232.56,400,232.8,200,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,
2026-01-16 09:30:51,232.39,232.37,1,232.22,400,232.56,400,232.56,232.22,232.22,400,232.18,400,232.17,100,232.1,100,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,232.56,400,232.8,200,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,
2026-01-16 09:30:52,232.39,232.37,1,232.22,600,232.56,400,232.56,232.22,232.22,600,232.18,400,232.17,100,232.1,100,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,232.56,400,232.8,200,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,
2026-01-16 09:30:53,232.39,232.37,1,232.22,600,232.56,400,232.56,232.22,232.22,600,232.18,400,232.17,100,232.1,100,232.0,1000,231.98,900,231.97,500,231.83,100,231.8,700,,,232.56,400,232.8,200,232.81,200,232.89,400,232.9,300,233.0,1200,233.75,100,233.97,100,234.18,100,,
