sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2026-01-16 09:30:36,303.08,302.9,1,302.67,80,303.49,80,303.49,302.67,302.67,80,302.57,80,302.27,80,301.92,120,301.91,80,301.71,40,301.6,80,301.32,80,301.18,40,301.17,40,303.49,80,303.5,40,303.51,40,,,,,,,,,,,,,,
2026-01-16 09:30:37,303.385,303.66,12,302.99,40,303.78,80,303.78,302.99,302.99,40,302.98,40,302.77,40,302.68,80,302.67,120,302.57,80,302.27,80,301.92,120,301.91,80,301.71,40,303.78,80,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,303.685,304.0,1,303.09,40,304.28,80,304.28,303.09,303.09,40,302.99,40,302.98,40,302.77,40,302.68,80,302.67,120,302.57,80,302.27,80,301.92,120,301.91,80,304.28,80,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,303.73,304.0,1,303.18,40,304.28,40,304.28,303.18,303.18,40,303.13,40,303.09,40,302.99,40,302.98,40,302.77,40,302.68,80,302.67,120,302.57,80,302.27,80,304.28,40,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,303.825,304.0,1,303.37,40,304.28,40,304.28,303.37,303.37,40,303.19,40,303.18,80,303.13,40,303.09,40,302.99,40,302.98,40,302.77,40,302.68,80,302.67,120,304.28,40,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,303.825,304.0,1,303.37,40,304.28,40,304.28,303.37,303.37,40,303.19,40,303.18,80,303.13,40,303.09,40,302.99,40,302.98,40,302.77,40,302.68,80,302.67,120,304.28,40,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:41,303.81,304.29,2,303.32,40,304.3,80,304.3,303.32,303.32,40,303.19,40,303.18,80,303.13,40,303.09,40,302.99,40,302.98,40,302.77,40,302.68,80,302.67,120,304.3,80,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:43,303.895,303.91,2,303.5,40,304.29,120,304.29,303.5,303.5,40,303.32,40,303.19,40,303.18,80,303.13,40,303.09,40,302.99,40,302.98,40,302.77,40,302.68,80,304.29,120,304.3,80,,,,,,,,,,,,,,,,
2026-01-16 09:30:44,303.89,303.91,2,303.5,40,304.28,80,304.28,303.5,303.5,40,303.32,40,303.19,40,303.18,80,303.13,40,303.09,40,302.99,40,302.98,40,302.77,40,302.68,80,304.28,80,304.29,120,304.3,80,,,,,,,,,,,,,,
2026-01-16 09:30:45,303.89,304.27,1,303.5,40,304.28,40,304.28,303.5,303.5,40,303.32,40,303.19,40,303.18,80,303.13,40,303.09,40,302.99,40,302.98,40,302.77,40,302.68,80,304.28,40,304.29,120,304.3,80,,,,,,,,,,,,,,
2026-01-16 09:30:46,303.89,304.27,1,303.5,40,304.28,120,304.28,303.5,303.5,40,303.32,40,303.19,40,303.18,80,303.13,40,303.09,40,302.99,40,302.98,40,302.77,40,302.68,80,304.28,120,304.29,120,304.3,80,,,,,,,,,,,,,,
