sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2026-01-16 09:30:36,310.68,310.8,3,310.56,520,310.8,80,310.8,310.56,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.0,80,309.58,160,310.8,80,310.81,600,310.99,440,,,,,,,,,,,,,,
2026-01-16 09:30:37,310.785,310.81,1,310.69,400,310.88,120,310.88,310.69,310.69,400,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.88,120,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,310.785,310.81,1,310.69,200,310.88,200,310.88,310.69,310.69,200,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.88,200,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,310.785,310.81,1,310.69,200,310.88,240,310.88,310.69,310.69,200,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.88,240,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,310.785,310.81,1,310.69,200,310.88,400,310.88,310.69,310.69,200,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.88,400,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,310.785,310.81,1,310.69,200,310.88,400,310.88,310.69,310.69,200,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.88,400,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:41,310.82,310.78,1,310.69,600,310.95,120,310.95,310.69,310.69,600,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.95,120,310.96,120,310.99,440,,,,,,,,,,,,,,
2026-01-16 09:30:43,310.875,310.96,2,310.79,40,310.96,240,310.96,310.79,310.79,40,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.96,240,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:44,310.875,310.96,2,310.79,320,310.96,240,310.96,310.79,310.79,320,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.96,240,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:45,310.875,310.96,2,310.79,320,310.96,240,310.96,310.79,310.79,320,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.96,240,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:46,310.875,310.96,2,310.79,320,310.96,240,310.96,310.79,310.79,320,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.96,240,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:47,310.885,310.79,1,310.81,80,310.96,360,310.96,310.81,310.81,80,310.79,200,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.96,360,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:48,310.885,310.79,1,310.81,80,310.96,360,310.96,310.81,310.81,80,310.79,200,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.96,360,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:49,310.885,310.89,1,310.81,80,310.96,400,310.96,310.81,310.81,80,310.79,200,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.4,160,310.96,400,310.99,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:50,310.93,310.89,2,310.87,120,310.99,480,310.99,310.87,310.87,120,310.81,120,310.79,200,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.99,480,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:51,310.93,310.89,2,310.87,120,310.99,480,310.99,310.87,310.87,120,310.81,120,310.79,200,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.99,480,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:52,310.93,310.89,2,310.87,280,310.99,480,310.99,310.87,310.87,280,310.81,120,310.79,200,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,310.46,800,310.99,480,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:53,310.99,310.99,1,310.88,120,311.1,1040,311.1,310.88,310.88,120,310.87,280,310.81,120,310.79,200,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,310.54,120,311.1,1040,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:54,310.995,310.99,1,310.89,320,311.1,1040,311.1,310.89,310.89,320,310.88,120,310.87,280,310.81,120,310.79,200,310.71,40,310.69,800,310.57,40,310.56,520,310.55,40,311.1,1040,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:55,311.0,310.99,1,310.9,120,311.1,1040,311.1,310.9,310.9,120,310.89,840,310.88,120,310.87,280,310.81,120,310.79,200,310.71,40,310.69,800,310.57,40,310.56,520,311.1,1040,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:56,311.125,311.27,2,310.98,160,311.27,120,311.27,310.98,310.98,160,310.9,120,310.89,840,310.88,120,310.87,280,310.81,120,310.79,200,310.71,40,310.69,800,310.57,40,311.27,120,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:57,311.095,311.1,1,310.93,40,311.26,200,311.26,310.93,310.93,40,310.9,120,310.89,840,310.88,120,310.87,280,310.81,120,310.79,200,310.71,40,310.69,800,310.57,40,311.26,200,311.27,440,,,,,,,,,,,,,,,,
2026-01-16 09:30:58,310.765,310.76,2,310.56,760,310.97,440,310.97,310.56,310.56,760,310.55,40,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.0,80,309.58,160,310.97,440,311.04,40,311.05,120,311.1,120,311.26,200,311.27,440,,,,,,,,
2026-01-16 09:30:59,310.755,310.76,2,310.55,80,310.96,80,310.96,310.55,310.55,80,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.0,80,309.58,160,309.57,160,310.96,80,310.97,440,311.04,40,311.05,120,311.1,120,311.26,200,311.27,440,,,,,,
2026-01-16 09:31:00,310.78,310.76,2,310.6,80,310.96,120,310.96,310.6,310.6,80,310.55,80,310.54,120,310.46,800,310.4,160,310.29,200,310.19,160,310.01,120,310.0,80,309.58,160,310.96,120,310.97,440,311.04,40,311.05,120,311.1,120,311.26,200,311.27,440,,,,,,
2026-01-16 09:31:01,311.1,310.96,1,311.0,320,311.2,120,311.2,311.0,311.0,320,310.96,80,310.9,80,310.83,40,310.71,40,310.7,40,310.6,160,310.55,80,310.54,120,310.46,800,311.2,120,311.22,40,311.23,40,311.26,200,311.27,440,,,,,,,,,,
2026-01-16 09:31:02,311.1,310.8,1,311.0,320,311.2,120,311.2,311.0,311.0,320,310.96,80,310.9,80,310.83,40,310.71,40,310.7,40,310.6,160,310.55,80,310.54,120,310.46,800,311.2,120,311.22,40,311.23,40,311.26,200,311.27,440,,,,,,,,,,
