sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2026-01-16 09:30:36,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:37,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,188.945,189.01,1,188.91,100,188.98,100,188.98,188.91,188.91,100,188.9,300,,,,,,,,,,,,,,,,,188.98,100,188.99,500,189.0,400,189.02,100,189.05,100,189.06,300,189.07,200,189.08,200,189.09,300,189.1,300
2026-01-16 09:30:38,188.83,188.82,59,188.81,600,188.85,100,188.85,188.81,188.81,600,188.8,6200,188.79,6100,188.78,6900,188.77,300,188.75,6000,188.73,1700,,,,,,,188.85,100,188.87,200,188.88,300,188.9,100,188.92,200,188.94,500,188.95,100,188.96,200,188.99,200,189.0,300
2026-01-16 09:30:39,188.93,189.0,1,188.9,800,188.96,100,188.96,188.9,188.9,800,188.89,100,188.88,1500,188.86,300,188.85,100,188.84,200,188.81,600,188.8,300,188.79,100,188.78,600,188.96,100,188.97,800,188.98,800,188.99,300,189.0,1600,189.01,1700,189.02,2000,189.03,1600,189.04,2000,189.05,400
2026-01-16 09:30:39,189.255,189.26,1,189.24,200,189.27,100,189.27,189.24,189.24,200,189.23,1300,189.21,1100,189.18,100,189.14,1100,189.13,200,189.11,800,189.09,1300,189.07,700,189.05,500,189.27,100,189.29,100,189.31,500,189.33,100,189.34,800,189.37,1000,189.38,600,,,,,,
2026-01-16 09:30:41,189.32,189.31,1,189.31,200,189.33,200,189.33,189.31,189.31,200,189.3,500,189.29,400,189.28,200,189.27,100,189.26,300,189.25,700,189.24,800,189.23,200,189.21,500,189.33,200,189.34,500,189.35,1000,189.36,100,189.37,400,189.38,300,189.39,100,189.4,300,189.42,700,189.43,500
2026-01-16 09:30:43,189.24,189.26,1,189.21,1900,189.27,1100,189.27,189.21,189.21,1900,189.2,1900,189.19,5300,189.17,1600,189.15,600,189.14,1100,189.13,200,189.11,800,189.09,1300,189.07,700,189.27,1100,189.28,600,189.29,400,189.3,500,189.31,200,189.32,400,189.33,500,189.34,500,189.35,1000,189.36,100
2026-01-16 09:30:44,189.26,189.23,23,189.23,200,189.29,200,189.29,189.23,189.23,200,189.21,1900,189.2,1900,189.19,5300,189.17,1600,189.15,600,189.14,1100,189.13,200,189.11,800,189.09,1300,189.29,200,189.3,500,189.31,800,189.32,1400,189.33,500,189.34,500,189.35,1000,189.36,100,189.37,400,189.38,300
2026-01-16 09:30:45,189.28,189.27,1,189.25,1300,189.31,800,189.31,189.25,189.25,1300,189.24,500,189.23,200,189.21,1900,189.2,1900,189.19,5300,189.17,1600,189.15,600,189.14,1100,189.13,200,189.31,800,189.32,1400,189.33,500,189.34,500,189.35,1000,189.36,100,189.37,400,189.38,300,189.39,100,189.4,300
2026-01-16 09:30:46,189.37,189.38,1,189.35,6300,189.39,300,189.39,189.35,189.35,6300,189.34,700,189.33,5900,189.32,5800,189.31,1200,189.3,900,189.29,800,189.27,5800,189.26,300,189.25,300,189.39,300,189.4,300,189.42,700,189.43,500,189.44,600,189.45,2800,,,,,,,,
2026-01-16 09:30:47,189.345,189.35,2,189.33,4700,189.36,1400,189.36,189.33,189.33,4700,189.32,5500,189.31,6400,189.3,900,189.29,800,189.27,5800,189.26,300,189.25,300,189.24,800,189.23,400,189.36,1400,189.39,699,189.4,300,189.42,700,189.43,500,189.44,600,189.45,2800,,,,,,
2026-01-16 09:30:48,189.36,189.36,1,189.35,700,189.37,300,189.37,189.35,189.35,700,189.33,1200,189.32,800,189.31,6400,189.3,900,189.29,800,189.27,5800,189.26,300,189.25,300,189.24,800,189.37,300,189.38,200,189.4,300,189.44,800,189.45,2800,,,,,,,,,,
2026-01-16 09:30:49,189.4,189.4,2,189.36,600,189.44,700,189.44,189.36,189.36,600,189.35,699,189.33,1200,189.32,800,189.31,6400,189.3,900,189.29,800,189.27,5800,189.26,300,189.25,300,189.44,700,189.45,2800,,,,,,,,,,,,,,,,
