sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2026-01-16 09:30:36,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:37,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:41,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:43,144.075,144.16,1,143.91,500,144.24,400,144.24,143.91,143.91,500,143.89,300,143.87,100,143.82,100,143.81,100,143.8,200,143.75,500,,,,,,,144.24,400,144.25,800,144.26,100,144.29,100,144.3,500,,,,,,,,,,
2026-01-16 09:30:44,144.1,144.04,1,143.97,100,144.23,900,144.23,143.97,143.97,100,143.91,600,143.89,300,143.87,100,143.82,100,143.81,100,143.8,200,143.75,500,,,,,144.23,900,144.24,400,144.25,800,144.26,100,144.29,100,144.3,500,,,,,,,,
2026-01-16 09:30:45,144.095,144.04,1,143.97,200,144.22,600,144.22,143.97,143.97,200,143.91,600,143.89,300,143.87,100,143.82,100,143.81,100,143.8,200,143.75,500,,,,,144.22,600,144.23,900,144.24,400,144.25,800,144.26,100,144.29,100,144.3,500,,,,,,
2026-01-16 09:30:46,144.055,143.97,1,143.9,500,144.21,500,144.21,143.9,143.9,500,143.89,200,143.87,100,143.82,100,143.81,100,143.8,200,143.75,500,,,,,,,144.21,500,144.22,700,144.23,900,144.24,400,144.25,800,144.26,100,144.29,100,144.3,500,,,,
2026-01-16 09:30:47,143.98,143.97,1,143.89,600,144.07,200,144.07,143.89,143.89,600,143.87,100,143.82,100,143.81,100,143.8,200,143.75,500,,,,,,,,,144.07,200,144.13,500,144.14,400,144.15,900,144.16,600,144.21,500,144.22,700,144.23,900,144.24,400,144.25,800
2026-01-16 09:30:48,143.975,143.97,1,143.89,600,144.06,600,144.06,143.89,143.89,600,143.87,100,143.82,100,143.81,100,143.8,200,143.75,500,,,,,,,,,144.06,600,144.07,200,144.13,500,144.14,400,144.15,900,144.16,600,144.21,500,144.22,700,144.23,900,144.24,400
2026-01-16 09:30:49,143.925,143.93,1,143.84,200,144.01,1500,144.01,143.84,143.84,200,143.82,100,143.81,100,143.8,200,143.75,500,,,,,,,,,,,144.01,1500,144.02,200,144.05,900,144.06,600,144.07,200,144.13,500,144.14,400,144.15,900,144.16,600,144.21,500
2026-01-16 09:30:50,143.925,143.93,1,143.84,200,144.01,1500,144.01,143.84,143.84,200,143.82,100,143.81,100,143.8,200,143.75,500,,,,,,,,,,,144.01,1500,144.02,200,144.05,900,144.06,600,144.07,200,144.13,500,144.14,400,144.15,900,144.16,600,144.21,500
2026-01-16 09:30:51,143.925,143.93,1,143.84,200,144.01,1600,144.01,143.84,143.84,200,143.82,100,143.81,100,143.8,200,143.75,500,,,,,,,,,,,144.01,1600,144.02,200,144.05,900,144.06,600,144.07,200,144.13,500,144.14,400,144.15,900,144.16,600,144.21,500
2026-01-16 09:30:52,143.925,143.93,1,143.84,200,144.01,1600,144.01,143.84,143.84,200,143.82,100,143.81,100,143.8,200,143.75,500,,,,,,,,,,,144.01,1600,144.02,200,144.05,900,144.06,600,144.07,200,144.13,500,144.14,400,144.15,900,144.16,600,144.21,500
2026-01-16 09:30:53,143.925,143.93,5,143.84,200,144.01,1600,144.01,143.84,143.84,200,143.82,100,143.81,100,143.8,200,143.75,500,,,,,,,,,,,144.01,1600,144.02,200,144.05,900,144.06,600,144.07,200,144.13,500,144.14,400,144.15,900,144.16,600,144.21,500
