sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2026-01-16 09:30:36,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:37,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:38,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:39,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:41,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 09:30:43,39.255,39.25,1,39.25,200,39.26,600,39.26,39.25,39.25,200,39.24,900,39.23,1800,39.22,1700,39.21,800,39.2,1000,39.19,900,39.18,500,39.17,800,39.16,700,39.26,600,39.27,100,,,,,,,,,,,,,,,,
2026-01-16 09:30:44,39.17,39.17,1,39.16,1000,39.18,1700,39.18,39.16,39.16,1000,39.15,800,39.14,1000,39.13,600,39.12,500,39.11,700,39.1,1500,,,,,,,39.18,1700,39.19,2500,39.2,3000,39.21,3700,39.22,2300,39.23,400,39.24,2200,39.25,1400,39.26,1400,39.27,100
2026-01-16 09:30:45,39.165,39.16,1,39.16,900,39.17,1800,39.17,39.16,39.16,900,39.15,3500,39.14,1000,39.13,600,39.12,500,39.11,700,39.1,1500,,,,,,,39.17,1800,39.18,2100,39.19,2500,39.2,3000,39.21,3700,39.22,2300,39.23,400,39.24,2200,39.25,1400,39.26,1400
2026-01-16 09:30:46,39.165,39.17,1,39.16,1100,39.17,900,39.17,39.16,39.16,1100,39.15,4500,39.14,1000,39.13,600,39.12,500,39.11,700,39.1,1500,,,,,,,39.17,900,39.18,2100,39.19,2500,39.2,3000,39.21,3700,39.22,2300,39.23,400,39.24,2200,39.25,1400,39.26,1400
2026-01-16 09:30:47,39.13,39.14,1,39.12,2000,39.14,1900,39.14,39.12,39.12,2000,39.11,700,39.1,1500,,,,,,,,,,,,,,,39.14,1900,39.15,3100,39.16,2100,39.17,1700,39.18,2100,39.19,2500,39.2,3000,39.21,3700,39.22,2300,39.23,400
2026-01-16 09:30:48,39.13,39.13,4,39.12,2000,39.14,1900,39.14,39.12,39.12,2000,39.11,700,39.1,1500,,,,,,,,,,,,,,,39.14,1900,39.15,3100,39.16,2100,39.17,1700,39.18,2100,39.19,2500,39.2,3000,39.21,3700,39.22,2300,39.23,400
2026-01-16 09:30:49,39.13,39.14,2,39.12,2000,39.14,1900,39.14,39.12,39.12,2000,39.11,700,39.1,1500,,,,,,,,,,,,,,,39.14,1900,39.15,3100,39.16,2100,39.17,1700,39.18,2100,39.19,2500,39.2,3000,39.21,3700,39.22,2300,39.23,400
2026-01-16 09:30:50,39.155,39.15,3,39.15,1200,39.16,4300,39.16,39.15,39.15,1200,39.14,3100,39.13,4700,39.12,2400,39.11,700,39.1,1500,,,,,,,,,39.16,4300,39.17,2800,39.18,2100,39.19,2500,39.2,3000,39.21,3700,39.22,2300,39.23,400,39.24,2200,39.25,1400
2026-01-16 09:30:51,39.155,39.16,1,39.15,1000,39.16,2400,39.16,39.15,39.15,1000,39.14,3100,39.13,4700,39.12,2400,39.11,700,39.1,1500,,,,,,,,,39.16,2400,39.17,2800,39.18,2100,39.19,2500,39.2,3000,39.21,3700,39.22,2300,39.23,400,39.24,2200,39.25,1400
2026-01-16 09:30:52,39.155,39.16,2,39.15,900,39.16,2400,39.16,39.15,39.15,900,39.14,3100,39.13,4700,39.12,2400,39.11,700,39.1,1500,,,,,,,,,39.16,2400,39.17,2800,39.18,2100,39.19,2500,39.2,3000,39.21,3700,39.22,2300,39.23,400,39.24,2200,39.25,1400
