[[32;1;1mINFO[0m] Connection established.
[21:27:46][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 31.80 | Mid: 198.0600 | Sprd: 0.0800
[21:27:47][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 7.50 | Mid: 197.9300 | Sprd: 0.0200
[21:27:47][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 12.40 | Mid: 389.0350 | Sprd: 0.2300
[21:27:48][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 14.22 | Mid: 198.0500 | Sprd: 0.1000
[21:27:48][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -9.60 | Mid: 152.6950 | Sprd: 0.1500
[21:27:48][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 17.20 | Mid: 389.2650 | Sprd: 0.3900
[21:27:49][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 31.94 | Mid: 198.2900 | Sprd: 0.0200
[21:27:49][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -27.03 | Mid: 152.2900 | Sprd: 0.3000
[21:27:49][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 32.38 | Mid: 389.5100 | Sprd: 0.3200
[21:27:50][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 56.47 | Mid: 198.5500 | Sprd: 0.0600
[21:27:50][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -20.60 | Mid: 152.3900 | Sprd: 0.1000
[21:27:50][MSFT] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 1 | NeutStr: 0 | EMA: 48.02 | Mid: 389.5500 | Sprd: 0.2400
[21:27:51][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 77.57 | Mid: 198.8750 | Sprd: 0.1900
[21:27:51][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -31.67 | Mid: 152.3550 | Sprd: 0.0700
[21:27:51][MSFT] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 2 | NeutStr: 0 | EMA: 47.41 | Mid: 389.0500 | Sprd: 0.1800
[21:27:52][AAPL] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 1 | NeutStr: 0 | EMA: 102.54 | Mid: 198.7600 | Sprd: 0.1400
[21:27:52][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -14.97 | Mid: 152.5800 | Sprd: 0.1200
[21:27:52][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 21.67 | Mid: 388.5650 | Sprd: 0.2700
[21:27:53][AAPL] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 2 | NeutStr: 0 | EMA: 111.17 | Mid: 198.7800 | Sprd: 0.2600
[21:27:53][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 14.69 | Mid: 152.6900 | Sprd: 0.1000
[21:27:53][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -29.14 | Mid: 388.5050 | Sprd: 0.3700
[21:27:54][AAPL] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 3 | NeutStr: 0 | EMA: 105.48 | Mid: 198.7550 | Sprd: 0.1700
[21:27:54][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 68.06 | Mid: 152.6900 | Sprd: 0.0800
[21:27:54][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -62.52 | Mid: 388.6950 | Sprd: 0.3100
[21:27:55][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 75.99 | Mid: 198.6550 | Sprd: 0.0900
