wall_time,sim_time,symbol,event,side,price,lots,detail
18:53:31,2018-08-16 09:30:51,CS1,MM_SUSPENDED,,,,warming up (1/15 cycles)
18:53:31,2018-08-16 09:30:51,CS2,MM_SUSPENDED,,,,warming up (1/15 cycles)
18:53:33,2018-08-16 09:30:52,CS1,MM_SUSPENDED,,,,warming up (2/15 cycles)
18:53:33,2018-08-16 09:30:52,CS2,MM_SUSPENDED,,,,warming up (2/15 cycles)
18:53:35,2018-08-16 09:30:54,CS2,ARB_DETECT,,204.38/204.21,48,agg_bid=76L agg_ask=179L submitting=48L
18:53:35,2018-08-16 09:30:54,CS2,ARB_SUBMIT,BOTH,,48,buy_id=bf750fc4 sell_id=ea150d02
18:53:35,2018-08-16 09:30:54,CS1,MM_SUSPENDED,,,,warming up (3/15 cycles)
18:53:35,2018-08-16 09:30:54,CS2,STAB_RESET,,,,bad spread=-3.4400 — window cleared
18:53:35,2018-08-16 09:30:54,CS2,MM_SUSPENDED,,,,empty book — window reset
18:53:35,2018-08-16 09:30:54,CS2,ARB_DETECT,,204.38/200.94,49,agg_bid=189L agg_ask=218L submitting=49L
18:53:35,2018-08-16 09:30:54,CS2,ARB_SUBMIT,BOTH,,49,buy_id=286f2af4 sell_id=36bae551
18:53:36,2018-08-16 09:30:55,CS2,ARB_DETECT,,204.38/200.94,49,agg_bid=189L agg_ask=218L submitting=49L
18:53:36,2018-08-16 09:30:55,CS2,ARB_SUBMIT,BOTH,,49,buy_id=1a748e75 sell_id=3fd081fa
18:53:36,2018-08-16 09:30:55,CS2,ARB_DETECT,,204.38/200.94,49,agg_bid=189L agg_ask=218L submitting=49L
18:53:36,2018-08-16 09:30:55,CS2,ARB_SUBMIT,BOTH,,49,buy_id=74d99be6 sell_id=5fc062a9
18:53:37,2018-08-16 09:30:56,CS1,MM_SUSPENDED,,,,warming up (4/15 cycles)
18:53:37,2018-08-16 09:30:56,CS2,ARB_DETECT,,204.38/200.94,49,agg_bid=189L agg_ask=216L submitting=49L
18:53:37,2018-08-16 09:30:56,CS2,ARB_SUBMIT,BOTH,,49,buy_id=58b14275 sell_id=b0d6d98e
18:53:37,2018-08-16 09:30:56,CS2,MM_SUSPENDED,,,,empty book — window reset
18:53:38,2018-08-16 09:30:57,CS2,ARB_DETECT,,204.38/200.94,49,agg_bid=112L agg_ask=213L submitting=49L
18:53:38,2018-08-16 09:30:57,CS2,ARB_SUBMIT,BOTH,,49,buy_id=218e3cfc sell_id=3b7f20d7
18:53:38,2018-08-16 09:30:58,CS2,ARB_DETECT,,204.38/200.94,49,agg_bid=112L agg_ask=213L submitting=49L
18:53:38,2018-08-16 09:30:58,CS2,ARB_SUBMIT,BOTH,,49,buy_id=92d183ac sell_id=42a6e239
18:53:39,2018-08-16 09:30:58,CS2,ARB_DETECT,,204.36/200.94,49,agg_bid=77L agg_ask=179L submitting=49L
18:53:39,2018-08-16 09:30:58,CS2,ARB_SUBMIT,BOTH,,49,buy_id=94019d20 sell_id=a46aef22
18:53:39,2018-08-16 09:30:59,CS1,MM_SUSPENDED,,,,warming up (5/15 cycles)
18:53:39,2018-08-16 09:30:59,CS2,MM_SUSPENDED,,,,empty book — window reset
18:53:40,2018-08-16 09:30:59,CS2,ARB_DETECT,,204.36/200.95,49,agg_bid=57L agg_ask=191L submitting=49L
18:53:40,2018-08-16 09:30:59,CS2,ARB_SUBMIT,BOTH,,49,buy_id=24c0ae69 sell_id=7adefbd6
18:53:40,2018-08-16 09:30:59,CS2,ARB_DETECT,,204.36/200.95,49,agg_bid=57L agg_ask=158L submitting=49L
18:53:40,2018-08-16 09:30:59,CS2,ARB_SUBMIT,BOTH,,49,buy_id=c4a9f1ff sell_id=1469bb73
18:53:41,2018-08-16 09:31:01,CS2,ARB_DETECT,,204.36/200.95,49,agg_bid=49L agg_ask=158L submitting=49L
18:53:41,2018-08-16 09:31:01,CS2,ARB_SUBMIT,BOTH,,49,buy_id=b0e04862 sell_id=84caf362
18:53:41,2018-08-16 09:31:01,CS1,MM_SUSPENDED,,,,warming up (6/15 cycles)
18:53:41,2018-08-16 09:31:01,CS2,MM_SUSPENDED,,,,empty book — window reset
18:53:41,2018-08-16 09:31:01,CS2,ARB_DETECT,,204.14/200.95,29,agg_bid=29L agg_ask=93L submitting=29L
18:53:41,2018-08-16 09:31:01,CS2,ARB_SUBMIT,BOTH,,29,buy_id=7c346964 sell_id=b93ccc0d
18:53:42,2018-08-16 09:31:02,CS2,ARB_DETECT,,200.98/200.95,20,agg_bid=20L agg_ask=92L submitting=20L
18:53:42,2018-08-16 09:31:02,CS2,ARB_SUBMIT,BOTH,,20,buy_id=cbe9e71d sell_id=7007ca4b
18:53:43,2018-08-16 09:31:04,CS2,ARB_DETECT,,200.98/200.95,18,agg_bid=18L agg_ask=92L submitting=18L
18:53:43,2018-08-16 09:31:04,CS2,ARB_SUBMIT,BOTH,,18,buy_id=0049c32e sell_id=3e24171a
18:53:43,2018-08-16 09:31:04,CS1,MM_SUSPENDED,,,,warming up (7/15 cycles)
18:53:43,2018-08-16 09:31:04,CS2,ARB_DETECT,,200.98/200.96,6,agg_bid=6L agg_ask=41L submitting=6L
18:53:43,2018-08-16 09:31:04,CS2,ARB_SUBMIT,BOTH,,6,buy_id=ea099fe7 sell_id=1e8e7430
18:53:43,2018-08-16 09:31:04,CS2,MM_SUSPENDED,,,,empty book — window reset
18:53:44,2018-08-16 09:31:06,CS2,ARB_FILLED,BUY,200.9635,48,fully filled
18:53:45,2018-08-16 09:31:07,CS1,MM_SUSPENDED,,,,warming up (8/15 cycles)
18:53:45,2018-08-16 09:31:07,CS2,MM_SUSPENDED,,,,warming up (1/15 cycles)
18:53:47,2018-08-16 09:31:10,CS1,MM_SUSPENDED,,,,warming up (9/15 cycles)
18:53:47,2018-08-16 09:31:10,CS2,MM_SUSPENDED,,,,warming up (2/15 cycles)
18:53:48,2018-08-16 09:31:10,CS1,ARB_DETECT,,99.76/99.15,12,agg_bid=12L agg_ask=168L submitting=12L
18:53:48,2018-08-16 09:31:10,CS1,ARB_SUBMIT,BOTH,,12,buy_id=98ce28f8 sell_id=3004f551
18:53:49,2018-08-16 09:31:11,CS1,ARB_DETECT,,99.76/99.15,12,agg_bid=12L agg_ask=168L submitting=12L
18:53:49,2018-08-16 09:31:11,CS1,ARB_SUBMIT,BOTH,,12,buy_id=750302a3 sell_id=45721e6e
18:53:49,2018-08-16 09:31:11,CS2,ARB_FILLED,SELL,200.9704,49,fully filled
18:53:49,2018-08-16 09:31:11,CS1,ARB_DETECT,,99.76/99.15,12,agg_bid=12L agg_ask=168L submitting=12L
18:53:49,2018-08-16 09:31:11,CS1,ARB_SUBMIT,BOTH,,12,buy_id=6393cbd2 sell_id=b018925b
18:53:49,2018-08-16 09:31:11,CS1,STAB_RESET,,,,bad spread=-0.6100 — window cleared
18:53:49,2018-08-16 09:31:11,CS1,MM_SUSPENDED,,,,empty book — window reset
18:53:49,2018-08-16 09:31:11,CS2,MM_SUSPENDED,,,,warming up (3/15 cycles)
18:53:50,2018-08-16 09:31:12,CS1,ARB_DETECT,,99.76/99.15,12,agg_bid=12L agg_ask=148L submitting=12L
18:53:50,2018-08-16 09:31:12,CS1,ARB_SUBMIT,BOTH,,12,buy_id=e322dd82 sell_id=f9ad880b
18:53:51,2018-08-16 09:31:12,CS1,ARB_DETECT,,99.76/99.15,12,agg_bid=12L agg_ask=148L submitting=12L
18:53:51,2018-08-16 09:31:12,CS1,ARB_SUBMIT,BOTH,,12,buy_id=1408ba9e sell_id=637673cb
18:53:51,2018-08-16 09:31:12,CS2,ARB_DETECT,,203.89/199.93,50,agg_bid=155L agg_ask=172L submitting=50L
18:53:51,2018-08-16 09:31:12,CS2,ARB_SUBMIT,BOTH,,50,buy_id=4a47dc5e sell_id=1a7e3216
18:53:51,2018-08-16 09:31:13,CS1,ARB_DETECT,,99.76/99.15,12,agg_bid=12L agg_ask=148L submitting=12L
18:53:51,2018-08-16 09:31:13,CS1,ARB_SUBMIT,BOTH,,12,buy_id=184e19c4 sell_id=9c79966f
18:53:51,2018-08-16 09:31:13,CS2,ARB_DETECT,,203.88/199.93,50,agg_bid=119L agg_ask=155L submitting=50L
18:53:51,2018-08-16 09:31:13,CS2,ARB_SUBMIT,BOTH,,50,buy_id=b8776528 sell_id=00bd6df2
18:53:51,2018-08-16 09:31:13,CS1,MM_SUSPENDED,,,,empty book — window reset
18:53:51,2018-08-16 09:31:13,CS2,STAB_RESET,,,,bad spread=-3.9500 — window cleared
18:53:51,2018-08-16 09:31:13,CS2,MM_SUSPENDED,,,,empty book — window reset
