wall_time,sim_time,symbol,event,side,price,lots,detail
21:08:55,2018-08-16 09:30:38,CS1,SPREAD_TIGHT,,,,spread=0.0200 < 0.04 — waiting
21:08:55,2018-08-16 09:30:38,CS2,SPREAD_TIGHT,,,,spread=0.0400 < 0.04 — waiting
21:08:57,2018-08-16 09:30:40,CS1,SPREAD_TIGHT,,,,spread=0.0300 < 0.04 — waiting
21:08:58,2018-08-16 09:30:40,CS2,SUBMIT,BUY,204.54,3,bid=204.54 spread=0.3100 pos=+0L inv_ratio=0.00 skew=0.0000
21:08:59,2018-08-16 09:30:40,CS2,SUBMIT,SELL,204.83,3,ask=204.83 spread=0.3100 pos=+0L inv_ratio=0.00 skew=0.0000
21:08:59,2018-08-16 09:30:40,CS2,STATUS,,,,bid=204.54(REST) ask=204.83(REST) spread=0.3100 pos=+0L inv_ratio=0.00 skew=0.0000
21:08:59,2018-08-16 09:30:42,CS1,ARB_DETECT,,100.72/100.03,99,agg_bid=269L agg_ask=240L submitting=99L
21:08:59,2018-08-16 09:30:42,CS1,ARB_SUBMIT,BOTH,,99,buy_id=c77c38e4 sell_id=ae99bec1
21:08:59,2018-08-16 09:30:42,CS1,SPREAD_TIGHT,,,,spread=-0.6900 < 0.04 — waiting
21:08:59,2018-08-16 09:30:42,CS2,FILLED,BID,204.54,,order no longer in waiting list
21:08:59,2018-08-16 09:30:42,CS2,FILLED,ASK,204.83,,order no longer in waiting list
21:08:59,2018-08-16 09:30:42,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.04 — waiting
21:08:59,2018-08-16 09:30:43,CS1,ARB_DETECT,,100.72/100.03,99,agg_bid=269L agg_ask=240L submitting=99L
21:08:59,2018-08-16 09:30:43,CS1,ARB_SUBMIT,BOTH,,99,buy_id=31d3f6b1 sell_id=08a5aa93
21:09:00,2018-08-16 09:30:44,CS1,ARB_DETECT,,100.72/100.04,99,agg_bid=269L agg_ask=160L submitting=99L
21:09:00,2018-08-16 09:30:44,CS1,ARB_SUBMIT,BOTH,,99,buy_id=04eb573c sell_id=6597e792
21:09:01,2018-08-16 09:30:44,CS1,ARB_DETECT,,100.72/100.04,99,agg_bid=269L agg_ask=135L submitting=99L
21:09:01,2018-08-16 09:30:44,CS1,ARB_SUBMIT,BOTH,,99,buy_id=4f333387 sell_id=8b05df78
21:09:01,2018-08-16 09:30:44,CS1,SPREAD_TIGHT,,,,spread=-0.6800 < 0.04 — waiting
21:09:02,2018-08-16 09:30:44,CS2,SUBMIT,BUY,201.71,3,bid=201.71 spread=0.0600 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:03,2018-08-16 09:30:44,CS2,SUBMIT,SELL,201.75,3,ask=201.75 spread=0.0600 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:03,2018-08-16 09:30:44,CS2,STATUS,,,,bid=201.71(REST) ask=201.75(REST) spread=0.0600 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:03,2018-08-16 09:30:46,CS1,ARB_DETECT,,100.72/100.04,99,agg_bid=195L agg_ask=132L submitting=99L
21:09:03,2018-08-16 09:30:46,CS1,ARB_SUBMIT,BOTH,,99,buy_id=5de6dff0 sell_id=51564af9
21:09:03,2018-08-16 09:30:46,CS1,SPREAD_TIGHT,,,,spread=-0.6800 < 0.04 — waiting
21:09:03,2018-08-16 09:30:46,CS2,CANCEL,BID,201.71,,outside spread bid=202.05 ask=202.9
21:09:03,2018-08-16 09:30:46,CS2,FILLED,ASK,201.75,,order no longer in waiting list
21:09:04,2018-08-16 09:30:46,CS2,SUBMIT,BUY,202.06,3,bid=202.06 spread=0.8500 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:05,2018-08-16 09:30:46,CS2,SUBMIT,SELL,202.89,3,ask=202.89 spread=0.8500 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:05,2018-08-16 09:30:46,CS2,STATUS,,,,bid=202.06(REST) ask=202.89(REST) spread=0.8500 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:06,2018-08-16 09:30:47,CS1,SUBMIT,BUY,100.39,3,bid=100.39 spread=0.9700 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:07,2018-08-16 09:30:47,CS1,SUBMIT,SELL,101.34,3,ask=101.34 spread=0.9700 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:07,2018-08-16 09:30:47,CS1,STATUS,,,,bid=100.39(REST) ask=101.34(REST) spread=0.9700 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:07,2018-08-16 09:30:47,CS2,FILLED,BID,202.06,,order no longer in waiting list
21:09:07,2018-08-16 09:30:47,CS2,FILLED,ASK,202.89,,order no longer in waiting list
21:09:08,2018-08-16 09:30:47,CS2,SUBMIT,BUY,202.06,3,bid=202.06 spread=3.1800 pos=+0L inv_ratio=0.00 skew=0.0000
21:09:09,2018-08-16 09:30:47,CS2,SUBMIT,SELL,205.22,3,ask=205.22 spread=3.1800 pos=+0L inv_ratio=0.00 skew=0.0000
