wall_time,sim_time,symbol,event,side,price,lots,detail
23:05:59,2024-02-20 12:45:46,CS1,SUBMIT,BUY,101.43,3,bid+1tick=101.43 spread=0.2000 pos=-5L
23:05:59,2024-02-20 12:45:46,CS1,SUBMIT,SELL,101.61,3,ask-1tick=101.61 spread=0.2000 pos=-5L
23:05:59,2024-02-20 12:45:46,CS1,STATUS,,,,bid=101.43(NEW) ask=101.61(NEW) spread=0.2000 pos=-5L
23:05:59,2024-02-20 12:45:46,CS2,SPREAD_TIGHT,,,,spread=0.0500 < 0.05 — cancelling
23:06:01,2024-02-20 12:45:48,CS1,CANCEL,BUY,101.43,,outside spread bid=101.43 ask=101.59
23:06:01,2024-02-20 12:45:48,CS1,CANCEL,SELL,101.61,,outside spread bid=101.43 ask=101.59
23:06:01,2024-02-20 12:45:48,CS1,SUBMIT,BUY,101.43,3,bid+1tick=101.43 spread=0.1700 pos=-5L
23:06:01,2024-02-20 12:45:48,CS1,SUBMIT,SELL,101.58,3,ask-1tick=101.58 spread=0.1700 pos=-5L
23:06:01,2024-02-20 12:45:48,CS1,STATUS,,,,bid=101.43(NEW) ask=101.58(NEW) spread=0.1700 pos=-5L
23:06:01,2024-02-20 12:45:48,CS2,SUBMIT,BUY,100.81,3,bid+1tick=100.81 spread=0.0600 pos=-20L
23:06:01,2024-02-20 12:45:48,CS2,SUBMIT,SELL,100.85,3,ask-1tick=100.85 spread=0.0600 pos=-20L
23:06:01,2024-02-20 12:45:48,CS2,STATUS,,,,bid=100.81(NEW) ask=100.85(NEW) spread=0.0600 pos=-20L
23:06:03,2024-02-20 12:45:51,CS1,CANCEL,BUY,101.43,,outside spread bid=101.43 ask=101.58
23:06:03,2024-02-20 12:45:51,CS1,CANCEL,SELL,101.58,,outside spread bid=101.43 ask=101.58
23:06:03,2024-02-20 12:45:51,CS1,SUBMIT,BUY,101.43,3,bid+1tick=101.43 spread=0.1700 pos=-5L
23:06:03,2024-02-20 12:45:51,CS1,SUBMIT,SELL,101.58,3,ask-1tick=101.58 spread=0.1700 pos=-5L
23:06:03,2024-02-20 12:45:51,CS1,STATUS,,,,bid=101.43(NEW) ask=101.58(NEW) spread=0.1700 pos=-5L
23:06:03,2024-02-20 12:45:51,CS2,SPREAD_TIGHT,,,,spread=0.0400 < 0.05 — cancelling
23:06:05,2024-02-20 12:45:53,CS1,CANCEL,BUY,101.43,,outside spread bid=101.43 ask=101.55
23:06:05,2024-02-20 12:45:53,CS1,CANCEL,SELL,101.58,,outside spread bid=101.43 ask=101.55
23:06:05,2024-02-20 12:45:53,CS1,SUBMIT,BUY,101.43,3,bid+1tick=101.43 spread=0.1300 pos=-5L
23:06:05,2024-02-20 12:45:53,CS1,SUBMIT,SELL,101.54,3,ask-1tick=101.54 spread=0.1300 pos=-5L
23:06:05,2024-02-20 12:45:53,CS1,STATUS,,,,bid=101.43(NEW) ask=101.54(NEW) spread=0.1300 pos=-5L
23:06:05,2024-02-20 12:45:53,CS2,SPREAD_TIGHT,,,,spread=0.0400 < 0.05 — cancelling
23:06:07,2024-02-20 12:45:54,CS1,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
23:06:07,2024-02-20 12:45:54,CS2,SPREAD_TIGHT,,,,spread=0.0400 < 0.05 — cancelling
23:06:09,2024-02-20 12:45:54,CS1,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
23:06:09,2024-02-20 12:45:54,CS2,SPREAD_TIGHT,,,,spread=0.0400 < 0.05 — cancelling
23:06:11,2024-02-20 12:45:59,CS1,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
23:06:12,2024-02-20 12:45:59,CS2,SPREAD_TIGHT,,,,spread=0.0400 < 0.05 — cancelling
23:06:13,2024-02-20 12:46:00,CS1,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
23:06:14,2024-02-20 12:46:00,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
23:06:15,2024-02-20 12:46:03,CS1,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
23:06:16,2024-02-20 12:46:03,CS2,SPREAD_TIGHT,,,,spread=0.0400 < 0.05 — cancelling
23:06:17,2024-02-20 12:46:04,CS1,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
23:06:18,2024-02-20 12:46:06,CS2,SPREAD_TIGHT,,,,spread=0.0300 < 0.05 — cancelling
23:06:19,2024-02-20 12:46:06,CS1,SUBMIT,BUY,101.42,3,bid+1tick=101.42 spread=0.1100 pos=-5L
23:06:19,2024-02-20 12:46:06,CS1,SUBMIT,SELL,101.51,3,ask-1tick=101.51 spread=0.1100 pos=-5L
23:06:19,2024-02-20 12:46:06,CS1,STATUS,,,,bid=101.42(NEW) ask=101.51(NEW) spread=0.1100 pos=-5L
23:06:20,2024-02-20 12:46:06,CS2,SUBMIT,BUY,100.81,3,bid+1tick=100.81 spread=0.0800 pos=-23L
23:06:20,2024-02-20 12:46:06,CS2,SUBMIT,SELL,100.87,3,ask-1tick=100.87 spread=0.0800 pos=-23L
23:06:20,2024-02-20 12:46:06,CS2,STATUS,,,,bid=100.81(NEW) ask=100.87(NEW) spread=0.0800 pos=-23L
23:06:21,2024-02-20 12:46:06,CS1,CANCEL,BUY,101.42,,outside spread bid=101.42 ask=101.5
23:06:21,2024-02-20 12:46:06,CS1,CANCEL,SELL,101.51,,outside spread bid=101.42 ask=101.5
23:06:22,2024-02-20 12:46:06,CS1,SUBMIT,BUY,101.42,3,bid+1tick=101.42 spread=0.0900 pos=-5L
23:06:22,2024-02-20 12:46:06,CS1,SUBMIT,SELL,101.49,3,ask-1tick=101.49 spread=0.0900 pos=-5L
23:06:22,2024-02-20 12:46:06,CS1,STATUS,,,,bid=101.42(NEW) ask=101.49(NEW) spread=0.0900 pos=-5L
23:06:22,2024-02-20 12:46:06,CS2,CANCEL,BUY,100.81,,outside spread bid=100.81 ask=100.87
23:06:22,2024-02-20 12:46:06,CS2,CANCEL,SELL,100.87,,outside spread bid=100.81 ask=100.87
23:06:22,2024-02-20 12:46:06,CS2,SUBMIT,BUY,100.81,3,bid+1tick=100.81 spread=0.0800 pos=-23L
23:06:22,2024-02-20 12:46:06,CS2,SUBMIT,SELL,100.87,3,ask-1tick=100.87 spread=0.0800 pos=-23L
23:06:22,2024-02-20 12:46:06,CS2,STATUS,,,,bid=100.81(NEW) ask=100.87(NEW) spread=0.0800 pos=-23L
23:06:23,2024-02-20 12:46:10,CS1,SPREAD_TIGHT,,,,spread=0.0300 < 0.05 — cancelling
23:06:24,2024-02-20 12:46:12,CS2,CANCEL,BUY,100.81,,outside spread bid=100.81 ask=100.87
23:06:25,2024-02-20 12:46:12,CS1,SUBMIT,BUY,101.39,3,bid+1tick=101.39 spread=0.0700 pos=-5L
23:06:25,2024-02-20 12:46:12,CS1,SUBMIT,SELL,101.44,3,ask-1tick=101.44 spread=0.0700 pos=-5L
23:06:25,2024-02-20 12:46:12,CS1,STATUS,,,,bid=101.39(NEW) ask=101.44(NEW) spread=0.0700 pos=-5L
23:06:26,2024-02-20 12:46:14,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
23:06:27,2024-02-20 12:46:15,CS1,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
23:06:28,2024-02-20 12:46:15,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
