wall_time,sim_time,symbol,event,side,price,lots,detail
09:45:25,1969-12-31 19:00:00,CS1,NO_BOOK,,,,skipping cycle
09:45:25,1969-12-31 19:00:00,CS2,NO_BOOK,,,,skipping cycle
09:45:25,1969-12-31 19:00:00,CS3,NO_BOOK,,,,skipping cycle
09:45:38,2018-08-16 09:30:31,CS1,NO_BOOK,,,,skipping cycle
09:45:38,2018-08-16 09:30:31,CS2,SPREAD_TIGHT,,,,spread=0.0300 < 0.05 — cancelling
09:45:38,2018-08-16 09:30:31,CS3,SUBMIT,BUY,99.9,3,bid+1tick=99.9 spread=0.0600 pos=+0L
09:45:38,2018-08-16 09:30:31,CS3,SUBMIT,SELL,99.94,3,ask-1tick=99.94 spread=0.0600 pos=+0L
09:45:38,2018-08-16 09:30:31,CS3,STATUS,,,,bid=99.9(NEW) ask=99.94(NEW) spread=0.0600 pos=+0L
09:45:40,2018-08-16 09:30:33,CS1,SPREAD_TIGHT,,,,spread=0.0400 < 0.05 — cancelling
09:45:40,2018-08-16 09:30:33,CS2,SUBMIT,BUY,100.02,3,bid+1tick=100.02 spread=0.0900 pos=+0L
09:45:40,2018-08-16 09:30:33,CS2,SUBMIT,SELL,100.09,3,ask-1tick=100.09 spread=0.0900 pos=+0L
09:45:40,2018-08-16 09:30:33,CS2,STATUS,,,,bid=100.02(NEW) ask=100.09(NEW) spread=0.0900 pos=+0L
09:45:40,2018-08-16 09:30:33,CS3,SPREAD_TIGHT,,,,spread=0.0400 < 0.05 — cancelling
09:45:43,2018-08-16 09:30:36,CS1,NO_BOOK,,,,skipping cycle
09:45:43,2018-08-16 09:30:36,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
09:45:43,2018-08-16 09:30:36,CS3,SPREAD_TIGHT,,,,spread=0.0300 < 0.05 — cancelling
09:45:45,2018-08-16 09:30:37,CS1,NO_BOOK,,,,skipping cycle
09:45:45,2018-08-16 09:30:37,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
09:45:45,2018-08-16 09:30:37,CS3,SPREAD_TIGHT,,,,spread=0.0500 < 0.05 — cancelling
09:45:47,2018-08-16 09:30:39,CS1,NO_BOOK,,,,skipping cycle
09:45:47,2018-08-16 09:30:39,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
09:45:47,2018-08-16 09:30:39,CS3,SUBMIT,BUY,99.93,3,bid+1tick=99.93 spread=0.0700 pos=+1L
09:45:47,2018-08-16 09:30:39,CS3,SUBMIT,SELL,99.98,3,ask-1tick=99.98 spread=0.0700 pos=+1L
09:45:47,2018-08-16 09:30:39,CS3,STATUS,,,,bid=99.93(NEW) ask=99.98(NEW) spread=0.0700 pos=+1L
09:45:49,2018-08-16 09:30:39,CS1,NO_BOOK,,,,skipping cycle
09:45:49,2018-08-16 09:30:39,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
09:45:49,2018-08-16 09:30:39,CS3,SPREAD_TIGHT,,,,spread=0.0500 < 0.05 — cancelling
09:45:51,2018-08-16 09:30:43,CS1,NO_BOOK,,,,skipping cycle
09:45:51,2018-08-16 09:30:43,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
09:45:51,2018-08-16 09:30:43,CS3,SPREAD_TIGHT,,,,spread=0.0500 < 0.05 — cancelling
09:45:53,2018-08-16 09:30:43,CS1,SUBMIT,BUY,100.06,3,bid+1tick=100.06 spread=0.1000 pos=+0L
09:45:53,2018-08-16 09:30:43,CS1,SUBMIT,SELL,100.14,3,ask-1tick=100.14 spread=0.1000 pos=+0L
09:45:53,2018-08-16 09:30:43,CS1,STATUS,,,,bid=100.06(NEW) ask=100.14(NEW) spread=0.1000 pos=+0L
09:45:53,2018-08-16 09:30:43,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
09:45:53,2018-08-16 09:30:43,CS3,SPREAD_TIGHT,,,,spread=0.0500 < 0.05 — cancelling
09:45:55,2018-08-16 09:30:48,CS1,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
09:45:55,2018-08-16 09:30:48,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
09:45:55,2018-08-16 09:30:48,CS3,SUBMIT,BUY,99.92,3,bid+1tick=99.92 spread=0.0900 pos=+1L
09:45:55,2018-08-16 09:30:48,CS3,SUBMIT,SELL,99.99,3,ask-1tick=99.99 spread=0.0900 pos=+1L
09:45:55,2018-08-16 09:30:48,CS3,STATUS,,,,bid=99.92(NEW) ask=99.99(NEW) spread=0.0900 pos=+1L
09:45:57,2018-08-16 09:30:49,CS1,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
09:45:57,2018-08-16 09:30:49,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
09:45:57,2018-08-16 09:30:49,CS3,CANCEL,BUY,99.92,,outside spread bid=99.92 ask=99.99
09:45:57,2018-08-16 09:30:49,CS3,CANCEL,SELL,99.99,,outside spread bid=99.92 ask=99.99
09:45:58,2018-08-16 09:30:49,CS3,SUBMIT,BUY,99.89,3,bid+1tick=99.89 spread=0.1100 pos=+1L
09:45:58,2018-08-16 09:30:49,CS3,SUBMIT,SELL,99.98,3,ask-1tick=99.98 spread=0.1100 pos=+1L
09:45:58,2018-08-16 09:30:49,CS3,STATUS,,,,bid=99.89(NEW) ask=99.98(NEW) spread=0.1100 pos=+1L
09:45:59,2018-08-16 09:30:52,CS1,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
09:45:59,2018-08-16 09:30:52,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
09:45:59,2018-08-16 09:30:52,CS3,CANCEL,BUY,99.89,,outside spread bid=99.92 ask=99.99
09:45:59,2018-08-16 09:30:52,CS3,SUBMIT,BUY,99.93,3,bid+1tick=99.93 spread=0.0700 pos=-2L
09:45:59,2018-08-16 09:30:52,CS3,SUBMIT,SELL,99.98,3,ask-1tick=99.98 spread=0.0700 pos=-2L
09:45:59,2018-08-16 09:30:52,CS3,STATUS,,,,bid=99.93(NEW) ask=99.98(NEW) spread=0.0700 pos=-2L
09:46:01,2018-08-16 09:30:53,CS1,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
09:46:01,2018-08-16 09:30:53,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
09:46:01,2018-08-16 09:30:53,CS3,SPREAD_TIGHT,,,,spread=0.0300 < 0.05 — cancelling
09:46:03,2018-08-16 09:30:56,CS1,SUBMIT,BUY,100.06,3,bid+1tick=100.06 spread=0.1500 pos=-3L
09:46:03,2018-08-16 09:30:56,CS1,SUBMIT,SELL,100.19,3,ask-1tick=100.19 spread=0.1500 pos=-3L
09:46:03,2018-08-16 09:30:56,CS1,STATUS,,,,bid=100.06(NEW) ask=100.19(NEW) spread=0.1500 pos=-3L
09:46:03,2018-08-16 09:30:56,CS2,SUBMIT,BUY,100.0,3,bid+1tick=100.0 spread=0.0800 pos=+0L
09:46:03,2018-08-16 09:30:56,CS2,SUBMIT,SELL,100.06,3,ask-1tick=100.06 spread=0.0800 pos=+0L
09:46:03,2018-08-16 09:30:56,CS2,STATUS,,,,bid=100.0(NEW) ask=100.06(NEW) spread=0.0800 pos=+0L
09:46:03,2018-08-16 09:30:56,CS3,SUBMIT,BUY,99.89,3,bid+1tick=99.89 spread=0.0500 pos=-5L
09:46:03,2018-08-16 09:30:56,CS3,SUBMIT,SELL,99.92,3,ask-1tick=99.92 spread=0.0500 pos=-5L
09:46:03,2018-08-16 09:30:56,CS3,STATUS,,,,bid=99.89(NEW) ask=99.92(NEW) spread=0.0500 pos=-5L
09:46:05,2018-08-16 09:30:56,CS1,CANCEL,BUY,100.06,,outside spread bid=100.06 ask=100.19
09:46:06,2018-08-16 09:30:56,CS1,CANCEL,SELL,100.19,,outside spread bid=100.06 ask=100.19
09:46:06,2018-08-16 09:30:56,CS1,SUBMIT,BUY,100.06,3,bid+1tick=100.06 spread=0.1500 pos=-3L
09:46:06,2018-08-16 09:30:56,CS1,SUBMIT,SELL,100.19,3,ask-1tick=100.19 spread=0.1500 pos=-3L
09:46:06,2018-08-16 09:30:56,CS1,STATUS,,,,bid=100.06(NEW) ask=100.19(NEW) spread=0.1500 pos=-3L
09:46:06,2018-08-16 09:30:56,CS2,CANCEL,BUY,100.0,,outside spread bid=100.0 ask=100.1
09:46:06,2018-08-16 09:30:56,CS2,SUBMIT,BUY,99.97,3,bid+1tick=99.97 spread=0.1400 pos=-3L
09:46:06,2018-08-16 09:30:56,CS2,SUBMIT,SELL,100.09,3,ask-1tick=100.09 spread=0.1400 pos=-3L
09:46:06,2018-08-16 09:30:56,CS2,STATUS,,,,bid=99.97(NEW) ask=100.09(NEW) spread=0.1400 pos=-3L
09:46:06,2018-08-16 09:30:56,CS3,SPREAD_TIGHT,,,,spread=0.0200 < 0.05 — cancelling
09:46:08,2018-08-16 09:30:59,CS1,CANCEL,BUY,100.06,,outside spread bid=100.06 ask=100.19
09:46:08,2018-08-16 09:30:59,CS1,CANCEL,SELL,100.19,,outside spread bid=100.06 ask=100.19
09:46:08,2018-08-16 09:30:59,CS1,SUBMIT,BUY,100.1,3,bid+1tick=100.1 spread=0.1100 pos=-3L
09:46:08,2018-08-16 09:30:59,CS1,SUBMIT,SELL,100.19,3,ask-1tick=100.19 spread=0.1100 pos=-3L
09:46:08,2018-08-16 09:30:59,CS1,STATUS,,,,bid=100.1(NEW) ask=100.19(NEW) spread=0.1100 pos=-3L
09:46:08,2018-08-16 09:30:59,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.05 — cancelling
09:46:08,2018-08-16 09:31:01,CS3,SUBMIT,BUY,99.85,3,bid+1tick=99.85 spread=0.0700 pos=-5L
