wall_time,sim_time,cs1_pos_lots,cs1_unrealized_pl,cs2_pos_lots,cs2_unrealized_pl,cs3_pos_lots,cs3_unrealized_pl,total_realized_pl,total_unrealized_pl,total_pl
09:05:12,2018-08-16 09:30:21,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
09:05:13,2018-08-16 09:30:24,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
09:05:14,2018-08-16 09:30:24,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
09:05:15,2018-08-16 09:30:26,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
09:05:16,2018-08-16 09:30:27,0,0.0,0,0.0,3,-29985.0,0.0,-29985.0,-29985.0
09:05:17,2018-08-16 09:30:28,0,0.0,0,0.0,3,-29985.0,0.0,-29985.0,-29985.0
09:05:18,2018-08-16 09:30:28,0,0.0,0,0.0,3,-27.0,0.0,-27.0,-27.0
09:05:19,2018-08-16 09:30:29,0,0.0,0,0.0,3,-24.0,0.0,-24.0,-24.0
09:05:21,2018-08-16 09:30:29,0,0.0,0,0.0,6,-30.0,0.0,-30.0,-30.0
09:05:22,2018-08-16 09:30:33,0,0.0,0,0.0,6,-27.0,0.0,-27.0,-27.0
09:05:23,2018-08-16 09:30:33,0,0.0,0,0.0,6,-22.0,0.0,-22.0,-22.0
09:05:25,2018-08-16 09:30:34,0,0.0,0,0.0,6,-7.0,0.0,-7.0,-7.0
09:05:26,2018-08-16 09:30:36,-3,-9.0,0,0.0,6,24.0,0.0,15.0,15.0
09:05:27,2018-08-16 09:30:36,-3,-9.0,0,0.0,6,24.0,0.0,15.0,15.0
09:05:28,2018-08-16 09:30:36,-3,-6.0,0,0.0,6,24.0,0.0,18.0,18.0
09:05:29,2018-08-16 09:30:40,-3,-0.0,0,0.0,6,24.0,0.0,24.0,24.0
09:05:30,2018-08-16 09:30:40,-3,-0.0,0,0.0,6,24.0,0.0,24.0,24.0
09:05:31,2018-08-16 09:30:41,-3,-15.0,0,0.0,6,24.0,0.0,9.0,9.0
09:05:32,2018-08-16 09:30:42,-3,-6.0,0,0.0,6,60.0,0.0,54.0,54.0
09:05:33,2018-08-16 09:30:44,0,0.0,0,0.0,6,60.0,3.0,60.0,63.0
09:05:34,2018-08-16 09:30:44,0,0.0,0,0.0,6,23.0,3.0,23.0,26.0
09:05:35,2018-08-16 09:30:46,0,0.0,0,0.0,6,23.0,3.0,23.0,26.0
09:05:36,2018-08-16 09:30:46,0,0.0,0,0.0,6,-13.0,3.0,-13.0,-10.0
09:05:37,2018-08-16 09:30:47,0,0.0,0,0.0,6,12.0,3.0,12.0,15.0
09:05:38,2018-08-16 09:30:47,0,0.0,0,0.0,6,-16.0,3.0,-16.0,-13.0
09:05:39,2018-08-16 09:30:50,0,0.0,0,0.0,6,11.0,3.0,11.0,14.0
09:05:40,2018-08-16 09:30:50,0,0.0,0,0.0,6,-16.0,3.0,-16.0,-13.0
09:05:41,2018-08-16 09:30:51,0,0.0,0,0.0,6,11.0,3.0,11.0,14.0
09:05:42,2018-08-16 09:30:51,0,0.0,0,0.0,6,66.0,3.0,66.0,69.0
09:05:43,2018-08-16 09:30:54,3,-3.0,0,0.0,6,66.0,3.0,63.0,66.0
09:05:44,2018-08-16 09:30:55,3,-3.0,0,0.0,6,66.0,3.0,63.0,66.0
09:05:45,2018-08-16 09:30:55,3,0.0,0,0.0,6,66.0,3.0,66.0,69.0
09:05:46,2018-08-16 09:30:55,3,0.0,0,0.0,6,66.0,3.0,66.0,69.0
09:05:47,2018-08-16 09:30:58,3,0.0,0,0.0,6,66.0,3.0,66.0,69.0
09:05:48,2018-08-16 09:30:58,3,0.0,0,0.0,6,63.0,3.0,63.0,66.0
09:05:49,2018-08-16 09:30:58,3,-3.0,0,0.0,6,63.0,3.0,60.0,63.0
09:05:50,2018-08-16 09:31:01,3,-3.0,0,0.0,6,63.0,3.0,60.0,63.0
09:05:51,2018-08-16 09:31:02,3,-3.0,0,0.0,6,60.0,3.0,57.0,60.0
09:05:52,2018-08-16 09:31:02,3,-3.0,0,0.0,6,63.0,3.0,60.0,63.0
09:05:53,2018-08-16 09:31:04,3,0.0,0,0.0,9,57.0,3.0,57.0,60.0
09:05:55,2018-08-16 09:31:04,3,0.0,0,0.0,9,57.0,3.0,57.0,60.0
09:05:56,2018-08-16 09:31:06,3,0.0,0,0.0,9,57.0,3.0,57.0,60.0
09:05:57,2018-08-16 09:31:07,3,-4.0,0,0.0,9,60.0,3.0,56.0,59.0
09:05:58,2018-08-16 09:31:08,3,-4.0,0,0.0,6,41.0,37.0,37.0,74.0
09:05:59,2018-08-16 09:31:09,3,-4.0,0,0.0,6,38.0,37.0,34.0,71.0
09:06:00,2018-08-16 09:31:11,3,-4.0,0,0.0,6,26.0,37.0,22.0,59.0
09:06:01,2018-08-16 09:31:11,3,5.0,0,0.0,6,29.0,37.0,34.0,71.0
09:06:02,2018-08-16 09:31:11,3,5.0,0,0.0,6,32.0,37.0,37.0,74.0
09:06:03,2018-08-16 09:31:11,3,5.0,0,0.0,6,32.0,37.0,37.0,74.0
09:06:04,2018-08-16 09:31:14,3,-4.0,0,0.0,6,32.0,37.0,28.0,65.0
09:06:05,2018-08-16 09:31:15,3,-4.0,0,0.0,6,32.0,37.0,28.0,65.0
09:06:06,2018-08-16 09:31:17,3,-4.0,0,0.0,6,32.0,37.0,28.0,65.0
09:06:07,2018-08-16 09:31:17,3,-18.0,0,0.0,6,44.0,37.0,26.0,63.0
09:06:08,2018-08-16 09:31:18,3,3.0,0,0.0,6,44.0,37.0,47.0,84.0
09:06:09,2018-08-16 09:31:19,3,-18.0,0,0.0,6,50.0,37.0,32.0,69.0
09:06:10,2018-08-16 09:31:21,3,-39.0,0,0.0,6,50.0,37.0,11.0,48.0
09:06:11,2018-08-16 09:31:21,3,-39.0,0,0.0,6,50.0,37.0,11.0,48.0
09:06:12,2018-08-16 09:31:22,3,-42.0,0,0.0,6,44.0,37.0,2.0,39.0
09:06:13,2018-08-16 09:31:22,3,-42.0,0,0.0,6,44.0,37.0,2.0,39.0
09:06:14,2018-08-16 09:31:25,3,-42.0,0,0.0,6,44.0,37.0,2.0,39.0
09:06:15,2018-08-16 09:31:26,3,-42.0,0,0.0,6,98.0,37.0,56.0,93.0
09:06:16,2018-08-16 09:31:26,3,-42.0,0,0.0,6,98.0,37.0,56.0,93.0
09:06:17,2018-08-16 09:31:27,3,-42.0,0,0.0,6,29.0,37.0,-13.0,24.0
09:06:18,2018-08-16 09:31:29,3,-42.0,0,0.0,6,56.0,37.0,14.0,51.0
09:06:19,2018-08-16 09:31:29,3,-99.0,0,0.0,6,56.0,37.0,-43.0,-6.0
09:06:20,2018-08-16 09:31:31,3,-87.0,0,0.0,6,65.0,37.0,-22.0,15.0
09:06:21,2018-08-16 09:31:32,3,-87.0,0,0.0,3,49.0,86.0,-38.0,48.0
09:06:23,2018-08-16 09:31:32,3,-87.0,0,0.0,3,49.0,86.0,-38.0,48.0
09:06:24,2018-08-16 09:31:34,3,-29826.0,0,0.0,3,49.0,17.0,-29777.0,-29760.0
09:06:25,2018-08-16 09:31:34,3,-29826.0,0,0.0,3,49.0,17.0,-29777.0,-29760.0
09:06:26,2018-08-16 09:31:36,3,-29826.0,0,0.0,3,49.0,17.0,-29777.0,-29760.0
09:06:27,2018-08-16 09:31:36,3,-29826.0,0,0.0,3,49.0,17.0,-29777.0,-29760.0
09:06:28,2018-08-16 09:31:38,3,-29826.0,0,0.0,3,49.0,17.0,-29777.0,-29760.0
09:06:29,2018-08-16 09:31:40,3,-36.0,0,0.0,3,49.0,17.0,13.0,30.0
09:06:30,2018-08-16 09:31:40,3,-36.0,0,0.0,3,49.0,17.0,13.0,30.0
09:06:31,2018-08-16 09:31:42,3,-29826.0,-3,-3.0,3,49.0,17.0,-29780.0,-29763.0
09:06:32,2018-08-16 09:31:43,3,-29826.0,-3,-3.0,3,49.0,17.0,-29780.0,-29763.0
09:06:33,2018-08-16 09:31:43,3,-29826.0,-3,-3.0,3,49.0,17.0,-29780.0,-29763.0
09:06:34,2018-08-16 09:31:44,3,-29826.0,-3,-0.0,0,0.0,90.0,-29826.0,-29736.0
09:06:35,2018-08-16 09:31:45,3,-29826.0,-6,-4.0,0,0.0,90.0,-29830.0,-29740.0
09:06:36,2018-08-16 09:31:47,3,-29826.0,-6,-4.0,0,0.0,90.0,-29830.0,-29740.0
09:06:37,2018-08-16 09:31:48,3,-29826.0,-6,-4.0,0,0.0,90.0,-29830.0,-29740.0
09:06:38,2018-08-16 09:31:49,3,-36.0,-6,-4.0,0,0.0,90.0,-40.0,50.0
09:06:39,2018-08-16 09:31:50,3,-33.0,-6,-6.0,0,0.0,90.0,-39.0,51.0
09:06:40,2018-08-16 09:31:51,3,-33.0,-6,-3.0,0,0.0,90.0,-36.0,54.0
09:06:41,2018-08-16 09:31:52,3,-36.0,-6,-3.0,0,0.0,90.0,-39.0,51.0
09:06:42,2018-08-16 09:31:52,3,-36.0,-6,-3.0,0,0.0,90.0,-39.0,51.0
09:06:43,2018-08-16 09:31:54,3,-36.0,-6,-3.0,0,0.0,90.0,-39.0,51.0
09:06:44,2018-08-16 09:31:55,3,-36.0,-6,-3.0,0,0.0,90.0,-39.0,51.0
09:06:46,2018-08-16 09:31:56,3,-36.0,-6,-6.0,0,0.0,90.0,-42.0,48.0
09:06:47,2018-08-16 09:31:56,3,-36.0,-6,-6.0,0,0.0,90.0,-42.0,48.0
09:06:48,2018-08-16 09:31:58,3,-54.0,-6,6.0,0,0.0,90.0,-48.0,42.0
09:06:49,2018-08-16 09:31:58,3,-54.0,-6,6.0,0,0.0,90.0,-48.0,42.0
09:06:50,2018-08-16 09:31:58,3,-51.0,-6,6.0,0,0.0,90.0,-45.0,45.0
09:06:51,2018-08-16 09:32:02,3,-51.0,-6,6.0,0,0.0,90.0,-45.0,45.0
09:06:52,2018-08-16 09:32:02,0,0.0,-6,6.0,0,0.0,57.0,6.0,63.0
09:06:53,2018-08-16 09:32:04,0,0.0,-6,18.0,0,0.0,57.0,18.0,75.0
09:06:54,2018-08-16 09:32:04,0,0.0,-6,21.0,0,0.0,57.0,21.0,78.0
09:06:55,2018-08-16 09:32:05,0,0.0,-6,21.0,0,0.0,57.0,21.0,78.0
09:06:56,2018-08-16 09:32:06,0,0.0,-9,51.0,0,0.0,57.0,51.0,108.0
09:06:57,2018-08-16 09:32:08,0,0.0,-9,39.0,0,0.0,57.0,39.0,96.0
09:06:58,2018-08-16 09:32:08,0,0.0,-9,39.0,0,0.0,57.0,39.0,96.0
09:06:59,2018-08-16 09:32:09,0,0.0,-9,39.0,0,0.0,57.0,39.0,96.0
09:07:00,2018-08-16 09:32:11,0,0.0,-9,114.0,0,0.0,57.0,114.0,171.0
09:07:01,2018-08-16 09:32:11,0,0.0,-9,39.0,0,0.0,57.0,39.0,96.0
09:07:02,2018-08-16 09:32:12,0,0.0,-9,54.0,0,0.0,57.0,54.0,111.0
09:07:03,2018-08-16 09:32:12,0,0.0,-9,54.0,0,0.0,57.0,54.0,111.0
09:07:04,2018-08-16 09:32:12,0,0.0,-9,54.0,0,0.0,57.0,54.0,111.0
09:07:05,2018-08-16 09:32:15,0,0.0,-9,57.0,0,0.0,57.0,57.0,114.0
09:07:06,2018-08-16 09:32:17,0,0.0,-9,51.0,0,0.0,57.0,51.0,108.0
