sim_time,order_id,symbol,side,exec_price,exec_size,order_size,status,exec_ts
2025-04-10 09:50:38,6f8f8249-ef3e-4942-af86-26faea3b7838,JPM,BUY,0.0000,1,100,Status.CANCELED,2026-04-02 17:58:13.074327
2025-04-10 09:50:39,7411ffb7-e0ea-459f-9aa3-0ef12409a871,JPM,SELL,229.3500,1,100,Status.FILLED,2026-04-02 17:58:15.356777
2025-04-10 09:50:41,70ebfb4f-6c84-4257-ad28-8ea12c0bfdcf,JPM,SELL,229.4500,1,100,Status.FILLED,2026-04-02 17:58:17.578468
2025-04-10 09:50:42,7c4304a8-0b92-47f7-bc0f-a3d51370810f,JPM,BUY,0.0000,1,100,Status.CANCELED,2026-04-02 17:58:16.370045
2025-04-10 09:50:43,aca49baf-c448-47d6-bb9e-dce22c0acba0,JPM,SELL,229.4400,1,100,Status.FILLED,2026-04-02 17:58:20.005316
2025-04-10 09:50:45,c77998b9-3db9-4d00-95c5-8fe4a9304aa3,JPM,BUY,0.0000,2,200,Status.CANCELED,2026-04-02 17:58:18.787697
2025-04-10 09:50:48,f50685db-c72d-4a9e-9191-083c72f64f4a,JPM,BUY,0.0000,3,300,Status.CANCELED,2026-04-02 17:58:21.436095
2025-04-10 09:50:49,d3b9a936-6097-429c-b2ac-dfc33dd2a750,JPM,BUY,229.4200,2,300,Status.PARTIALLY_FILLED,2026-04-02 17:58:24.676066
2025-04-10 09:50:51,fad75773-8021-4576-98eb-d8737a866080,JPM,BUY,229.4400,1,100,Status.FILLED,2026-04-02 17:58:26.899230
2025-04-10 09:50:56,6202cc34-4da7-480e-b44f-039ff123404f,JPM,SELL,229.6500,1,100,Status.FILLED,2026-04-02 17:58:30.119215
2025-04-10 09:50:56,4f114f0a-f7dd-4d04-b01d-30730e998482,JPM,SELL,229.6700,1,100,Status.FILLED,2026-04-02 17:58:32.332069
2025-04-10 09:50:58,f18e2be0-2f7d-4028-bde2-e1a71bcf736f,JPM,SELL,229.8400,1,100,Status.FILLED,2026-04-02 17:58:34.546954
2025-04-10 09:50:59,73a17c0e-0c4d-47ea-a0a0-25e671e5d223,JPM,BUY,0.0000,2,200,Status.CANCELED,2026-04-02 17:58:33.341927
2025-04-10 09:51:00,1b947122-c8cc-4c26-85af-536cc8b14425,JPM,SELL,229.9600,1,100,Status.FILLED,2026-04-02 17:58:36.972884
2025-04-10 09:51:02,deec5091-5c4a-49e5-b5bb-86920ac1b81e,JPM,BUY,0.0000,3,300,Status.CANCELED,2026-04-02 17:58:35.764617
