wall_time,sim_time,symbol,last_price,last_size,trade_detected,vwap,mid,bar_close,macd_line,signal_line,histogram
2026-04-02T14:12:28.053901,2025-04-10 09:30:14,IBM,0.0000,0,0,,231.4350,,,,
2026-04-02T14:12:29.057455,2025-04-10 09:30:16,IBM,0.0000,0,0,,231.4350,,,,
2026-04-02T14:12:30.066075,2025-04-10 09:30:17,IBM,231.4400,2,0,,231.4350,,,,
2026-04-02T14:12:31.067484,2025-04-10 09:30:18,IBM,231.7100,1,1,231.7100,231.4350,,,,
2026-04-02T14:12:32.070884,2025-04-10 09:30:19,IBM,231.7100,1,0,231.7100,231.3600,,,,
2026-04-02T14:12:33.073949,2025-04-10 09:30:20,IBM,231.7100,1,0,231.7100,231.3600,231.3600,,,
2026-04-02T14:12:34.076290,2025-04-10 09:30:21,IBM,231.3600,1,1,231.5350,231.3600,,,,
2026-04-02T14:12:35.082479,2025-04-10 09:30:22,IBM,231.3600,1,0,231.5350,231.3600,,,,
2026-04-02T14:12:36.086787,2025-04-10 09:30:23,IBM,231.3600,1,0,231.5350,231.4250,,,,
2026-04-02T14:12:37.091110,2025-04-10 09:30:24,IBM,231.4300,1,1,231.5000,231.4250,,,,
2026-04-02T14:12:38.095355,2025-04-10 09:30:25,IBM,231.4300,1,0,231.5000,231.4250,231.4250,,,
2026-04-02T14:12:39.099953,2025-04-10 09:30:26,IBM,231.4300,1,0,231.5000,231.4250,,,,
2026-04-02T14:12:40.105144,2025-04-10 09:30:27,IBM,231.9500,1,1,231.6125,231.4250,,,,
2026-04-02T14:12:41.104773,2025-04-10 09:30:28,IBM,231.9500,1,0,231.6125,231.4250,,,,
2026-04-02T14:12:42.106669,2025-04-10 09:30:29,IBM,231.9500,1,0,231.6125,231.4250,,,,
2026-04-02T14:12:43.112294,2025-04-10 09:30:30,IBM,231.9500,1,0,231.6125,231.4250,231.4250,,,
2026-04-02T14:12:44.113146,2025-04-10 09:30:31,IBM,231.9500,1,0,231.6125,231.4250,,,,
2026-04-02T14:12:45.117696,2025-04-10 09:30:32,IBM,231.9500,1,0,231.6125,231.4250,,,,
2026-04-02T14:12:46.117846,2025-04-10 09:30:33,IBM,231.9500,1,0,231.6125,231.4250,,,,
2026-04-02T14:12:47.120060,2025-04-10 09:30:34,IBM,231.4300,1,1,231.5760,231.4250,,,,
2026-04-02T14:12:48.120383,2025-04-10 09:30:35,IBM,231.4300,1,0,231.5760,231.4250,231.4250,,,
2026-04-02T14:12:49.121050,2025-04-10 09:30:36,IBM,231.1300,1,1,231.5017,231.4250,,,,
2026-04-02T14:12:50.130188,2025-04-10 09:30:37,IBM,231.1300,1,0,231.5017,231.4250,,,,
2026-04-02T14:12:51.132547,2025-04-10 09:30:38,IBM,231.1300,1,0,231.5017,231.4250,,,,
2026-04-02T14:12:52.141804,2025-04-10 09:30:39,IBM,231.1100,1,1,231.4457,231.4250,,,,
2026-04-02T14:12:53.148887,2025-04-10 09:30:40,IBM,231.0200,1,1,231.3925,231.4250,231.4250,,,
2026-04-02T14:12:54.150323,2025-04-10 09:30:41,IBM,230.9000,1,1,231.3378,231.2650,,,,
2026-04-02T14:12:55.152053,2025-04-10 09:30:42,IBM,230.9000,1,0,231.3378,231.2650,,,,
2026-04-02T14:12:56.161831,2025-04-10 09:30:43,IBM,230.8800,3,1,231.2233,231.2650,,,,
2026-04-02T14:12:57.161776,2025-04-10 09:30:44,IBM,230.8800,3,0,231.2233,231.2650,,,,
2026-04-02T14:12:58.164827,2025-04-10 09:30:45,IBM,230.8900,1,1,231.1977,231.2650,231.2650,,,
2026-04-02T14:12:59.168764,2025-04-10 09:30:46,IBM,230.8900,1,0,231.1977,231.2650,,,,
2026-04-02T14:13:00.173192,2025-04-10 09:30:47,IBM,230.8900,1,0,231.1977,231.2650,,,,
2026-04-02T14:13:01.176557,2025-04-10 09:30:48,IBM,230.8900,1,0,231.1977,231.2650,,,,
2026-04-02T14:13:02.184956,2025-04-10 09:30:49,IBM,230.8900,1,0,231.1977,231.2650,,,,
2026-04-02T14:13:03.183862,2025-04-10 09:30:50,IBM,230.8900,1,0,231.1977,231.2650,231.2650,,,
2026-04-02T14:13:04.188077,2025-04-10 09:30:51,IBM,230.8800,2,1,231.1553,231.2650,,,,
2026-04-02T14:13:05.191656,2025-04-10 09:30:52,IBM,230.8800,2,0,231.1553,231.2650,,,,
2026-04-02T14:13:06.197709,2025-04-10 09:30:53,IBM,231.2600,1,1,231.1619,231.2650,,,,
2026-04-02T14:13:07.202340,2025-04-10 09:30:54,IBM,231.2600,1,0,231.1619,231.2650,,,,
2026-04-02T14:13:08.206032,2025-04-10 09:30:55,IBM,231.2600,1,0,231.1619,231.2650,231.2650,,,
2026-04-02T14:13:09.210461,2025-04-10 09:30:56,IBM,231.2600,1,0,231.1619,231.2650,,,,
2026-04-02T14:13:10.215375,2025-04-10 09:30:57,IBM,231.2600,1,0,231.1619,231.2650,,,,
2026-04-02T14:13:11.220427,2025-04-10 09:30:58,IBM,231.2600,1,0,231.1619,231.2650,,,,
2026-04-02T14:13:12.224306,2025-04-10 09:30:59,IBM,231.2600,1,0,231.1619,231.2650,,,,
2026-04-02T14:13:13.268980,2025-04-10 09:31:00,IBM,231.2600,1,0,231.1619,231.2650,231.2650,,,
2026-04-02T14:13:14.235041,2025-04-10 09:31:01,IBM,231.2600,1,0,231.1619,231.2600,,,,
2026-04-02T14:13:15.241290,2025-04-10 09:31:02,IBM,231.2600,1,0,231.1619,231.2600,,,,
2026-04-02T14:13:16.241319,2025-04-10 09:31:03,IBM,231.1400,2,1,231.1594,231.1350,,,,
2026-04-02T14:13:17.246824,2025-04-10 09:31:04,IBM,231.1400,1,0,231.1594,231.1350,,,,
2026-04-02T14:13:18.243849,2025-04-10 09:31:05,IBM,230.9000,1,1,231.1458,231.1150,231.1150,,,
2026-04-02T14:13:19.257553,2025-04-10 09:31:06,IBM,231.1200,2,1,231.1433,231.1150,,,,
2026-04-02T14:13:20.252950,2025-04-10 09:31:07,IBM,230.7200,2,1,231.1065,230.7150,,,,
2026-04-02T14:13:21.258094,2025-04-10 09:31:08,IBM,230.8000,2,1,231.0820,230.8000,,,,
2026-04-02T14:13:22.261324,2025-04-10 09:31:09,IBM,230.8000,2,0,231.0820,230.8000,,,,
2026-04-02T14:13:23.287368,2025-04-10 09:31:10,IBM,230.9900,2,1,231.0752,230.9850,230.9850,,,
2026-04-02T14:13:24.290269,2025-04-10 09:31:11,IBM,230.9900,2,0,231.0752,230.9900,,,,
2026-04-02T14:13:25.307761,2025-04-10 09:31:13,IBM,230.9800,1,1,231.0718,230.9300,,,,
