wall_time,sim_time,symbol,last_price,last_size,trade_detected,vwap,mid,bar_close,macd_line,signal_line,histogram
2026-04-02T14:12:28.054102,2025-04-10 09:30:14,JPM,229.7300,1,0,,229.7200,,,,
2026-04-02T14:12:29.057804,2025-04-10 09:30:16,JPM,229.7200,1,1,229.7200,229.7200,,,,
2026-04-02T14:12:30.066460,2025-04-10 09:30:17,JPM,229.7200,1,0,229.7200,229.7200,,,,
2026-04-02T14:12:31.067699,2025-04-10 09:30:18,JPM,229.7200,1,0,229.7200,229.7200,,,,
2026-04-02T14:12:32.071174,2025-04-10 09:30:19,JPM,229.7200,1,0,229.7200,229.7200,,,,
2026-04-02T14:12:33.074043,2025-04-10 09:30:20,JPM,229.7200,1,0,229.7200,229.7200,229.7200,,,
2026-04-02T14:12:34.077068,2025-04-10 09:30:21,JPM,229.8300,1,1,229.7750,229.7500,,,,
2026-04-02T14:12:35.083375,2025-04-10 09:30:22,JPM,229.8300,1,0,229.7750,229.7500,,,,
2026-04-02T14:12:36.087166,2025-04-10 09:30:23,JPM,229.8300,1,0,229.7750,229.7500,,,,
2026-04-02T14:12:37.091422,2025-04-10 09:30:24,JPM,229.8300,1,0,229.7750,229.7500,,,,
2026-04-02T14:12:38.095661,2025-04-10 09:30:25,JPM,229.7500,1,1,229.7667,229.7500,229.7500,,,
2026-04-02T14:12:39.100607,2025-04-10 09:30:26,JPM,230.0000,1,1,229.8250,229.9300,,,,
2026-04-02T14:12:40.105442,2025-04-10 09:30:27,JPM,230.0100,2,1,229.8867,230.0150,,,,
2026-04-02T14:12:41.105308,2025-04-10 09:30:28,JPM,230.0100,1,0,229.8867,230.0150,,,,
2026-04-02T14:12:42.107665,2025-04-10 09:30:29,JPM,229.8700,1,1,229.8843,230.0000,,,,
2026-04-02T14:12:43.112535,2025-04-10 09:30:30,JPM,230.0000,1,1,229.8988,230.0000,230.0000,,,
2026-04-02T14:12:44.113486,2025-04-10 09:30:31,JPM,230.0000,1,0,229.8988,230.0000,,,,
2026-04-02T14:12:45.118552,2025-04-10 09:30:32,JPM,230.0100,1,1,229.9111,230.0000,,,,
2026-04-02T14:12:46.118090,2025-04-10 09:30:33,JPM,229.6800,1,1,229.8880,229.8350,,,,
2026-04-02T14:12:47.120378,2025-04-10 09:30:34,JPM,229.8400,1,1,229.8836,229.8050,,,,
2026-04-02T14:12:48.120662,2025-04-10 09:30:35,JPM,229.8400,1,0,229.8836,229.8050,229.8050,,,
2026-04-02T14:12:49.121267,2025-04-10 09:30:36,JPM,229.7100,1,1,229.8692,229.8050,,,,
2026-04-02T14:12:50.131136,2025-04-10 09:30:37,JPM,229.6300,1,1,229.8508,229.8050,,,,
2026-04-02T14:12:51.132842,2025-04-10 09:30:38,JPM,229.5800,1,1,229.8314,229.6750,,,,
2026-04-02T14:12:52.142036,2025-04-10 09:30:39,JPM,229.6000,1,1,229.8160,229.6750,,,,
2026-04-02T14:12:53.149485,2025-04-10 09:30:40,JPM,229.4400,1,1,229.7925,229.6750,229.6750,,,
2026-04-02T14:12:54.150800,2025-04-10 09:30:41,JPM,229.5600,1,1,229.7788,229.6750,,,,
2026-04-02T14:12:55.152278,2025-04-10 09:30:42,JPM,229.6200,1,1,229.7700,229.6750,,,,
2026-04-02T14:12:56.162374,2025-04-10 09:30:43,JPM,229.6200,1,0,229.7700,229.6750,,,,
2026-04-02T14:12:57.163447,2025-04-10 09:30:44,JPM,229.4400,1,1,229.7526,229.4350,,,,
2026-04-02T14:12:58.164936,2025-04-10 09:30:45,JPM,229.4800,1,1,229.7390,229.4350,229.4350,,,
