wall_time,sim_time,symbol,last_price,last_size,trade_detected,vwap,mid,bar_close,macd_line,signal_line,histogram
2026-04-02T14:12:28.053724,2025-04-10 09:30:14,NVDA,109.4100,1,0,,109.4150,,,,
2026-04-02T14:12:29.056514,2025-04-10 09:30:16,NVDA,109.4000,1,1,109.4000,109.3850,,,,
2026-04-02T14:12:30.065398,2025-04-10 09:30:17,NVDA,109.4800,1,1,109.4400,109.4900,,,,
2026-04-02T14:12:31.067247,2025-04-10 09:30:18,NVDA,109.4500,1,1,109.4433,109.4500,,,,
2026-04-02T14:12:32.070485,2025-04-10 09:30:19,NVDA,109.4900,1,1,109.4550,109.4800,,,,
2026-04-02T14:12:33.073809,2025-04-10 09:30:20,NVDA,109.5800,1,1,109.4800,109.5800,109.5800,,,
2026-04-02T14:12:34.075709,2025-04-10 09:30:21,NVDA,109.6000,1,1,109.5000,109.6100,,,,
2026-04-02T14:12:35.082029,2025-04-10 09:30:22,NVDA,109.7200,1,1,109.5314,109.7250,,,,
2026-04-02T14:12:36.086168,2025-04-10 09:30:23,NVDA,109.7000,1,1,109.5525,109.7000,,,,
2026-04-02T14:12:37.090354,2025-04-10 09:30:24,NVDA,109.7600,2,1,109.5940,109.7500,,,,
2026-04-02T14:12:38.094961,2025-04-10 09:30:25,NVDA,109.6500,1,1,109.5991,109.6450,109.6450,,,
2026-04-02T14:12:39.098739,2025-04-10 09:30:26,NVDA,109.7600,1,1,109.6125,109.7450,,,,
2026-04-02T14:12:40.104558,2025-04-10 09:30:27,NVDA,109.7100,1,1,109.6200,109.7000,,,,
2026-04-02T14:12:41.104229,2025-04-10 09:30:28,NVDA,109.6400,1,1,109.6214,109.6400,,,,
2026-04-02T14:12:42.106449,2025-04-10 09:30:29,NVDA,109.6400,5,1,109.6256,109.6450,,,,
2026-04-02T14:12:43.111968,2025-04-10 09:30:30,NVDA,109.6800,1,1,109.6284,109.7000,109.7000,,,
2026-04-02T14:12:44.112404,2025-04-10 09:30:31,NVDA,109.6300,2,1,109.6286,109.6600,,,,
2026-04-02T14:12:45.117003,2025-04-10 09:30:32,NVDA,109.6100,1,1,109.6277,109.6150,,,,
2026-04-02T14:12:46.117582,2025-04-10 09:30:33,NVDA,109.6600,1,1,109.6291,109.6550,,,,
2026-04-02T14:12:47.119497,2025-04-10 09:30:34,NVDA,109.6500,1,1,109.6300,109.6500,,,,
2026-04-02T14:12:48.120129,2025-04-10 09:30:35,NVDA,109.7100,2,1,109.6362,109.6900,109.6900,,,
2026-04-02T14:12:49.120785,2025-04-10 09:30:36,NVDA,109.7400,1,1,109.6400,109.7450,,,,
2026-04-02T14:12:50.129135,2025-04-10 09:30:37,NVDA,109.7600,2,1,109.6483,109.7600,,,,
2026-04-02T14:12:51.132016,2025-04-10 09:30:38,NVDA,109.6700,2,1,109.6497,109.6800,,,,
2026-04-02T14:12:52.141464,2025-04-10 09:30:39,NVDA,109.6800,2,1,109.6515,109.6850,,,,
2026-04-02T14:12:53.148405,2025-04-10 09:30:40,NVDA,109.5500,1,1,109.6485,109.5600,109.5600,,,
2026-04-02T14:12:54.149867,2025-04-10 09:30:41,NVDA,109.5700,1,1,109.6463,109.5950,,,,
2026-04-02T14:12:55.151767,2025-04-10 09:30:42,NVDA,109.4300,5,1,109.6193,109.4250,,,,
2026-04-02T14:12:56.161355,2025-04-10 09:30:43,NVDA,109.5500,1,1,109.6176,109.5550,,,,
2026-04-02T14:12:57.161170,2025-04-10 09:30:44,NVDA,109.5700,1,1,109.6164,109.5650,,,,
