wall_time,sim_time,symbol,event,side,price,lots,detail
18:12:22,2018-08-16 09:47:42,CS1,EXTREME_ASK,SELL,178.08,3,ask empty batch1 tier — ref_bid=128.08 pos=+0L
18:12:22,2018-08-16 09:47:42,CS1,EXTREME_ASK,SELL,400.0,3,ask empty batch1 fixed — pos=+0L
18:12:22,2018-08-16 09:47:42,CS1,EXTREME_ASK,SELL,500.0,3,ask empty batch1 fixed — pos=+0L
18:12:22,2018-08-16 09:47:42,CS1,EXTREME_ASK,SELL,600.0,3,ask empty batch1 fixed — pos=+0L
18:12:22,2018-08-16 09:47:42,CS1,MM_SUSPENDED,,,,warming up
18:12:22,2018-08-16 09:47:42,CS2,ARB_DETECT,,204.67/203.63,49,agg_bid=269L agg_ask=279L submitting=49L
18:12:22,2018-08-16 09:47:42,CS2,ARB_SUBMIT,BOTH,,49,buy_id=b713adee sell_id=06c4b795
18:12:22,2018-08-16 09:47:42,CS2,MM_SUSPENDED,,,,warming up
18:12:23,2018-08-16 09:47:43,CS2,ARB_DETECT,,204.67/203.64,49,agg_bid=269L agg_ask=288L submitting=49L
18:12:23,2018-08-16 09:47:43,CS2,ARB_SUBMIT,BOTH,,49,buy_id=95416a69 sell_id=4c38f313
18:12:24,2018-08-16 09:47:43,CS2,ARB_DETECT,,203.97/203.64,49,agg_bid=227L agg_ask=93L submitting=49L
18:12:24,2018-08-16 09:47:43,CS2,ARB_SUBMIT,BOTH,,49,buy_id=4069edbb sell_id=ca632f64
18:12:24,2018-08-16 09:47:43,CS2,ARB_DETECT,,203.97/203.64,49,agg_bid=227L agg_ask=93L submitting=49L
18:12:24,2018-08-16 09:47:43,CS2,ARB_SUBMIT,BOTH,,49,buy_id=178e3943 sell_id=eca51607
18:12:24,2018-08-16 09:47:44,CS1,MM_SUSPENDED,,,,warming up
18:12:24,2018-08-16 09:47:44,CS2,MM_SUSPENDED,,,,warming up
18:12:25,2018-08-16 09:47:44,CS2,ARB_DETECT,,203.97/203.64,49,agg_bid=227L agg_ask=73L submitting=49L
18:12:25,2018-08-16 09:47:44,CS2,ARB_SUBMIT,BOTH,,49,buy_id=c4cf50b6 sell_id=8d41a2c6
18:12:26,2018-08-16 09:47:45,CS1,MM_SUSPENDED,,,,warming up
18:12:26,2018-08-16 09:47:45,CS2,MM_SUSPENDED,,,,warming up
18:12:27,2018-08-16 09:47:46,CS2,ARB_DETECT,,204.91/204.69,48,agg_bid=268L agg_ask=80L submitting=48L
18:12:27,2018-08-16 09:47:46,CS2,ARB_SUBMIT,BOTH,,48,buy_id=e924a02d sell_id=29943c55
18:12:27,2018-08-16 09:47:47,CS2,ARB_DETECT,,204.91/204.69,48,agg_bid=247L agg_ask=268L submitting=48L
18:12:27,2018-08-16 09:47:47,CS2,ARB_SUBMIT,BOTH,,48,buy_id=e7cd46fc sell_id=48143f57
18:12:28,2018-08-16 09:47:48,CS1,MM_SUSPENDED,,,,warming up
18:12:28,2018-08-16 09:47:48,CS2,MM_SUSPENDED,,,,warming up
18:12:31,2018-08-16 09:47:51,CS1,MM_SUSPENDED,,,,warming up
18:12:31,2018-08-16 09:47:51,CS2,MM_SUSPENDED,,,,warming up
18:12:33,2018-08-16 09:47:53,CS1,MM_SUSPENDED,,,,warming up
18:12:33,2018-08-16 09:47:53,CS2,MM_SUSPENDED,,,,warming up
18:12:35,2018-08-16 09:47:54,CS1,MM_SUSPENDED,,,,warming up
18:12:35,2018-08-16 09:47:54,CS2,MM_SUSPENDED,,,,warming up
18:12:37,2018-08-16 09:47:57,CS1,MM_SUSPENDED,,,,warming up
18:12:37,2018-08-16 09:47:57,CS2,MM_SUSPENDED,,,,warming up
18:12:39,2018-08-16 09:47:59,CS1,MM_SUSPENDED,,,,warming up
18:12:39,2018-08-16 09:47:59,CS2,MM_SUSPENDED,,,,warming up
18:12:41,2018-08-16 09:48:01,CS1,MM_SUSPENDED,,,,warming up
18:12:41,2018-08-16 09:48:01,CS2,MM_SUSPENDED,,,,warming up
18:12:43,2018-08-16 09:48:03,CS1,MM_SUSPENDED,,,,warming up
18:12:43,2018-08-16 09:48:03,CS2,MM_SUSPENDED,,,,warming up
18:12:44,2018-08-16 09:48:04,CS2,ARB_DETECT,,203.37/201.26,1,agg_bid=19L agg_ask=1L submitting=1L
18:12:44,2018-08-16 09:48:04,CS2,ARB_SUBMIT,BOTH,,1,buy_id=7ac2144d sell_id=68099bc5
18:12:45,2018-08-16 09:48:05,CS1,MM_SUSPENDED,,,,warming up
18:12:45,2018-08-16 09:48:05,CS2,ARB_FILLED,BUY,204.95,1,fully filled
18:12:45,2018-08-16 09:48:05,CS2,ARB_FILLED,SELL,203.37,1,fully filled
18:12:45,2018-08-16 09:48:05,CS2,MM_SUSPENDED,,,,warming up
18:12:47,2018-08-16 09:48:05,CS1,MM_SUSPENDED,,,,warming up
18:12:47,2018-08-16 09:48:05,CS2,MM_SUSPENDED,,,,warming up
18:12:47,2018-08-16 09:48:07,CS2,ARB_DETECT,,203.83/200.95,49,agg_bid=269L agg_ask=267L submitting=49L
