wall_time,sim_time,symbol,event,side,price,lots,detail
21:44:12,1969-12-31 19:00:00,CS1,NO_BOOK,,,,skipping cycle
21:44:12,1969-12-31 19:00:00,CS2,SUBMIT,BUY,99.89,3,bid+1tick=99.89 spread=0.1000 pos=+0L
21:44:12,1969-12-31 19:00:00,CS2,SUBMIT,SELL,99.97,3,ask-1tick=99.97 spread=0.1000 pos=+0L
21:44:12,1969-12-31 19:00:00,CS2,STATUS,,,,bid=99.89(NEW) ask=99.97(NEW) spread=0.1000 pos=+0L
21:44:12,1969-12-31 19:00:00,CS3,SUBMIT,BUY,100.37,3,bid+1tick=100.37 spread=0.1400 pos=+0L
21:44:12,1969-12-31 19:00:00,CS3,SUBMIT,SELL,100.49,3,ask-1tick=100.49 spread=0.1400 pos=+0L
21:44:12,1969-12-31 19:00:00,CS3,STATUS,,,,bid=100.37(NEW) ask=100.49(NEW) spread=0.1400 pos=+0L
21:44:14,1969-12-31 19:00:00,CS1,NO_BOOK,,,,skipping cycle
21:44:14,1969-12-31 19:00:00,CS2,CANCEL,BUY,99.89,,outside spread bid=99.89 ask=99.97
21:44:14,1969-12-31 19:00:00,CS2,CANCEL,SELL,99.97,,outside spread bid=99.89 ask=99.97
21:44:15,1969-12-31 19:00:00,CS2,SUBMIT,BUY,99.89,3,bid+1tick=99.89 spread=0.1000 pos=+0L
21:44:15,1969-12-31 19:00:00,CS2,SUBMIT,SELL,99.97,3,ask-1tick=99.97 spread=0.1000 pos=+0L
21:44:15,1969-12-31 19:00:00,CS2,STATUS,,,,bid=99.89(NEW) ask=99.97(NEW) spread=0.1000 pos=+0L
21:44:15,1969-12-31 19:00:00,CS3,CANCEL,BUY,100.37,,outside spread bid=100.37 ask=100.45
21:44:23,2018-08-16 09:30:34,CS1,SUBMIT,BUY,99.94,3,bid+1tick=99.94 spread=0.0800 pos=+0L
21:44:23,2018-08-16 09:30:34,CS1,SUBMIT,SELL,100.0,3,ask-1tick=100.0 spread=0.0800 pos=+0L
21:44:23,2018-08-16 09:30:34,CS1,STATUS,,,,bid=99.94(NEW) ask=100.0(NEW) spread=0.0800 pos=+0L
21:44:23,2018-08-16 09:30:34,CS2,SPREAD_TIGHT,,,,spread=0.0300 < 0.04 — cancelling
21:44:23,2018-08-16 09:30:34,CS3,SPREAD_TIGHT,,,,spread=0.0400 < 0.04 — cancelling
21:44:25,2018-08-16 09:30:36,CS1,CANCEL,BUY,99.94,,outside spread bid=99.94 ask=100.0
21:44:25,2018-08-16 09:30:36,CS1,CANCEL,SELL,100.0,,outside spread bid=99.94 ask=100.0
21:44:25,2018-08-16 09:30:36,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:25,2018-08-16 09:30:36,CS3,SPREAD_TIGHT,,,,spread=0.0300 < 0.04 — cancelling
21:44:27,2018-08-16 09:30:38,CS1,SPREAD_TIGHT,,,,spread=0.0300 < 0.04 — cancelling
21:44:27,2018-08-16 09:30:39,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:27,2018-08-16 09:30:39,CS3,SPREAD_TIGHT,,,,spread=0.0300 < 0.04 — cancelling
21:44:29,2018-08-16 09:30:40,CS1,SUBMIT,BUY,99.93,3,bid+1tick=99.93 spread=0.1100 pos=+0L
21:44:29,2018-08-16 09:30:40,CS1,SUBMIT,SELL,100.02,3,ask-1tick=100.02 spread=0.1100 pos=+0L
21:44:29,2018-08-16 09:30:40,CS1,STATUS,,,,bid=99.93(NEW) ask=100.02(NEW) spread=0.1100 pos=+0L
21:44:30,2018-08-16 09:30:40,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:30,2018-08-16 09:30:40,CS3,SPREAD_TIGHT,,,,spread=0.0300 < 0.04 — cancelling
21:44:31,2018-08-16 09:30:42,CS1,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:32,2018-08-16 09:30:43,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:32,2018-08-16 09:30:43,CS3,SUBMIT,BUY,100.39,3,bid+1tick=100.39 spread=0.0800 pos=-3L
21:44:32,2018-08-16 09:30:43,CS3,SUBMIT,SELL,100.45,3,ask-1tick=100.45 spread=0.0800 pos=-3L
21:44:32,2018-08-16 09:30:43,CS3,STATUS,,,,bid=100.39(NEW) ask=100.45(NEW) spread=0.0800 pos=-3L
21:44:33,2018-08-16 09:30:43,CS1,SUBMIT,BUY,99.72,3,bid+1tick=99.72 spread=0.1700 pos=+3L
21:44:33,2018-08-16 09:30:43,CS1,SUBMIT,SELL,99.87,3,ask-1tick=99.87 spread=0.1700 pos=+3L
21:44:33,2018-08-16 09:30:43,CS1,STATUS,,,,bid=99.72(NEW) ask=99.87(NEW) spread=0.1700 pos=+3L
21:44:34,2018-08-16 09:30:43,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:34,2018-08-16 09:30:43,CS3,CANCEL,BUY,100.39,,outside spread bid=100.39 ask=100.45
21:44:34,2018-08-16 09:30:43,CS3,CANCEL,SELL,100.45,,outside spread bid=100.39 ask=100.45
21:44:34,2018-08-16 09:30:43,CS3,SUBMIT,BUY,100.39,3,bid+1tick=100.39 spread=0.0800 pos=-3L
21:44:34,2018-08-16 09:30:43,CS3,SUBMIT,SELL,100.45,3,ask-1tick=100.45 spread=0.0800 pos=-3L
21:44:34,2018-08-16 09:30:43,CS3,STATUS,,,,bid=100.39(NEW) ask=100.45(NEW) spread=0.0800 pos=-3L
21:44:35,2018-08-16 09:30:43,CS1,CANCEL,BUY,99.72,,outside spread bid=99.73 ask=99.87
21:44:35,2018-08-16 09:30:43,CS1,CANCEL,SELL,99.87,,outside spread bid=99.73 ask=99.87
21:44:36,2018-08-16 09:30:43,CS1,SUBMIT,BUY,99.76,3,bid+1tick=99.76 spread=0.1200 pos=+3L
21:44:36,2018-08-16 09:30:43,CS1,SUBMIT,SELL,99.86,3,ask-1tick=99.86 spread=0.1200 pos=+3L
21:44:36,2018-08-16 09:30:43,CS1,STATUS,,,,bid=99.76(NEW) ask=99.86(NEW) spread=0.1200 pos=+3L
21:44:36,2018-08-16 09:30:43,CS2,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:36,2018-08-16 09:30:43,CS3,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:37,2018-08-16 09:30:48,CS1,CANCEL,BUY,99.76,,outside spread bid=99.76 ask=99.86
21:44:37,2018-08-16 09:30:48,CS1,CANCEL,SELL,99.86,,outside spread bid=99.76 ask=99.86
21:44:38,2018-08-16 09:30:48,CS1,SUBMIT,BUY,99.8,3,bid+1tick=99.8 spread=0.0800 pos=+3L
21:44:38,2018-08-16 09:30:48,CS1,SUBMIT,SELL,99.86,3,ask-1tick=99.86 spread=0.0800 pos=+3L
21:44:38,2018-08-16 09:30:48,CS1,STATUS,,,,bid=99.8(NEW) ask=99.86(NEW) spread=0.0800 pos=+3L
21:44:38,2018-08-16 09:30:48,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.04 — cancelling
21:44:38,2018-08-16 09:30:48,CS3,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:39,2018-08-16 09:30:50,CS1,CANCEL,BUY,99.8,,outside spread bid=99.8 ask=99.86
21:44:39,2018-08-16 09:30:50,CS1,CANCEL,SELL,99.86,,outside spread bid=99.8 ask=99.86
21:44:40,2018-08-16 09:30:50,CS1,SUBMIT,BUY,99.81,3,bid+1tick=99.81 spread=0.0700 pos=+3L
21:44:40,2018-08-16 09:30:50,CS1,SUBMIT,SELL,99.86,3,ask-1tick=99.86 spread=0.0700 pos=+3L
21:44:40,2018-08-16 09:30:50,CS1,STATUS,,,,bid=99.81(NEW) ask=99.86(NEW) spread=0.0700 pos=+3L
21:44:40,2018-08-16 09:30:50,CS2,SUBMIT,BUY,99.91,3,bid+1tick=99.91 spread=0.0600 pos=+0L
21:44:40,2018-08-16 09:30:50,CS2,SUBMIT,SELL,99.95,3,ask-1tick=99.95 spread=0.0600 pos=+0L
21:44:40,2018-08-16 09:30:50,CS2,STATUS,,,,bid=99.91(NEW) ask=99.95(NEW) spread=0.0600 pos=+0L
21:44:40,2018-08-16 09:30:50,CS3,SPREAD_TIGHT,,,,spread=0.0100 < 0.04 — cancelling
21:44:41,2018-08-16 09:30:52,CS1,SPREAD_TIGHT,,,,spread=0.0400 < 0.04 — cancelling
21:44:42,2018-08-16 09:30:53,CS2,SPREAD_TIGHT,,,,spread=0.0200 < 0.04 — cancelling
