wall_time,sim_time,cs1_pos_lots,cs1_unrealized_pl,cs2_pos_lots,cs2_unrealized_pl,total_realized_pl,total_unrealized_pl,total_pl
18:12:22,2018-08-16 09:47:42,0,0.0,0,0.0,0.0,0.0,0.0
18:12:23,2018-08-16 09:47:43,0,0.0,0,0.0,0.0,0.0,0.0
18:12:24,2018-08-16 09:47:44,0,0.0,0,0.0,0.0,0.0,0.0
18:12:25,2018-08-16 09:47:44,0,0.0,0,0.0,0.0,0.0,0.0
18:12:26,2018-08-16 09:47:45,0,0.0,0,0.0,0.0,0.0,0.0
18:12:27,2018-08-16 09:47:47,-1,-0.0,0,0.0,0.0,0.0,0.0
18:12:28,2018-08-16 09:47:48,-1,-0.0,0,0.0,0.0,0.0,0.0
18:12:30,2018-08-16 09:47:49,-1,1403.0,0,0.0,0.0,1403.0,1403.0
18:12:31,2018-08-16 09:47:51,-1,-0.0,0,0.0,0.0,0.0,0.0
18:12:32,2018-08-16 09:47:51,-1,2500.0,0,0.0,0.0,2500.0,2500.0
18:12:33,2018-08-16 09:47:53,-1,2500.0,0,0.0,0.0,2500.0,2500.0
18:12:34,2018-08-16 09:47:54,-1,2500.0,0,0.0,0.0,2500.0,2500.0
18:12:35,2018-08-16 09:47:54,-1,1250.0,0,0.0,0.0,1250.0,1250.0
18:12:36,2018-08-16 09:47:55,-1,1250.0,0,0.0,0.0,1250.0,1250.0
18:12:37,2018-08-16 09:47:57,-1,1250.0,0,0.0,0.0,1250.0,1250.0
18:12:38,2018-08-16 09:47:58,-1,4592.0,0,0.0,0.0,4592.0,4592.0
18:12:39,2018-08-16 09:47:59,-1,4592.0,0,0.0,0.0,4592.0,4592.0
18:12:40,2018-08-16 09:48:00,-1,4592.0,0,0.0,0.0,4592.0,4592.0
18:12:41,2018-08-16 09:48:01,-1,5578.0,0,0.0,0.0,5578.0,5578.0
18:12:42,2018-08-16 09:48:02,-1,-0.0,0,0.0,0.0,0.0,0.0
18:12:43,2018-08-16 09:48:03,-1,4008.0,0,0.0,0.0,4008.0,4008.0
18:12:44,2018-08-16 09:48:04,-1,5671.0,0,0.0,0.0,5671.0,5671.0
18:12:45,2018-08-16 09:48:05,-1,6071.0,0,0.0,0.0,6071.0,6071.0
18:12:46,2018-08-16 09:48:05,-1,6071.0,0,0.0,0.0,6071.0,6071.0
18:12:47,2018-08-16 09:48:05,-1,6071.0,0,0.0,0.0,6071.0,6071.0
18:12:48,2018-08-16 09:48:08,-1,6903.0,0,0.0,0.0,6903.0,6903.0
18:12:49,2018-08-16 09:48:08,-1,6903.0,0,0.0,0.0,6903.0,6903.0
18:12:50,2018-08-16 09:48:10,-1,-0.0,0,0.0,0.0,0.0,0.0
18:12:51,2018-08-16 09:48:11,-1,7735.0,0,0.0,0.0,7735.0,7735.0
18:12:52,2018-08-16 09:48:12,-1,-0.0,0,0.0,0.0,0.0,0.0
18:12:53,2018-08-16 09:48:13,-3,-66576.0,0,0.0,0.0,-66576.0,-66576.0
18:12:54,2018-08-16 09:48:14,-6,-156576.0,0,0.0,0.0,-156576.0,-156576.0
18:12:55,2018-08-16 09:48:15,-6,-85776.0,0,0.0,0.0,-85776.0,-85776.0
18:12:56,2018-08-16 09:48:16,-6,24408.0,0,0.0,0.0,24408.0,24408.0
18:12:57,2018-08-16 09:48:17,-6,67500.0,0,0.0,0.0,67500.0,67500.0
18:12:58,2018-08-16 09:48:18,-6,68700.0,20,-161.0,223.0,68539.0,68762.0
18:12:59,2018-08-16 09:48:19,-6,73766.0,20,-161.0,223.0,73605.0,73828.0
18:13:00,2018-08-16 09:48:20,-6,102294.0,20,-161.0,223.0,102133.0,102356.0
18:13:01,2018-08-16 09:48:21,-6,102294.0,20,-161.0,223.0,102133.0,102356.0
18:13:02,2018-08-16 09:48:22,-6,68700.0,20,1459.0,223.0,70159.0,70382.0
18:13:03,2018-08-16 09:48:23,-6,-111205.0,20,1459.0,223.0,-109746.0,-109523.0
18:13:04,2018-08-16 09:48:24,-6,102894.0,20,1459.0,223.0,104353.0,104576.0
18:13:05,2018-08-16 09:48:26,-6,-108231.0,7,1627.0,1682.0,-106604.0,-104922.0
18:13:06,2018-08-16 09:48:26,-5,-125480.0,17,3929.0,18981.0,-121551.0,-102570.0
18:13:07,2018-08-16 09:48:26,-5,-125480.0,17,3929.0,18981.0,-121551.0,-102570.0
18:13:08,2018-08-16 09:48:26,-5,85745.0,17,3929.0,18981.0,89674.0,108655.0
18:13:09,2018-08-16 09:48:28,-5,85745.0,17,1351.0,18981.0,87096.0,106077.0
18:13:11,2018-08-16 09:48:30,-5,-8865.0,17,5374.0,18981.0,-3491.0,15490.0
18:13:12,2018-08-16 09:48:31,-5,85995.0,17,5378.0,18981.0,91373.0,110354.0
18:13:13,2018-08-16 09:48:32,-5,-125480.0,17,5373.0,18981.0,-120107.0,-101126.0
18:13:14,2018-08-16 09:48:33,-6,-141480.0,17,5373.0,18981.0,-136107.0,-117126.0
18:13:15,2018-08-16 09:48:35,-6,-27586.0,3,942.3529,23392.6471,-26643.6471,-3251.0
18:13:16,2018-08-16 09:48:36,-6,-116207.0,3,942.3529,23392.6471,-115264.6471,-91872.0
18:13:17,2018-08-16 09:48:36,-6,67374.0,3,942.3529,23392.6471,68316.3529,91709.0
18:13:18,2018-08-16 09:48:37,-6,66174.0,3,942.3529,23392.6471,67116.3529,90509.0
18:13:19,2018-08-16 09:48:39,-6,123390.0,3,-200.6471,23392.6471,123189.3529,146582.0
18:13:20,2018-08-16 09:48:40,-6,122190.0,23,1699.3529,23392.6471,123889.3529,147282.0
18:13:21,2018-08-16 09:48:41,-7,96183.0,3,-28.7801,25022.7801,96154.2199,121177.0
18:13:22,2018-08-16 09:48:42,-7,160835.0,3,529.2199,25022.7801,161364.2199,186387.0
18:13:23,2018-08-16 09:48:43,-7,12211.0,3,931.2199,25022.7801,13142.2199,38165.0
18:13:24,2018-08-16 09:48:44,-7,70920.0,3,931.2199,25022.7801,71851.2199,96874.0
18:13:25,2018-08-16 09:48:45,-7,101111.0,3,931.2199,25022.7801,102042.2199,127065.0
18:13:26,2018-08-16 09:48:46,-7,-157980.0,3,931.2199,25022.7801,-157048.7801,-132026.0
18:13:27,2018-08-16 09:48:47,-7,-157980.0,3,931.2199,25022.7801,-157048.7801,-132026.0
18:13:28,2018-08-16 09:48:48,-7,174016.0,3,931.2199,25022.7801,174947.2199,199970.0
18:13:29,2018-08-16 09:48:49,-7,174016.0,3,928.2199,25022.7801,174944.2199,199967.0
18:13:30,2018-08-16 09:48:50,-7,174016.0,3,928.2199,25022.7801,174944.2199,199967.0
18:13:31,2018-08-16 09:48:51,-7,174016.0,3,928.2199,25022.7801,174944.2199,199967.0
18:13:32,2018-08-16 09:48:53,-7,-157980.0,23,-811.7801,25022.7801,-158791.7801,-133769.0
18:13:33,2018-08-16 09:48:53,-7,-157980.0,23,-811.7801,25022.7801,-158791.7801,-133769.0
18:13:34,2018-08-16 09:48:54,-7,154252.0,23,-681.7801,25022.7801,153570.2199,178593.0
18:13:35,2018-08-16 09:48:56,-7,-157980.0,23,-637.7801,25022.7801,-158617.7801,-133595.0
18:13:37,2018-08-16 09:48:56,-7,172616.0,23,-637.7801,25022.7801,171978.2199,197001.0
18:13:38,2018-08-16 09:48:58,-7,-157980.0,23,-637.7801,25022.7801,-158617.7801,-133595.0
18:13:39,2018-08-16 09:48:58,-7,35318.0,23,-637.7801,25022.7801,34680.2199,59703.0
18:13:40,2018-08-16 09:49:00,-7,106074.0,23,-724.7801,25022.7801,105349.2199,130372.0
18:13:41,2018-08-16 09:49:01,-7,138645.0,23,-724.7801,25022.7801,137920.2199,162943.0
18:13:42,2018-08-16 09:49:02,-7,174023.0,23,-724.7801,25022.7801,173298.2199,198321.0
18:13:43,2018-08-16 09:49:03,-7,-157980.0,23,-635.7801,25022.7801,-158615.7801,-133593.0
18:13:44,2018-08-16 09:49:03,-7,74305.0,23,-635.7801,25022.7801,73669.2199,98692.0
18:13:45,2018-08-16 09:49:05,-7,-157980.0,23,-635.7801,25022.7801,-158615.7801,-133593.0
18:13:46,2018-08-16 09:49:06,-7,34275.0,23,3788.2199,25022.7801,38063.2199,63086.0
18:13:47,2018-08-16 09:49:07,-7,105549.0,23,3788.2199,25022.7801,109337.2199,134360.0
18:13:48,2018-08-16 09:49:08,-7,-157980.0,23,3788.2199,25022.7801,-154191.7801,-129169.0
18:13:49,2018-08-16 09:49:09,-7,174030.0,23,3788.2199,25022.7801,177818.2199,202841.0
18:13:50,2018-08-16 09:49:10,-7,-157980.0,3,494.1156,29296.8844,-157485.8844,-128189.0
18:13:51,2018-08-16 09:49:11,-7,33715.0,3,494.1156,29296.8844,34209.1156,63506.0
18:13:52,2018-08-16 09:49:12,-7,103995.0,3,647.1156,29296.8844,104642.1156,133939.0
18:13:53,2018-08-16 09:49:13,-7,103995.0,3,254.6238,31974.3762,104249.6238,136224.0
18:13:54,2018-08-16 09:49:14,-7,103995.0,3,254.6238,31974.3762,104249.6238,136224.0
18:13:55,2018-08-16 09:49:14,-7,174275.0,3,254.6238,31974.3762,174529.6238,206504.0
18:13:56,2018-08-16 09:49:16,-7,174275.0,3,254.6238,31974.3762,174529.6238,206504.0
18:13:57,2018-08-16 09:49:16,-7,174275.0,3,-15.3762,31974.3762,174259.6238,206234.0
18:13:58,2018-08-16 09:49:16,-7,174275.0,3,-15.3762,31974.3762,174259.6238,206234.0
