wall_time,sim_time,cs1_pos_lots,cs1_unrealized_pl,cs2_pos_lots,cs2_unrealized_pl,total_realized_pl,total_unrealized_pl,total_pl
16:01:05,2018-08-16 09:30:34,0,0.0,0,0.0,0.0,0.0,0.0
16:01:06,2018-08-16 09:30:35,0,0.0,0,0.0,0.0,0.0,0.0
16:01:07,2018-08-16 09:30:36,0,0.0,0,0.0,0.0,0.0,0.0
16:01:08,2018-08-16 09:30:37,0,0.0,0,0.0,0.0,0.0,0.0
16:01:10,2018-08-16 09:30:38,0,0.0,0,0.0,0.0,0.0,0.0
16:01:11,2018-08-16 09:30:38,0,0.0,0,0.0,0.0,0.0,0.0
16:01:12,2018-08-16 09:30:39,0,0.0,0,0.0,0.0,0.0,0.0
16:01:13,2018-08-16 09:30:41,0,0.0,0,0.0,0.0,0.0,0.0
16:01:14,2018-08-16 09:30:43,0,0.0,0,0.0,0.0,0.0,0.0
16:01:15,2018-08-16 09:30:44,0,0.0,0,0.0,0.0,0.0,0.0
16:01:16,2018-08-16 09:30:44,51,-152.0,0,0.0,0.0,-152.0,-152.0
16:01:17,2018-08-16 09:30:45,100,2767.0,0,0.0,0.0,2767.0,2767.0
16:01:18,2018-08-16 09:30:46,100,2742.0,0,0.0,0.0,2742.0,2742.0
16:01:19,2018-08-16 09:30:47,100,-432.0,0,0.0,0.0,-432.0,-432.0
16:01:20,2018-08-16 09:30:48,100,-11048.0,0,0.0,0.0,-11048.0,-11048.0
16:01:21,2018-08-16 09:30:49,100,8910.0,0,0.0,0.0,8910.0,8910.0
16:01:22,2018-08-16 09:30:50,100,8820.0,0,0.0,0.0,8820.0,8820.0
16:01:23,2018-08-16 09:30:50,100,8795.0,0,0.0,0.0,8795.0,8795.0
16:01:24,2018-08-16 09:30:52,24,2097.48,0,0.0,6697.52,2097.48,8795.0
16:01:25,2018-08-16 09:30:53,24,2097.48,0,0.0,6697.52,2097.48,8795.0
16:01:26,2018-08-16 09:30:55,24,2097.48,0,0.0,6697.52,2097.48,8795.0
16:01:27,2018-08-16 09:30:56,24,2097.48,0,0.0,6697.52,2097.48,8795.0
16:01:28,2018-08-16 09:30:58,24,2077.48,0,0.0,6697.52,2077.48,8775.0
16:01:29,2018-08-16 09:30:59,24,663.48,0,0.0,6697.52,663.48,7361.0
16:01:30,2018-08-16 09:31:00,82,-2068.52,0,0.0,6697.52,-2068.52,4629.0
16:01:31,2018-08-16 09:31:02,82,-3172.52,0,0.0,6697.52,-3172.52,3525.0
16:01:32,2018-08-16 09:31:03,82,-3172.52,0,0.0,6697.52,-3172.52,3525.0
16:01:33,2018-08-16 09:31:04,59,-2273.6059,0,0.0,5841.6059,-2273.6059,3568.0
16:01:34,2018-08-16 09:31:05,-13,1391.0,0,0.0,3223.0,1391.0,4614.0
16:01:35,2018-08-16 09:31:06,-13,1391.0,0,0.0,3223.0,1391.0,4614.0
16:01:36,2018-08-16 09:31:07,-13,1391.0,0,0.0,3223.0,1391.0,4614.0
16:01:37,2018-08-16 09:31:08,-13,1391.0,0,0.0,3223.0,1391.0,4614.0
16:01:39,2018-08-16 09:31:09,-13,1403.0,0,0.0,3223.0,1403.0,4626.0
16:01:40,2018-08-16 09:31:11,-13,1403.0,0,0.0,3223.0,1403.0,4626.0
16:01:41,2018-08-16 09:31:12,-13,1378.0,0,0.0,3223.0,1378.0,4601.0
16:01:42,2018-08-16 09:31:12,-13,1378.0,0,0.0,3223.0,1378.0,4601.0
16:01:43,2018-08-16 09:31:13,-13,1430.0,0,0.0,3223.0,1430.0,4653.0
16:01:44,2018-08-16 09:31:14,-13,1430.0,0,0.0,3223.0,1430.0,4653.0
