wall_time,sim_time,cs1_pos_lots,cs1_unrealized_pl,cs2_pos_lots,cs2_unrealized_pl,cs3_pos_lots,cs3_unrealized_pl,total_realized_pl,total_unrealized_pl,total_pl
21:44:12,1969-12-31 19:00:00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
21:44:13,1969-12-31 19:00:00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
21:44:15,1969-12-31 19:00:00,0,0.0,0,0.0,-3,-12.0,0.0,-12.0,-12.0
21:44:17,2018-08-16 09:30:28,0,0.0,0,0.0,-3,-12.0,0.0,-12.0,-12.0
21:44:23,2018-08-16 09:30:34,0,0.0,0,0.0,-3,-0.0,0.0,0.0,0.0
21:44:24,2018-08-16 09:30:35,0,0.0,0,0.0,-3,15.0,0.0,15.0,15.0
21:44:25,2018-08-16 09:30:36,0,0.0,0,0.0,-3,30.0,0.0,30.0,30.0
21:44:26,2018-08-16 09:30:38,0,0.0,0,0.0,-3,30.0,0.0,30.0,30.0
21:44:27,2018-08-16 09:30:39,0,0.0,0,0.0,-3,30.0,0.0,30.0,30.0
21:44:28,2018-08-16 09:30:40,0,0.0,0,0.0,-3,30.0,0.0,30.0,30.0
21:44:30,2018-08-16 09:30:40,0,0.0,0,0.0,-3,-0.0,0.0,0.0,0.0
21:44:31,2018-08-16 09:30:42,3,-18.0,0,0.0,-3,-0.0,0.0,-18.0,-18.0
21:44:32,2018-08-16 09:30:43,3,-66.0,0,0.0,-3,9.0,0.0,-57.0,-57.0
21:44:33,2018-08-16 09:30:43,3,-66.0,0,0.0,-3,12.0,0.0,-54.0,-54.0
21:44:34,2018-08-16 09:30:43,3,-60.0,0,0.0,-3,9.0,0.0,-51.0,-51.0
21:44:36,2018-08-16 09:30:43,3,-54.0,0,0.0,-6,6.0,0.0,-48.0,-48.0
21:44:37,2018-08-16 09:30:48,3,-51.0,0,0.0,-6,6.0,0.0,-45.0,-45.0
21:44:38,2018-08-16 09:30:48,3,-42.0,0,0.0,-6,6.0,0.0,-36.0,-36.0
21:44:39,2018-08-16 09:30:50,3,-39.0,0,0.0,-6,6.0,0.0,-33.0,-33.0
21:44:40,2018-08-16 09:30:50,3,-39.0,0,0.0,-6,6.0,0.0,-33.0,-33.0
21:44:41,2018-08-16 09:30:52,3,-36.0,3,-3.0,-6,6.0,0.0,-33.0,-33.0
21:44:42,2018-08-16 09:30:53,3,-39.0,3,-27.0,-6,6.0,0.0,-60.0,-60.0
21:44:43,2018-08-16 09:30:54,3,-39.0,3,-27.0,-6,48.0,0.0,-18.0,-18.0
21:44:44,2018-08-16 09:30:55,3,-36.0,3,-21.0,-6,48.0,0.0,-9.0,-9.0
21:44:45,2018-08-16 09:30:55,3,-36.0,3,-21.0,-6,48.0,0.0,-9.0,-9.0
21:44:46,2018-08-16 09:30:57,3,-39.0,3,-21.0,-6,48.0,0.0,-12.0,-12.0
21:44:47,2018-08-16 09:30:58,3,-39.0,3,-21.0,-6,6.0,0.0,-54.0,-54.0
21:44:48,2018-08-16 09:30:59,3,-39.0,3,-21.0,-6,6.0,0.0,-54.0,-54.0
21:44:49,2018-08-16 09:30:59,3,-39.0,3,-21.0,-6,12.0,0.0,-48.0,-48.0
21:44:51,2018-08-16 09:31:01,3,-39.0,3,-27.0,-6,12.0,0.0,-54.0,-54.0
21:44:52,2018-08-16 09:31:03,3,-42.0,3,-27.0,-6,-12.0,0.0,-81.0,-81.0
21:44:53,2018-08-16 09:31:03,3,-42.0,3,-27.0,-6,-9.0,0.0,-78.0,-78.0
21:44:54,2018-08-16 09:31:03,3,-42.0,3,-24.0,-6,-9.0,0.0,-75.0,-75.0
21:44:55,2018-08-16 09:31:06,3,-42.0,3,-27.0,-6,-12.0,0.0,-81.0,-81.0
21:44:56,2018-08-16 09:31:07,3,-42.0,3,-27.0,-6,6.0,0.0,-63.0,-63.0
21:44:57,2018-08-16 09:31:07,3,-42.0,3,-27.0,-6,3.0,0.0,-66.0,-66.0
21:44:58,2018-08-16 09:31:08,3,-42.0,3,-27.0,-3,39.0,36.0,-30.0,6.0
21:44:59,2018-08-16 09:31:10,3,-42.0,3,-27.0,-3,39.0,36.0,-30.0,6.0
21:45:00,2018-08-16 09:31:11,3,-57.0,3,-6.0,-3,39.0,36.0,-24.0,12.0
21:45:01,2018-08-16 09:31:12,3,-57.0,3,-3.0,-3,39.0,36.0,-21.0,15.0
21:45:02,2018-08-16 09:31:12,3,-60.0,3,-3.0,-3,39.0,36.0,-24.0,12.0
21:45:03,2018-08-16 09:31:12,3,-45.0,3,6.0,-3,39.0,36.0,0.0,36.0
21:45:04,2018-08-16 09:31:12,3,-45.0,3,6.0,-3,39.0,36.0,0.0,36.0
21:45:05,2018-08-16 09:31:12,3,-45.0,3,6.0,-3,39.0,36.0,0.0,36.0
21:45:06,2018-08-16 09:31:18,3,-45.0,3,6.0,-3,-6.0,36.0,-45.0,-9.0
21:45:07,2018-08-16 09:31:18,3,-45.0,3,6.0,-3,-3.0,36.0,-42.0,-6.0
21:45:09,2018-08-16 09:31:19,3,-45.0,3,6.0,-3,-6.0,36.0,-45.0,-9.0
21:45:10,2018-08-16 09:31:21,3,-45.0,3,6.0,0,0.0,51.0,-39.0,12.0
21:45:11,2018-08-16 09:31:21,3,-45.0,3,6.0,0,0.0,51.0,-39.0,12.0
21:45:12,2018-08-16 09:31:21,3,-45.0,3,6.0,0,0.0,51.0,-39.0,12.0
21:45:13,2018-08-16 09:31:21,3,-45.0,3,6.0,0,0.0,51.0,-39.0,12.0
21:45:14,2018-08-16 09:31:21,3,-45.0,3,6.0,0,0.0,51.0,-39.0,12.0
21:45:15,2018-08-16 09:31:21,3,-45.0,3,6.0,0,0.0,51.0,-39.0,12.0
21:45:16,2018-08-16 09:31:27,3,-45.0,3,6.0,0,0.0,51.0,-39.0,12.0
21:45:17,2018-08-16 09:31:29,3,-45.0,3,6.0,0,0.0,51.0,-39.0,12.0
21:45:18,2018-08-16 09:31:30,3,-57.0,3,6.0,0,0.0,51.0,-51.0,-0.0
21:45:19,2018-08-16 09:31:30,3,-57.0,3,6.0,0,0.0,51.0,-51.0,-0.0
21:45:20,2018-08-16 09:31:32,3,-60.0,3,15.0,0,0.0,51.0,-45.0,6.0
21:45:21,2018-08-16 09:31:33,3,-60.0,3,15.0,0,0.0,51.0,-45.0,6.0
21:45:22,2018-08-16 09:31:33,3,-60.0,3,6.0,0,0.0,51.0,-54.0,-3.0
21:45:23,2018-08-16 09:31:34,3,-60.0,3,60.0,0,0.0,51.0,0.0,51.0
21:45:24,2018-08-16 09:31:35,3,-60.0,3,60.0,0,0.0,51.0,0.0,51.0
21:45:25,2018-08-16 09:31:36,3,-60.0,3,51.0,0,0.0,51.0,-9.0,42.0
21:45:26,2018-08-16 09:31:38,3,-54.0,3,51.0,0,0.0,51.0,-3.0,48.0
